exp_id,date,game,code_rev,n,new_ckpt,new_c,new_cap,new_var,new_sims,old_ckpt,old_c,old_cap,old_var,old_sims,W,L,D,elo,sigma,avg_diff,src_dir,confidence,note
flywheel2_SEALED_iter0_vs_heur800_v27_n400,2026-06-10,base,15cd591,400,/mnt/c/carc-shared/lever_seq/ckpt/residual.pt,3.0,12,v2_7_rs025,200,HeuristicMCTS,3.0,12,v2_7,800,193,203,4,-8.69,16.3,0.52,/mnt/c/carc-shared/flywheel_residual_attempt2/odo/sealed_iter0,high,"Track-B flywheel attempt#2 SEALED held-out baseline: iter0 (residual net) vs heur@800-v2.7, band 1.7e9 (never used in selection), n=400 paired."
flywheel2_SEALED_champ_iter8_vs_heur800_v27_n400,2026-06-10,base,15cd591,400,/mnt/c/carc-shared/flywheel_residual_attempt2/best.pt,3.0,12,v2_7_rs025,200,HeuristicMCTS,3.0,12,v2_7,800,232,165,3,58.75,17.4,3.76,/mnt/c/carc-shared/flywheel_residual_attempt2/odo/sealed_champ,high,"Track-B flywheel attempt#2 SEALED HEADLINE VERDICT: champion iter8 (lineage iter0->2->4->5->8, plateaued since iter5) vs heur@800-v2.7, SAME held-out decks as iter0 (band 1.7e9). DECK-PAIRED Delta(iter8-iter0)=67.44 elo / z=2.73 / ndecks=200 = SIGNIFICANT. The properly-powered final word on CL-011 cumulative gain (cf 5v0 iter5 +40.6/z1.26 n=200). Flywheel STOPPED at iter10 (plateau); iters 11-12 skipped."
p2_iter8_vs_heur800_v27_s200_n400,2026-06-17,base,14739a6,400,/mnt/c/carc-shared/flywheel_residual_attempt2/ckpt/iter8.pt,3.0,12,v2_7_rss025,200,HeuristicMCTS,3.0,12,v2_7,800,237,155,8,72.2,17.7,,/mnt/c/carc-shared/iter8_vs_iter12/i8_s200,high,"Phase2 clean iter8-vs-iter12 (deepteacher_audit/), FRESH band 2.5e9 paired. iter8@s200."
p2_iter12_vs_heur800_v27_s200_n400,2026-06-17,base,14739a6,400,/mnt/c/carc-shared/deepteacher/ckpt/iter12.pt,3.0,12,v2_7_rss025,200,HeuristicMCTS,3.0,12,v2_7,800,246,148,6,86.9,17.9,,/mnt/c/carc-shared/iter8_vs_iter12/i12_s200,high,"iter12@s200. PAIRED d(iter12-iter8)@s200=+14.6/z0.65=TIE (200 common decks). Reproduces spent-band +15.3/z0.68."
p2_iter8_vs_heur800_v27_s800_n400,2026-06-17,base,14739a6,400,/mnt/c/carc-shared/flywheel_residual_attempt2/ckpt/iter8.pt,3.0,12,v2_7_rss025,800,HeuristicMCTS,3.0,12,v2_7,800,274,119,7,142.1,18.8,,/mnt/c/carc-shared/iter8_vs_iter12/i8_s800,high,"iter8@s800."
p2_iter12_vs_heur800_v27_s800_n400,2026-06-17,base,14739a6,400,/mnt/c/carc-shared/deepteacher/ckpt/iter12.pt,3.0,12,v2_7_rss025,800,HeuristicMCTS,3.0,12,v2_7,800,280,113,7,154.5,19.1,,/mnt/c/carc-shared/iter8_vs_iter12/i12_s800,high,"iter12@s800. PAIRED d(iter12-iter8)@s800=+12.4/z0.51=TIE (the cell deepteacher never measured). iter12 TIES iter8 BOTH planes; champion stays iter8. Verdict deepteacher_audit/ITER8_VS_ITER12_VERDICT.md"
clairvoyance_clair_iter8_vs_heur800_v27_s200_n200,2026-06-18,base,f7ebec3,200,/mnt/c/carc-shared/flywheel_residual_attempt2/ckpt/iter8.pt,3.0,12,v2_7_rss025_clairvoyant,200,HeuristicMCTS,3.0,12,v2_7,800,119,81,0,66.8,25.0,5.41,/mnt/c/carc-shared/clairvoyance_gap_v2/iter8_clair_K1_s200_h800_c30,high,"Clairvoyance-gap CLAIR arm: iter8 production best_action, fair_chance=FALSE (clairvoyant, sees true deck order). Reproduces published +72.2 (p2_iter8_vs_heur800_v27_s200_n400) = harness validated. band 2.7e9 paired. See CL-022."
clairvoyance_nonclair_iter8_K12_vs_heur800_v27_s200_n182,2026-06-18,base,f7ebec3,182,/mnt/c/carc-shared/flywheel_residual_attempt2/ckpt/iter8.pt,3.0,12,v2_7_rss025_nonclairK12,200,HeuristicMCTS,3.0,12,v2_7,800,100,79,3,40.3,25.9,2.79,/mnt/c/carc-shared/clairvoyance_gap_v2/iter8_nonclair_K12_s200_h800_c30,mid,"Clairvoyance-gap NONCLAIR arm: iter8 fair_chance=TRUE K=12 root-determinization, best_action pooled over the 12 trees (non-clairvoyant). PAIRED gap clair-nonclair=+26.6 elo z=-0.9 (n=182) = <=30 minor-contributor gate; >=100 excluded ~2sigma. stopped n=182. See CL-022 + measurement/clairvoyance/CLAIRVOYANCE_GAP_VERDICT.md."
l2_ladder_R1vR0_greedy_vs_random_n200,2026-06-18,base,6b5b43f,200,greedy_RuleBasedPlayer,1.5,12,v1_1ply,1,random_uniform,,,none,,200,0,0,800.0,,61.46,/mnt/c/carc-shared/level2_ladder/greedy__vs__random,high,"L2-1 ladder R1vR0 (floor). greedy=RuleBasedPlayer 1-ply v2.7 argmax+rules vs uniform random; 200W/0D/0L winrate 1.0 elo cap +800 paired z=55.62 (100 decks). Provenance: random leaf=none. CL-023 / measurement/level2/LEVEL2_LADDER_VERDICT.md."
l2_ladder_R2vR1_heurv1s200_vs_greedy_n200,2026-06-18,base,6b5b43f,200,HeuristicMCTS_v1,1.5,12,v1,200,greedy_RuleBasedPlayer,1.5,12,v1_1ply,1,107,92,1,26.1,24.6,2.475,/mnt/c/carc-shared/level2_ladder/heurv1200__vs__greedy,high,"L2-1 ladder R2vR1. heur_v1@200 (UCT+v1 leaf, c=1.5) vs greedy(1-ply). 107W/1D/92L=53.75%=+26.1 elo z=1.87 = COMPRESSED (within-noise tie at n=200; greedy is a strong 1-ply baseline). 100 unique paired decks. CL-023."
