pass,mode,box,config,orchestrator,W,orch_shards,orch_fp16,mcts_batch,sims,n_reps,mvps_mean,mvps_std,gpu_pw_p50,gpu_util_p50,cpu_pct_p50,load_p50,bottleneck,status,selected_selfplay
eval_wsweep,eval,5800x,eval W=10,False,10,1,False,8,200,1,7.11,0.0,42.5,73.0,66.9,10.6,ipc_latency,ok,
eval_wsweep,eval,5800x,eval W=8,False,8,1,False,8,200,1,7.09,0.0,41.8,71.0,54.4,8.7,ipc_latency,ok,
eval_wsweep,eval,5800x,eval W=16,False,16,1,False,8,200,1,7.05,0.0,43.9,76.0,99.6,16.7,cpu_bound,ok,
eval_wsweep,eval,5800x,eval W=12,False,12,1,False,8,200,1,6.89,0.0,42.7,74.0,78.6,12.5,ipc_latency,ok,
eval_wsweep,eval,5800x,eval W=20,False,20,1,False,8,200,1,6.88,0.0,44.2,76.0,99.8,21.0,cpu_bound+oversub,ok,
eval_wsweep,eval,5800x,eval W=14,False,14,1,False,8,200,1,6.42,0.0,42.6,75.0,90.5,14.5,cpu_bound,ok,
eval_wsweep,eval,5800x,eval W=6,False,6,1,False,8,200,1,6.08,0.0,39.1,62.0,41.4,6.5,ipc_latency,ok,
eval_wsweep,eval,laptop,eval W=14,False,14,1,False,8,200,1,15.8,0.0,65.8,98.0,58.5,13.9,gpu_compute,ok,
eval_wsweep,eval,laptop,eval W=16,False,16,1,False,8,200,1,15.5,0.0,64.4,99.0,66.9,16.0,gpu_compute,ok,
eval_wsweep,eval,laptop,eval W=20,False,20,1,False,8,200,1,15.42,0.0,65.3,99.0,83.6,19.8,balanced,ok,
eval_wsweep,eval,laptop,eval W=12,False,12,1,False,8,200,1,14.95,0.0,62.2,98.0,50.2,12.0,gpu_compute,ok,
eval_wsweep,eval,laptop,eval W=10,False,10,1,False,8,200,1,13.54,0.0,46.1,99.0,41.9,10.0,ipc_latency,ok,
eval_wsweep,eval,laptop,eval W=8,False,8,1,False,8,200,1,11.68,0.0,33.1,99.0,33.6,8.0,ipc_latency,ok,
eval_wsweep,eval,laptop,eval W=6,False,6,1,False,8,200,1,9.58,0.0,27.5,99.0,25.2,5.8,ipc_latency,ok,
eval_wsweep,eval,xeon,eval W=16,False,16,1,False,8,200,1,5.28,0.0,83.5,89.0,100.0,16.0,balanced+oversub,ok,
eval_wsweep,eval,xeon,eval W=14,False,14,1,False,8,200,1,5.21,0.0,82.6,88.0,100.0,13.9,balanced,ok,
eval_wsweep,eval,xeon,eval W=12,False,12,1,False,8,200,1,5.03,0.0,82.1,86.0,100.0,12.0,balanced,ok,
eval_wsweep,eval,xeon,eval W=10,False,10,1,False,8,200,1,4.88,0.0,81.4,84.0,83.7,9.9,balanced,ok,
eval_wsweep,eval,xeon,eval W=8,False,8,1,False,8,200,1,4.76,0.0,79.5,77.0,67.0,7.9,gpu_compute,ok,
eval_wsweep,eval,xeon,eval W=6,False,6,1,False,8,200,1,4.36,0.0,77.8,70.0,50.3,5.6,gpu_compute,ok,
full_sweep,selfplay,5800x,orch_off W=16,False,16,1,False,8,200,1,14.61,0.0,59.5,64.0,99.9,16.5,cpu_bound,ok,yes
full_sweep,selfplay,5800x,orch_off W=12,False,12,1,False,8,200,1,12.81,0.0,52.6,51.0,79.2,13.0,ipc_latency,ok,
