ckpt_id,path,exists,sha256,parent_ckpt,code_commit,dirty,arch,ruleset,known_bug_epoch,train_command,seed_ranges,dataset_files_hashes,replay_iters,policy_target,value_target,loss_weights,aux_heads,selfplay_leaf,residual_or_value_active,gating_result,associated_clean_evals,status,notes
warmstart_canonical,checkpoints/warmstart_canonical.pt,true,d85c3acbcf0c48797b15235aca326f56c6ad00c9464332086db12a6f6c4ff1fe,"none (supervised warmstart from heuristic, data_root=data/warmstart/heuristic_tau05)",unknown@train,unknown@train,96x6; value_global_pool=unknown@train; n_scalar_features=unknown@train,river+base,"E0-river,E1-farmbug,E2-transposition,E3-unmatched-leaf","supervised warmstart on 100K heuristic-labelled positions, tau=0.5 (Phase 3); ckpt epoch=11",unknown@train,unknown@train,"n/a (supervised warmstart, not self-play replay)",heuristic move distribution (tau=0.5 warmstart),unknown@train,val_pol_loss=1.651 val_val_loss=0.072 at epoch 11 (logged); weights unknown@train,unknown@train,n/a (no self-play; heuristic-labelled corpus),no,canonical Phase-3 baseline (DECISIONS 2026-04-29 closure); no elo gate as a unit,none,historical,Canonical heuristic-warmstart baseline; root of the v25_retrain lineage. River-era + pre-2026-05-29 farmbug. Only n_filters/n_blocks/epoch persisted (no n_scalar_features/value_global_pool keys).
v25_retrain_iter00,checkpoints/v25_retrain/iter_00.pt,true,bc46326863a6cb3f537d1d04b9b4d46f0624c25f97b0dcf5fa542b35a9241e3d,warmstart_canonical,unknown@train,unknown@train,96x6; value_global_pool=unknown@train; n_scalar_features=unknown@train (iter=0),river+base,"E0-river,E1-farmbug,E2-transposition,E3-unmatched-leaf","1200-game warmstart_canonical self-play, v2.7 leaf, retuned caps+dedup fix (DECISIONS 2026-05-15); epochs=3",unknown@train,unknown@train,unknown@train,MCTS visit distribution,wl (win/loss) [pre-Option-B plain v2.7 recipe],unknown@train,unknown@train,v2_7,no,+21pp over warmstart_canonical (DECISIONS 2026-05-15),none,historical,First checkpoint from the v2.7 virtual_score pipeline (+21pp). River-era + pre-farmbug-fix. n_scalar_features/value_global_pool not in ckpt dict.
v25_retrain_iter01,checkpoints/v25_retrain_iter01/iter_00.pt,true,3f70f430c41d31604635ccafa4da448c00dad0cb1732cba2b928d2790bd3ba4d,v25_retrain_iter00,unknown@train,unknown@train,96x6; value_global_pool=unknown@train; n_scalar_features=unknown@train (iter=0),river+base,"E0-river,E1-farmbug,E2-transposition,E3-unmatched-leaf","another 1200 games from iter_00, same plain-v2.7 recipe (DECISIONS 2026-05-16); epochs=3",unknown@train,unknown@train,unknown@train,MCTS visit distribution,wl (win/loss) [plain v2.7 recipe],unknown@train,unknown@train,v2_7,no,+13.3 over iter_00 @ n=100 (DECISIONS 2026-05-16),none,historical,'iter_01' of the v25 lineage; the plain-v2.7 recipe plateau point (iter_02 flat). Parent of Option-B + deepsearch. River-era + pre-farmbug.
v25_retrain_optionB_iter1,checkpoints/v25_retrain_optionB_iter1/iter_00.pt,true,f982b4bd08f6349a4efa81a5b3f4846d4927d600a0ce1aa2bdf1a6207bfdfb3a,v25_retrain_iter01,unknown@train,unknown@train,96x6; value_global_pool=unknown@train; n_scalar_features=unknown@train (iter=0),river+base,"E0-river,E1-farmbug,E2-transposition,E3-unmatched-leaf","Option B = score_diff value targets, no NN-value blend, from iter_01 (DECISIONS 2026-05-20/24); epochs=3",unknown@train,unknown@train,unknown@train,MCTS visit distribution,score_diff,unknown@train,unknown@train,v2_7,no,+25.2 elo / 1.5 sigma vs iter_01 @ sims=200 n=400 (DECISIONS 2026-05-20),none,historical,"iter_B1: River-era sims=200-plane global-best per CLAUDE.md, but on the post-2026-06-02 base-only clean game it is superseded by iter_11/Stage-B (never clean-evaluated). Kept as historical River-era champion."
v25_retrain_deepsearch,checkpoints/v25_retrain_deepsearch/iter_00.pt,true,8b6610ab2d8646895441057f2b3b131979eeec779d1349f622700b5fd7efb347,v25_retrain_iter01 (deepsearch train+anchor from sims=800 work-stealing data),unknown@train,unknown@train,96x6; value_global_pool=unknown@train; n_scalar_features=unknown@train (iter=0),river+base,"E0-river,E1-farmbug,E2-transposition,E3-unmatched-leaf",sims=800 teacher: trained on 2026-05-18->21 sims=800 work-stealing self-play data (DECISIONS 2026-05-19/20); epochs=3,unknown@train,unknown@train,unknown@train,MCTS visit distribution (sims=800 teacher),unknown@train,unknown@train,unknown@train,v2_7 (sims=800),no,+35.8 elo / 2.0 sigma vs iter_01 @ sims=800 n=380 (DECISIONS 2026-05-20),none,historical,"sims=800-plane global-best per CLAUDE.md, but River-era; never clean-evaluated on the post-2026-06-02 base-only game. Choose by play-time sims (CLAUDE.md). Historical River-era champion."
iter_11,/mnt/c/carc-shared/pathb_loop/ckpt/iter_11.pt,true,64d2b3fec8728b2700320057737b33484a7d07e2099589c8081c814c4c0f67e4,/mnt/c/carc-shared/pathb_loop/ckpt/iter_10.pt (metrics.json warm_from),unknown@train,unknown@train,96x6; value_global_pool=unknown@train; n_scalar_features=12 (iter=11),river+base,"E0-river,E1-farmbug,E2-transposition,E3-unmatched-leaf,E4-overlap-seed","pathb_loop iter 11, warm_from iter_10, warmstart_mix=0.0, buffer_files=6000, ~944K train positions, epochs=3 (pathb_loop/ckpt/iter_11.metrics.json)",unknown@train,unknown@train (training .npz set not hashed; metrics.json records buffer_files=6000 only),window over ~6000 buffer files (metrics.json buffer_files=6000),MCTS visit distribution,unknown@train,unknown@train,ownership head (own_loss logged in metrics.json),v2_7,no (value-head NOT in self-play leaf for pathb_loop),OLD River+buggy game +181.7 elo (INVALIDATED); clean base-only re-baseline +25.2 (s200) / +56.7 (s800 n=1143); clean cleaneval_r2 +89.7 vs matched v2.7,cleaneval_r2,active,"Strongest established s200 POLICY-ONLY net on the clean ruler (cleaneval_r2 +89.7, z=5.2) — note this pre-dates CL-017 (residual @0.25 beats it h2h +34.2/z=4.0) and the 2026-06-11 iter8 production fold; as an AGENT it is superseded, the claim survives only on the narrow policy-only reading. TRAINED on the OLD River+buggy game (policy priors transfer to base-only; value head off-distribution). Byte-source for stage_b/warm.pt (== stage_b iter_01 parent)."
stage_b_iter_01,/mnt/c/carc-shared/stage_b/ckpt/iter_01.pt,true,cde068d5ecc251a562847eb84a81f020c5144941b86609152f140bedf57af82a,iter_11 (stage_b/warm.pt is byte-identical to iter_11.pt; STATUS.md + DECISIONS 2026-06-02),unknown@train,unknown@train,96x6; value_global_pool=unknown@train; n_scalar_features=12 (iter=1),base-only,"E3-unmatched-leaf,E4-overlap-seed,E5-R7-residual (training is post-2026-06-02 clean game; the OLD eval era it was first measured in carried E3-E5)","Stage-B iter 1 = lambda=0 clean base-only bug-fixed self-play, warm_from stage_b/warm.pt(==iter_11), --value-target score_diff, 1200 buffer files, ~139K train positions, epochs=3 (stage_b/ckpt/iter_01.metrics.json; DECISIONS 2026-06-04)",unknown@train,unknown@train (metrics.json records buffer_files=1200 only),window over 1200 buffer files (metrics.json),MCTS visit distribution,score_diff,"value_loss_weight=3 (Stage-B launch config, STATUS.md G-T1/T2); rest unknown@train",ownership head (own_loss logged),v2_7 (lambda=0; value-blend OFF for the keep-chain iter_01),no (iter_01 is the lambda=0 clean-policy retrain; value-in-loop iters FELL to ~+35 and were not kept),"OLD +86.9 elo vs HeuristicMCTS (E3-unmatched-leaf, =+48.1 at matched leaf); clean cleaneval_r3 +34.9 / ~2 sigma vs matched v2.7",cleaneval_r3,superseded,SUPERSEDED 2026-06-11 by flywheel2_champion_iter8 (PRODUCTION.yaml supersedes list). The bug-fixed base-only CLEAN-DATA POLICY retrain (the real Stage-B win). Weaker than previously believed once measured at a matched leaf (CL-003). Parent of residual.pt.
residual,/mnt/c/carc-shared/lever_seq/ckpt/residual.pt,true,f1e67cab8a8808184c763c21a8dda7d83fa52b6fa66de5847386166b833b3770,stage_b_iter_01 (lever_sequencer.sh WARM default = $SHARE/stage_b/ckpt/iter_01.pt),44100a9 (Lever 1 feat commit; sequencer ran at/after this),unknown@train,96x6; value_global_pool=False; n_scalar_features=12 (iter=0),base-only,E5-R7-residual (residual evals before the R7 runtime guard could silently fall back to pure v2.7); also E3/E4 for any pre-clean-ruler eval. Training data is post-2026-06-02 base-only.,"Lever 1: gen GEN_GAMES residual-target self-play (--value-target residual, leaf v2.7+0.25*Delta, --checkpoint stage_b/iter_01, anchor-fraction 0) -> train_iter plain MSE on residual Delta column, warm_from stage_b/iter_01, value-loss-weight 1.0, window 10, warmstart-mix 0.0, epochs=3 (scripts/lever_sequencer.sh; DECISIONS 2026-06-06)",unknown@train,unknown@train (lever_seq/residual_data .npz not hashed),window=10 over the residual gen set; warmstart-mix-fraction=0.0 (lever_sequencer.sh),MCTS visit distribution (inherited; lever trains the value head),"residual (Delta = search-Q - tanh(v_s2/15); leaf = clip(v2.7 + scale*Delta, +/-1))",value_loss_weight=1.0 (lever_sequencer.sh); rest unknown@train,ownership head; value_global_pool=False (persisted in ckpt dict),v2_7+residual (residual_scale active during gen),yes (CARCASSONNE_V25_RESIDUAL_SCALE; value head ON at scale 0.25 in eval),in-ecosystem marginal (scale0.25-scale0) ~+45 elo across 4 seeds; clean PROTOCOL_001 COMPLETE 2026-06-08 at n=1200: r4 scale0 +62.0 / r5 scale0.25 +99.6 -> deck-paired marginal +37.6 elo / z=2.98 PASS (CL-004 Supported; the n=400 +26/z=1.30 screen was underpowered not wrong),"cleaneval_r4,cleaneval_r5",superseded,The residual value-head net (Lever 1). Only ckpt in the set with value_global_pool persisted (False). PROTOCOL_001 resolved the marginal (CL-004 PASS). SUPERSEDED 2026-06-11 by flywheel2_champion_iter8 (== this lineage's iter0; sealed +67.4/z2.73 — see PRODUCTION.yaml). Carries E5-R7-residual risk for any pre-R7 eval.
flywheel2_champion_iter8,/mnt/c/carc-shared/flywheel_residual_attempt2/ckpt/iter8.pt,true,0d355002e26a968e913396858aa51b52c95a1903db324c4fbab6849cc279ee2c,residual (iter0 baseline); warm-from promotion chain iter0->2->4->5->8; iter8 warm.pt == champion iter5 (sha d1194eda),7d87ed0 (attempt#2 bundle tip; flat leaf merged ea70fbf),unknown@train,96x6; value_global_pool=False; n_scalar_features=12,base-only,"none (E6-clean-ruler: clean base-only, matched v2.7 leaf, 1e9+ eval seeds, deck hashes)","flywheel_residual_attempt2 iter8: residual-target self-play generated by champion iter5 (flat v2.7+0.25*Delta leaf), train_iter warm_from champion(iter5), --value-target residual, value_loss_weight 1.0, buffer_files 400, epochs 3 (run_residual_flywheel_v2.sh; DECISIONS 2026-06-10)",self-play it*GAMES; selection band 1.2e9+it*1000; telemetry 1e9; sealed 1.7e9; 5v0 1.5e9,unknown@train (flywheel gen .npz not hashed),per-iter window; warm-from current champion each iter (warm.pt),MCTS visit distribution,"residual (Delta = search-Q - tanh(v_s2/15); leaf = clip(v2.7 + 0.25*Delta, +/-1))",value_loss_weight=1.0; policy_entropy=1.5295 at iter8 (no collapse),ownership head (own_loss logged),v2_7+residual (flat leaf; residual_scale 0.25 active in gen),yes (CARCASSONNE_V25_RESIDUAL_SCALE=0.25; value head ON),"SEALED held-out n=400 paired heur@800-v2.7 (band 1.7e9): +67.4 elo / z2.73 SIGNIFICANT vs iter0 (iter0 -8.7, iter8 +58.7); mid-run 5v0 +40.6/z1.26. External keep-best champion; plateaued iter6-10.",flywheel2_SEALED_champ_iter8_vs_heur800_v27_n400; flywheel2_cum_iter5_vs_heur800_v27_n200 (5v0),production,"PRODUCTION CHAMPION (folded in 2026-06-11; canonical pointer governance/PRODUCTION.yaml). Supersedes residual.pt (==iter0) + stage_b_iter_01 as the play/warm-from default: beats incumbent residual.pt by +67.4/z2.73 on the SEALED out-of-lineage heur@800-v2.7 anchor (iter0 -8.7, iter8 +58.7) = a real strength gain vs an independent ruler, NOT in-lineage-only. Track-B flywheel attempt#2 CHAMPION (the banked win, 2026-06-10). Demonstrates bounded multi-gen compounding (CL-018 Supported). Plateau cause UNIDENTIFIED (tanh-cap FALSIFIED; Stage-A+B decomposition DONE 2026-06-10: gain ~95% policy, plateaued iter5 — docs/PLATEAU_DECOMP_2026-06-10.md). The 1.7e9 sealed deck panel is SPENT - do NOT reuse it for selecting the next lever."
deepteacher_iter12,/mnt/c/carc-shared/deepteacher/ckpt/iter12.pt,true,059e394cb0a2e1e6bf8c5f04bef2e7eb1f3ea8806fccd9819b8ab0aaa55f7d0c,deepteacher_iter10 (warm.pt sha 11872ad3; full hash-verified chain roots at flywheel2_champion_iter8 0d355002 — deepteacher_audit/DEEPTEACHER_LINEAGE.csv),5cb58f1,dirty,96x6 n_scalar=12 value_global_pool=false,base,,,4800-5199,,,mcts_visit_distribution,residual,value=1.0;aux=0.15,ownership,v2_7+residual0.25,residual_active,"NOT promoted: Phase2 clean fresh-band 2.5e9 paired vs iter8 = TIE both planes (s200 +14.6/z0.65; s800 +12.4/z0.51)",deepteacher_audit/ITER8_VS_ITER12_VERDICT.md,NOT_CHAMPION,"deepteacher run champion (warm-from champion-iter8, sims=800 gen, 12 iters). Sealed/washout used residual.pt baseline (DEFECT) not iter8 -> those deltas are vs residual. Champion stays flywheel2_champion_iter8."
