[capped] cells=128:6:1 MemoryHigh=16G MemoryMax=20G abort<4GB
[capped] started 2026-07-21_14:51:26
[eta] 6 sequential GPU runs (3 sizes x 2 seeds, ascending): f64 ~15-70min/run
[eta] (2026-07-01 arms-run wallclocks), f128 slower, f256 possibly 2-4h/run
[eta] -> total possibly 6-12h. First loss lines expected within ~10-20min.
=== SIZE f128b6 seed 1 2026-07-21_14:51:26 -> measurement/capacity_probe/f128b6_s1.log ===
[watchdog] 14:52:27 windows_free=20.5GB
[watchdog] 14:53:28 windows_free=14.8GB
[watchdog] 14:54:29 windows_free=12.2GB
[watchdog] 14:55:31 windows_free=12.2GB
[watchdog] 14:56:32 windows_free=12.1GB
[watchdog] 14:57:33 windows_free=12.2GB
[watchdog] 14:58:34 windows_free=12.2GB
[watchdog] 14:59:35 windows_free=12.2GB
[watchdog] 15:00:36 windows_free=12.2GB
[watchdog] 15:01:38 windows_free=12.2GB
[watchdog] 15:02:39 windows_free=12.2GB
[watchdog] 15:03:40 windows_free=12.2GB
[watchdog] 15:04:41 windows_free=12.1GB
[watchdog] 15:05:42 windows_free=11.9GB
[watchdog] 15:06:44 windows_free=12GB
[watchdog] 15:07:45 windows_free=11.8GB
[watchdog] 15:08:46 windows_free=12.1GB
[watchdog] 15:09:47 windows_free=12.6GB
[watchdog] 15:10:48 windows_free=12.6GB
[watchdog] 15:11:50 windows_free=12.5GB
[watchdog] 15:12:51 windows_free=12.6GB
[watchdog] 15:13:52 windows_free=12.5GB
[watchdog] 15:14:53 windows_free=12.5GB
[watchdog] 15:15:54 windows_free=12.6GB
[watchdog] 15:16:56 windows_free=12.6GB
[watchdog] 15:17:57 windows_free=12.7GB
[watchdog] 15:18:58 windows_free=12.6GB
[watchdog] 15:19:59 windows_free=12.6GB
[watchdog] 15:21:00 windows_free=12.5GB
[watchdog] 15:22:02 windows_free=12.6GB
[watchdog] 15:23:03 windows_free=12.6GB
[watchdog] 15:24:04 windows_free=12.6GB
[watchdog] 15:25:05 windows_free=12.5GB
[watchdog] 15:26:07 windows_free=12.5GB
[watchdog] 15:27:08 windows_free=12.6GB
[watchdog] 15:28:09 windows_free=12.5GB
[watchdog] 15:29:10 windows_free=12.6GB
[watchdog] 15:30:11 windows_free=12.5GB
[watchdog] 15:31:12 windows_free=12.6GB
[watchdog] 15:32:14 windows_free=12.5GB
[watchdog] 15:33:15 windows_free=12.6GB
[watchdog] 15:34:16 windows_free=12.6GB
[watchdog] 15:35:17 windows_free=12.4GB
[watchdog] 15:36:19 windows_free=12.6GB
[watchdog] 15:37:20 windows_free=12.6GB
[watchdog] 15:38:21 windows_free=12.6GB
[watchdog] 15:39:22 windows_free=12.6GB
[watchdog] 15:40:23 windows_free=12.6GB
[watchdog] 15:41:25 windows_free=12.7GB
[watchdog] 15:42:26 windows_free=12.6GB
[watchdog] 15:43:27 windows_free=12.7GB
[watchdog] 15:44:28 windows_free=12.6GB
[watchdog] 15:45:29 windows_free=12.6GB
[watchdog] 15:46:30 windows_free=12.5GB
[watchdog] 15:47:31 windows_free=12.6GB
[watchdog] 15:48:31 windows_free=12.4GB
[watchdog] 15:49:32 windows_free=12.6GB
[watchdog] 15:50:33 windows_free=12.5GB
[watchdog] 15:51:34 windows_free=12.6GB
[watchdog] 15:52:35 windows_free=12.6GB
[watchdog] 15:53:36 windows_free=12.5GB
[watchdog] 15:54:36 windows_free=12.6GB
[watchdog] 15:55:37 windows_free=12.5GB
[watchdog] 15:56:38 windows_free=12.5GB
[watchdog] 15:57:39 windows_free=12.4GB
[watchdog] 15:58:40 windows_free=13.1GB
[watchdog] 15:59:41 windows_free=13GB
[watchdog] 16:00:41 windows_free=13.1GB
[watchdog] 16:01:42 windows_free=13GB
[watchdog] 16:02:43 windows_free=13GB
[watchdog] 16:03:44 windows_free=13GB
[watchdog] 16:04:45 windows_free=12.7GB
[watchdog] 16:05:46 windows_free=12.8GB
[watchdog] 16:06:47 windows_free=12.5GB
[watchdog] 16:07:47 windows_free=12.7GB
[watchdog] 16:08:48 windows_free=13.1GB
[watchdog] 16:09:49 windows_free=13.5GB
[watchdog] 16:10:50 windows_free=13.5GB
[watchdog] 16:11:51 windows_free=13.5GB
[watchdog] 16:12:52 windows_free=13.6GB
[watchdog] 16:13:52 windows_free=13.6GB
[watchdog] 16:14:53 windows_free=13.5GB
[watchdog] 16:15:54 windows_free=13.6GB
[watchdog] 16:16:55 windows_free=13.5GB
[watchdog] 16:17:56 windows_free=13.6GB
[watchdog] 16:18:57 windows_free=13.6GB
[watchdog] 16:19:58 windows_free=13.6GB
[watchdog] 16:20:58 windows_free=13.6GB
[watchdog] 16:21:59 windows_free=13.6GB
[watchdog] 16:23:00 windows_free=13.6GB
[watchdog] 16:24:01 windows_free=13.6GB
[watchdog] 16:25:02 windows_free=13.4GB
[watchdog] 16:26:03 windows_free=13.4GB
[watchdog] 16:27:03 windows_free=13.6GB
[watchdog] 16:28:04 windows_free=13.6GB
[watchdog] 16:29:05 windows_free=13.6GB
[watchdog] 16:30:06 windows_free=13.6GB
[watchdog] 16:31:07 windows_free=13.4GB
[watchdog] 16:32:08 windows_free=13.4GB
[watchdog] 16:33:08 windows_free=13.4GB
[watchdog] 16:34:09 windows_free=13.4GB
[watchdog] 16:35:10 windows_free=13.4GB
[watchdog] 16:36:11 windows_free=13.5GB
[watchdog] 16:37:12 windows_free=13.6GB
[watchdog] 16:38:13 windows_free=13.5GB
[watchdog] 16:39:13 windows_free=13.6GB
[watchdog] 16:40:14 windows_free=13.6GB
[watchdog] 16:41:15 windows_free=13.6GB
[watchdog] 16:42:16 windows_free=13.6GB
[watchdog] 16:43:17 windows_free=13.7GB
[watchdog] 16:44:18 windows_free=13.6GB
[watchdog] 16:45:18 windows_free=13.6GB
[watchdog] 16:46:19 windows_free=13.7GB
[watchdog] 16:47:20 windows_free=13.6GB
[watchdog] 16:48:21 windows_free=13.7GB
[watchdog] 16:49:22 windows_free=13.6GB
[watchdog] 16:50:23 windows_free=13.6GB
[watchdog] 16:51:23 windows_free=13.6GB
[watchdog] 16:52:24 windows_free=13.6GB
[watchdog] 16:53:25 windows_free=13.5GB
[watchdog] 16:54:26 windows_free=13.6GB
[watchdog] 16:55:27 windows_free=13.5GB
[watchdog] 16:56:27 windows_free=13.6GB
[watchdog] 16:57:28 windows_free=13.6GB
[watchdog] 16:58:29 windows_free=13.6GB
[watchdog] 16:59:30 windows_free=13.6GB
[watchdog] 17:00:31 windows_free=13.5GB
    OK f128b6 s1 (rc=0) -> measurement/capacity_probe/f128b6_s1/V4_listwise/ranknet_best.pt
=== all capacity-probe trainings done -> measurement/capacity_probe ===
score:  .venv/bin/python scripts/canonical_az/solver_score.py --max-k 2 \
          $(for d in measurement/capacity_probe/f*b*_s*/V4_listwise/ranknet_best.pt; do echo --arm-ckpt $d; done) \
          --workers 12 --out measurement/capacity_probe/solver_score_capacity.json
[capped] finished 2026-07-21_17:00:44 rc=0
