cell	status	n	W	D	L	elo	sigma	paired_z	ms_ratio	secs	timestamp
cap5	DONE	100	49	2	49	0.0	34.7	-0.16	0.99	2724	2026-07-10_18:33:43
cap12	DONE	100	47	2	51	-13.9	34.8	-0.29	1.00	2721	2026-07-10_19:19:05
pclose080	DONE	100	51	1	48	10.4	34.8	0.99	1.00	2703	2026-07-10_20:04:09
pclose120	DONE	100	54	2	44	34.9	34.9	0.17	1.00	2901	2026-07-10_20:52:31
oppcap4	DONE	100	41	1	58	-59.6	35.3	-2.99	1.03	2811	2026-07-10_21:39:23
oppcap12	DONE	100	40	1	59	-66.8	35.4	-0.90	0.98	2410	2026-07-10_22:19:34
curve075	DONE	100	45	0	55	-34.9	34.9	-1.65	1.00	2455	2026-07-10_23:00:30
curve125	DONE	100	61	1	38	81.4	35.7	2.05	1.00	2398	2026-07-10_23:40:29
nocurve_mk2	DONE	100	36	2	62	-92.5	36.0	-3.77	0.99	2358	2026-07-11_00:19:48
bagclose	DONE	100	49	1	50	-3.5	34.7	-1.45	1.03	3133	2026-07-11_01:12:02
