trial	rung	status	n	W	D	L	elo	sigma	paired_margin	paired_z	ms_ratio	fresh_margin	secs	params_json	ts
0	A	DONE	40	20	0	20	0.0	54.9	+0.000	+nan	1.00	-	1073	{"bonus_cap": 8.0, "c_puct": 1.5, "curve_scale": 1.0, "opp_bonus_cap": 8.0, "pclose_scale": 1.0, "tau_p": 5.0, "value_norm": 15.0}	2026-07-14_11:41:12
0	A	DONE	52	26	0	26	0.0	48.2	+0.000	+nan	1.00	-	708	{"bonus_cap": 8.0, "c_puct": 1.5, "curve_scale": 1.0, "opp_bonus_cap": 8.0, "pclose_scale": 1.0, "tau_p": 5.0, "value_norm": 15.0}	2026-07-14_11:56:20
1	A	DONE	52	30	1	21	60.7	48.9	+1.558	+0.72	1.00	-	1739	{"bonus_cap": 8.0, "c_puct": 1.5, "curve_scale": 1.4, "opp_bonus_cap": 8.0, "pclose_scale": 1.0, "tau_p": 5.0, "value_norm": 15.0}	2026-07-14_12:25:19
2	A	DONE	52	30	0	22	53.9	48.8	-0.615	-0.22	1.02	-	1478	{"bonus_cap": 8.63, "c_puct": 1.27, "curve_scale": 1.104, "opp_bonus_cap": 6.92, "pclose_scale": 1.126, "tau_p": 4.56, "value_norm": 18.48}	2026-07-14_12:49:58
3	A	DONE	52	24	0	28	-26.8	48.3	-5.058	-2.01	1.00	-	1912	{"bonus_cap": 11.6, "c_puct": 1.55, "curve_scale": 1.177, "opp_bonus_cap": 9.84, "pclose_scale": 1.104, "tau_p": 6.36, "value_norm": 18.18}	2026-07-14_13:21:50
4	A	DONE	52	26	2	24	13.4	48.2	+1.712	+0.75	0.99	-	1573	{"bonus_cap": 10.31, "c_puct": 1.99, "curve_scale": 1.369, "opp_bonus_cap": 8.31, "pclose_scale": 1.179, "tau_p": 3.35, "value_norm": 16.76}	2026-07-14_13:48:04
5	A	DONE	52	20	1	31	-74.6	49.3	-2.308	-1.19	0.98	-	1755	{"bonus_cap": 9.31, "c_puct": 2.23, "curve_scale": 1.077, "opp_bonus_cap": 8.4, "pclose_scale": 0.906, "tau_p": 5.07, "value_norm": 21.24}	2026-07-14_14:17:19
6	A	DONE	52	26	2	24	13.4	48.2	+0.500	+0.26	0.99	-	1597	{"bonus_cap": 9.11, "c_puct": 1.65, "curve_scale": 1.368, "opp_bonus_cap": 9.78, "pclose_scale": 1.152, "tau_p": 4.57, "value_norm": 11.28}	2026-07-14_14:43:57
7	A	DONE	52	24	1	27	-20.1	48.3	+0.135	+0.05	0.98	-	2151	{"bonus_cap": 8.43, "c_puct": 1.83, "curve_scale": 1.348, "opp_bonus_cap": 8.92, "pclose_scale": 1.049, "tau_p": 4.77, "value_norm": 17.88}	2026-07-14_15:19:49
8	A	DONE	52	20	2	30	-67.7	49.1	+1.962	+0.82	0.98	-	1553	{"bonus_cap": 11.18, "c_puct": 1.94, "curve_scale": 1.429, "opp_bonus_cap": 9.62, "pclose_scale": 0.809, "tau_p": 3.67, "value_norm": 17.73}	2026-07-14_15:45:43
9	A	DONE	52	23	1	28	-33.5	48.4	-4.558	-2.39	1.01	-	1874	{"bonus_cap": 11.44, "c_puct": 1.69, "curve_scale": 1.142, "opp_bonus_cap": 7.59, "pclose_scale": 0.892, "tau_p": 6.2, "value_norm": 20.0}	2026-07-14_16:16:57
10	A	DONE	52	21	1	30	-60.7	48.9	-3.288	-1.32	0.97	-	1831	{"bonus_cap": 6.08, "c_puct": 2.22, "curve_scale": 0.807, "opp_bonus_cap": 7.09, "pclose_scale": 0.877, "tau_p": 5.44, "value_norm": 18.61}	2026-07-14_16:47:29
11	A	DONE	52	28	1	23	33.5	48.4	+1.558	+1.15	0.99	-	1935	{"bonus_cap": 6.04, "c_puct": 1.68, "curve_scale": 1.152, "opp_bonus_cap": 7.23, "pclose_scale": 0.93, "tau_p": 3.62, "value_norm": 10.11}	2026-07-14_17:19:44
