box	W	n	secs_wall	cand_ms_per_move	champ_ms_per_move	throughput_idx	solver_secs_per_game	timestamp
local	12	24	729	415.3	3889.9	5.575	14.9	2026-08-02_11:52:08
local	16	32	760	452.1	4337.7	6.681	15.5	2026-08-02_12:04:48
local	24	48	1037	574.8	5646.0	7.716	20.8	2026-08-02_12:22:05
local	30	60	1165	677.5	6656.0	8.182	22.8	2026-08-02_12:41:30
local	32	64	1286	713.8	6964.7	8.335	24.0	2026-08-02_13:04:10
local	36	72	1393	802.0	7900.6	8.273	26.5	2026-08-02_13:27:23
local	16	32	181	395.6	400.9	40.178	17.1	2026-08-03_00:19:51
local	24	48	296	464.9	472.9	51.184	21.2	2026-08-03_00:24:47
local	30	60	309	552.8	562.1	53.817	23.0	2026-08-03_00:29:56
local	32	64	317	581.6	591.6	54.554	24.3	2026-08-03_00:35:13
local	36	72	333	636.7	644.0	56.222	26.3	2026-08-03_00:40:46
local	48	96	443	884.1	895.9	53.933	36.3	2026-08-03_00:48:59
