2026-07-29 13:45:09 watchdog armed: glob=/mnt/c/carc-shared/oracle_22016_20260729/score/records/*.json n=237 pattern=oracle_score_pilot relaunch=bash /home/doctor/projects/carcassone/scripts/measurement_infra/run_kwidth_22016_20260729.sh score 237
2026-07-29 13:50:09 healthy: 0/237 records, workers alive
2026-07-29 13:55:09 healthy: 3/237 records, workers alive
2026-07-29 14:00:09 healthy: 7/237 records, workers alive
2026-07-29 14:05:10 healthy: 13/237 records, workers alive
2026-07-29 14:10:10 healthy: 17/237 records, workers alive
2026-07-29 14:15:10 healthy: 20/237 records, workers alive
2026-07-29 14:20:10 healthy: 30/237 records, workers alive
2026-07-29 14:25:10 healthy: 34/237 records, workers alive
2026-07-29 14:30:10 healthy: 38/237 records, workers alive
2026-07-29 14:35:11 healthy: 44/237 records, workers alive
2026-07-29 14:40:11 healthy: 46/237 records, workers alive
2026-07-29 14:45:11 healthy: 50/237 records, workers alive
2026-07-29 14:50:12 healthy: 53/237 records, workers alive
2026-07-29 14:55:12 healthy: 61/237 records, workers alive
2026-07-29 15:00:12 healthy: 66/237 records, workers alive
2026-07-29 15:05:13 healthy: 74/237 records, workers alive
2026-07-29 15:10:13 healthy: 74/237 records, workers alive
2026-07-29 15:15:13 healthy: 81/237 records, workers alive
2026-07-29 15:20:14 healthy: 83/237 records, workers alive
2026-07-29 15:25:14 healthy: 85/237 records, workers alive
2026-07-29 15:30:15 healthy: 91/237 records, workers alive
2026-07-29 15:35:15 healthy: 98/237 records, workers alive
2026-07-29 15:40:16 healthy: 103/237 records, workers alive
2026-07-29 15:45:17 healthy: 108/237 records, workers alive
2026-07-29 15:50:17 healthy: 112/237 records, workers alive
2026-07-29 15:55:18 healthy: 116/237 records, workers alive
2026-07-29 16:00:19 healthy: 122/237 records, workers alive
2026-07-29 16:05:19 healthy: 128/237 records, workers alive
2026-07-29 16:10:20 healthy: 130/237 records, workers alive
2026-07-29 16:15:21 healthy: 135/237 records, workers alive
2026-07-29 16:20:21 healthy: 138/237 records, workers alive
2026-07-29 16:25:22 healthy: 145/237 records, workers alive
2026-07-29 16:30:23 healthy: 149/237 records, workers alive
2026-07-29 16:35:24 healthy: 152/237 records, workers alive
2026-07-29 16:40:25 healthy: 155/237 records, workers alive
2026-07-29 16:45:26 healthy: 160/237 records, workers alive
2026-07-29 16:50:27 healthy: 166/237 records, workers alive
2026-07-29 16:55:28 healthy: 172/237 records, workers alive
2026-07-29 17:00:29 healthy: 177/237 records, workers alive
2026-07-29 17:05:31 healthy: 179/237 records, workers alive
2026-07-29 17:10:32 healthy: 184/237 records, workers alive
2026-07-29 17:15:33 healthy: 190/237 records, workers alive
2026-07-29 17:20:34 healthy: 198/237 records, workers alive
2026-07-29 17:25:36 healthy: 203/237 records, workers alive
2026-07-29 17:30:37 healthy: 206/237 records, workers alive
2026-07-29 17:35:38 healthy: 212/237 records, workers alive
2026-07-29 17:40:39 healthy: 214/237 records, workers alive
2026-07-29 17:45:40 healthy: 220/237 records, workers alive
2026-07-29 17:50:41 healthy: 224/237 records, workers alive
2026-07-29 17:55:42 healthy: 228/237 records, workers alive
2026-07-29 18:00:43 healthy: 232/237 records, workers alive
2026-07-29 18:05:44 DONE: 237/237 records
