[agree] carcassonne_ai.fair_agent -> /home/doctor/projects/carc-pinned-c72053a/src/carcassonne_ai/fair_agent.py
[agree] carcassonne_ai.mcts       -> /home/doctor/projects/carc-pinned-c72053a/src/carcassonne_ai/mcts.py
[agree] isolation VERIFIED against /home/doctor/projects/carc-pinned-c72053a/src
[agree] roots=898 salts=[1, 2, 3] jobs=2694 todo=2694 levels=(86, 172, 344, 516, 688, 1376, 2752) (totals [344, 688, 1376, 2064, 2752, 5504, 11008]) workers=16
         s28000000002_p67_r1 12.122s agreeQ_all=False [1/2694 296/h]
         s28000000002_p67_r3 13.087s agreeQ_all=False [2/2694 548/h]
        s28000000002_p115_r1 14.829s agreeQ_all=False [3/2694 726/h]
         s28000000000_p66_r2 15.437s agreeQ_all=False [4/2694 930/h]
         s28000000002_p67_r2 15.955s agreeQ_all=False [5/2694 1125/h]
         s28000000000_p66_r3 16.039s agreeQ_all=False [6/2694 1343/h]
         s28000000000_p66_r1 16.245s agreeQ_all=False [7/2694 1546/h]
         s28000000000_p75_r2 18.344s agreeQ_all=True [8/2694 1565/h]
         s28000000000_p75_r1 18.742s agreeQ_all=False [9/2694 1724/h]
         s28000000000_p75_r3 20.366s agreeQ_all=False [10/2694 1765/h]
        s28000000001_p104_r1 20.359s agreeQ_all=False [11/2694 1941/h]
        s28000000001_p104_r3 20.927s agreeQ_all=False [12/2694 2059/h]
        s28000000001_p104_r2 22.376s agreeQ_all=False [13/2694 2087/h]
        s28000000001_p102_r1 22.596s agreeQ_all=False [14/2694 2225/h]
        s28000000001_p102_r2 24.475s agreeQ_all=False [15/2694 2202/h]
        s28000000001_p102_r3 25.081s agreeQ_all=False [16/2694 2291/h]
        s28000000002_p115_r2 13.003s agreeQ_all=False [17/2694 2430/h]
          s28000000004_p1_r1 9.596s agreeQ_all=False [18/2694 2281/h]
          s28000000004_p1_r2 8.853s agreeQ_all=False [19/2694 2337/h]
          s28000000004_p1_r3 9.029s agreeQ_all=False [20/2694 2445/h]
        s28000000002_p115_r3 16.625s agreeQ_all=False [21/2694 2539/h]
         s28000000003_p66_r2 19.003s agreeQ_all=True [22/2694 2296/h]
         s28000000003_p80_r1 20.281s agreeQ_all=False [23/2694 2276/h]
         s28000000003_p80_r2 21.172s agreeQ_all=True [24/2694 2305/h]
         s28000000005_p19_r1 12.979s agreeQ_all=True [25/2694 2399/h]
         s28000000004_p44_r1 16.894s agreeQ_all=True [26/2694 2470/h]
         s28000000005_p19_r3 12.752s agreeQ_all=True [27/2694 2561/h]
         s28000000003_p66_r3 22.265s agreeQ_all=False [28/2694 2634/h]
         s28000000005_p19_r2 13.384s agreeQ_all=True [29/2694 2709/h]
         s28000000003_p66_r1 24.351s agreeQ_all=True [30/2694 2751/h]
         s28000000003_p80_r3 21.93s agreeQ_all=True [31/2694 2766/h]
         s28000000004_p44_r2 18.765s agreeQ_all=False [32/2694 2796/h]
         s28000000004_p44_r3 19.183s agreeQ_all=True [33/2694 2839/h]
         s28000000006_p90_r1 15.209s agreeQ_all=False [34/2694 2720/h]
         s28000000008_p15_r2 12.07s agreeQ_all=True [35/2694 2599/h]
         s28000000010_p48_r1 14.932s agreeQ_all=True [36/2694 2391/h]
         s28000000005_p91_r2 25.03s agreeQ_all=False [37/2694 2452/h]
         s28000000007_p53_r3 20.004s agreeQ_all=False [38/2694 2507/h]
         s28000000005_p91_r1 26.667s agreeQ_all=False [39/2694 2548/h]
         s28000000010_p48_r2 15.116s agreeQ_all=True [40/2694 2596/h]
         s28000000011_p24_r1 13.781s agreeQ_all=True [41/2694 2652/h]
         s28000000005_p91_r3 26.271s agreeQ_all=False [42/2694 2713/h]
         s28000000009_p47_r1 20.407s agreeQ_all=False [43/2694 2673/h]
         s28000000009_p47_r3 20.153s agreeQ_all=False [44/2694 2728/h]
         s28000000009_p47_r2 20.611s agreeQ_all=False [45/2694 2786/h]
         s28000000010_p69_r1 19.641s agreeQ_all=False [46/2694 2721/h]
          s28000000014_p7_r2 10.148s agreeQ_all=True [47/2694 2578/h]
        s28000000009_p137_r1 28.255s agreeQ_all=True [48/2694 2610/h]
          s28000000014_p7_r3 11.115s agreeQ_all=True [49/2694 2641/h]
          s28000000014_p7_r1 13.02s agreeQ_all=False [50/2694 2642/h]
         s28000000012_p69_r3 19.671s agreeQ_all=True [51/2694 2693/h]
        s28000000009_p137_r2 30.762s agreeQ_all=True [52/2694 2711/h]
        s28000000011_p109_r3 24.308s agreeQ_all=False [53/2694 2752/h]
        s28000000009_p137_r3 35.433s agreeQ_all=True [54/2694 2628/h]
         s28000000015_p42_r2 18.42s agreeQ_all=False [55/2694 2588/h]
         s28000000015_p42_r3 19.771s agreeQ_all=False [56/2694 2587/h]
         s28000000015_p42_r1 20.786s agreeQ_all=True [57/2694 2606/h]
         s28000000014_p45_r1 23.092s agreeQ_all=True [58/2694 2648/h]
        s28000000013_p126_r3 27.875s agreeQ_all=False [59/2694 2576/h]
         s28000000017_p73_r3 15.69s agreeQ_all=True [60/2694 2618/h]
        s28000000013_p126_r1 30.095s agreeQ_all=False [61/2694 2603/h]
        s28000000013_p126_r2 30.349s agreeQ_all=False [62/2694 2636/h]
         s28000000017_p73_r1 19.77s agreeQ_all=True [63/2694 2654/h]
         s28000000018_p83_r2 17.769s agreeQ_all=False [64/2694 2653/h]
         s28000000017_p73_r2 21.084s agreeQ_all=False [65/2694 2680/h]
         s28000000018_p83_r3 21.456s agreeQ_all=False [66/2694 2616/h]
         s28000000019_p30_r3 17.348s agreeQ_all=False [67/2694 2640/h]
         s28000000019_p35_r3 16.064s agreeQ_all=False [68/2694 2604/h]
        s28000000017_p136_r1 26.057s agreeQ_all=False [69/2694 2637/h]
         s28000000019_p35_r2 18.48s agreeQ_all=False [70/2694 2653/h]
        s28000000015_p131_r2 34.835s agreeQ_all=True [71/2694 2670/h]
        s28000000017_p136_r2 29.77s agreeQ_all=True [72/2694 2646/h]
         s28000000022_p52_r2 16.612s agreeQ_all=False [73/2694 2602/h]
         s28000000022_p52_r1 19.134s agreeQ_all=False [74/2694 2621/h]
         s28000000020_p61_r3 23.257s agreeQ_all=True [75/2694 2646/h]
         s28000000020_p96_r1 23.624s agreeQ_all=False [76/2694 2670/h]
        s28000000021_p126_r3 20.438s agreeQ_all=False [77/2694 2693/h]
        s28000000022_p108_r1 18.406s agreeQ_all=True [78/2694 2703/h]
         s28000000022_p52_r3 19.541s agreeQ_all=False [79/2694 2728/h]
         s28000000025_p13_r2 15.017s agreeQ_all=False [80/2694 2617/h]
        s28000000022_p108_r2 23.597s agreeQ_all=True [81/2694 2640/h]
         s28000000024_p52_r2 18.759s agreeQ_all=False [82/2694 2617/h]
         s28000000024_p52_r3 20.473s agreeQ_all=False [83/2694 2605/h]
         s28000000027_p15_r1 13.051s agreeQ_all=False [84/2694 2617/h]
        s28000000023_p107_r1 25.676s agreeQ_all=True [85/2694 2626/h]
         s28000000027_p15_r2 13.564s agreeQ_all=False [86/2694 2657/h]
        s28000000025_p118_r2 19.306s agreeQ_all=False [87/2694 2671/h]
        s28000000025_p118_r1 22.2s agreeQ_all=False [88/2694 2686/h]
         s28000000026_p46_r3 16.314s agreeQ_all=True [89/2694 2707/h]
         s28000000023_p98_r1 31.925s agreeQ_all=False [90/2694 2717/h]
        s28000000023_p107_r2 29.317s agreeQ_all=True [91/2694 2714/h]
         s28000000026_p46_r2 19.148s agreeQ_all=True [92/2694 2742/h]
         s28000000026_p46_r1 20.387s agreeQ_all=True [93/2694 2758/h]
         s28000000029_p11_r1 12.321s agreeQ_all=False [94/2694 2764/h]
         s28000000029_p11_r2 11.945s agreeQ_all=False [95/2694 2793/h]
         s28000000027_p94_r1 23.52s agreeQ_all=False [96/2694 2712/h]
         s28000000027_p94_r3 27.339s agreeQ_all=False [97/2694 2653/h]
         s28000000030_p85_r2 20.139s agreeQ_all=True [98/2694 2600/h]
         s28000000030_p85_r1 23.01s agreeQ_all=True [99/2694 2588/h]
         s28000000031_p45_r2 19.39s agreeQ_all=True [100/2694 2613/h]
        s28000000032_p131_r2 15.699s agreeQ_all=True [101/2694 2632/h]
        s28000000032_p131_r1 15.997s agreeQ_all=True [102/2694 2652/h]
         s28000000030_p85_r3 21.957s agreeQ_all=True [103/2694 2677/h]
        s28000000032_p124_r1 17.748s agreeQ_all=True [104/2694 2702/h]
        s28000000032_p124_r2 17.789s agreeQ_all=True [105/2694 2715/h]
         s28000000029_p70_r3 26.762s agreeQ_all=False [106/2694 2733/h]
         s28000000031_p80_r3 18.996s agreeQ_all=True [107/2694 2757/h]
         s28000000031_p80_r1 20.982s agreeQ_all=True [108/2694 2772/h]
         s28000000030_p88_r1 24.968s agreeQ_all=True [109/2694 2773/h]
         s28000000030_p88_r2 25.049s agreeQ_all=True [110/2694 2782/h]
         s28000000030_p88_r3 25.741s agreeQ_all=True [111/2694 2781/h]
         s28000000036_p16_r1 13.81s agreeQ_all=True [112/2694 2634/h]
         s28000000036_p16_r2 13.523s agreeQ_all=True [113/2694 2656/h]
         s28000000035_p25_r1 14.99s agreeQ_all=False [114/2694 2680/h]
         s28000000035_p25_r2 14.716s agreeQ_all=False [115/2694 2703/h]
         s28000000035_p25_r3 14.899s agreeQ_all=False [116/2694 2722/h]
