gen_id,seed,ply,k,phase,legal_n,score_margin_abs,meeples_free,converged,h3200_move,deep_move,deep_minus_shallow_immediate,rod1_matches_deep,mechanism,sub_mechanism,affects_winloss_guess
mp1925000039,1925000039,128,8,pre_endgame,52,6,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000061,1925000061,128,8,pre_endgame,40,38,"[1, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000009,1925000009,128,8,pre_endgame,50,26,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000048,1925000048,128,8,pre_endgame,64,10,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000036,1925000036,128,8,pre_endgame,38,4,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000051,1925000051,128,8,pre_endgame,51,16,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000042,1925000042,124,10,pre_endgame,39,14,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000032,1925000032,124,10,pre_endgame,29,16,"[1, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000052,1925000052,124,10,pre_endgame,26,4,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000036,1925000036,124,10,pre_endgame,29,4,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000068,1925000068,124,10,pre_endgame,38,16,"[1, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000079,1925000079,124,10,pre_endgame,33,13,"[0, 0]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000004,1925000004,124,10,pre_endgame,60,42,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000063,1925000063,124,10,pre_endgame,60,13,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000087,1925000087,124,10,pre_endgame,41,34,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000002,1925000002,124,10,pre_endgame,60,14,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000024,1925000024,124,10,pre_endgame,37,2,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000089,1925000089,124,10,pre_endgame,44,4,"[0, 0]",True,tile_place,tile_place,10,False,"tile placement (same phase, different square = blocking/conversion/tempo)",deep completes +10 more pts this turn (shallow leaves a completion / conversion),possible W/L
mp1925000021,1925000021,120,12,pre_endgame,30,1,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000036,1925000036,120,12,pre_endgame,40,4,"[0, 0]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000064,1925000064,120,12,pre_endgame,37,50,"[0, 1]",True,tile_place,tile_place,0,False,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
mp1925000011,1925000011,120,12,pre_endgame,60,19,"[1, 1]",True,tile_place,tile_place,0,True,"tile placement (same phase, different square = blocking/conversion/tempo)","equal turn scoring (positional / blocking / future-equity, no completion diff)",possible W/L
