iter,ckpt_id,parent_id,sha256_12,games,npz,gen_sec,train_sec,opt_steps,n_train_pos,train_pol_last,val_pol_last,policy_entropy,baseline_entropy,entropy_floor,value_corr,smoke_n,smoke_wr_vs_parent,smoke_elo_vs_parent,verdict,code_commit
0,distill_iter_00,warmstart_canonical,8db88bdb59f1,600,600,11610.0,154.0,966,82031,1.6556,1.7588,1.6949,1.6351,0.8175,0.3128,,,,HEALTHY,54fe12fbe97e
1,distill_iter_01,iter_00,97d239c436c6,600,600,11560.0,304.0,1926,164048,1.632,1.7219,1.6561,1.6351,0.8175,0.5394,,,,HEALTHY,04b951ffdcd9
2,distill_iter_02,iter_01,1099eb5a0839,600,600,11643.0,446.0,2886,246071,1.613,1.6749,1.6317,1.6351,0.8175,0.5578,,,,HEALTHY,2b550fa66d7d
3,distill_iter_03,iter_02,72639a92b0fa,600,600,11920.0,589.0,3846,328080,1.5972,1.6702,1.621,1.6351,0.8175,0.7036,,,,HEALTHY,01e675331562
4,distill_iter_04,iter_03,3de78cbe96b6,300,300,5038.0,669.0,4329,369094,1.5803,1.6361,1.6069,1.6351,0.8175,0.7544,,,,HEALTHY,40a3acd11db4
5,distill_iter_05,iter_04,1a40f2640503,300,300,7391.0,741.0,4809,410112,1.5689,1.622,1.5922,1.6351,0.8175,0.8339,,,,HEALTHY,8f228d1265cd
6,distill_iter_06,iter_05,6dfe737140de,300,300,4827.0,811.0,5289,451111,1.5615,1.5953,1.5893,1.6351,0.8175,0.8309,,,,HEALTHY,f4f276af0e59
7,distill_iter_07,iter_06,7171a6bdd887,300,300,3920.0,886.0,5772,492124,1.5572,1.5946,1.5804,1.6351,0.8175,0.8491,,,,HEALTHY,389fd3c0b434
8,distill_iter_08,iter_07,42d27f96af81,300,300,6428.0,957.0,6249,533110,1.5531,1.5845,1.598,1.6351,0.8175,0.8859,,,,HEALTHY,56cae6bddc58
9,distill_iter_09,iter_08,31a714a78182,300,300,4040.0,1033.0,6732,574126,1.5511,1.5676,1.5736,1.6351,0.8175,0.8659,,,,HEALTHY,c8fc56cc9032
10,distill_iter_10,iter_09,91d8e3a22fa8,300,300,3977.0,1104.0,7212,615148,1.5493,1.566,1.53,1.6351,0.8175,0.885,,,,HEALTHY,b8404c673d53
11,distill_iter_11,iter_10,0275c696a6d7,300,300,3942.0,1178.0,7692,656149,1.5463,1.5618,1.5656,1.6351,0.8175,0.8877,,,,HEALTHY,5e292f5e5a50
12,distill_iter_12,iter_11,a12bdee49f53,300,300,6735.0,1105.0,7212,615122,1.5467,1.5622,1.5293,1.6351,0.8175,0.8928,,,,HEALTHY,8f4b0e3ee0f4
13,distill_iter_13,iter_12,86b73ae20235,300,300,3920.0,1028.0,6732,574117,1.5462,1.57,1.5663,1.6351,0.8175,0.896,,,,HEALTHY,6db7f67e5023
14,distill_iter_14,iter_13,85f589096eae,300,300,4104.0,960.0,6249,533102,1.5486,1.5543,1.5423,1.6351,0.8175,0.9107,,,,HEALTHY,ff20977364d7
15,distill_iter_15,iter_14,010414447b2f,300,300,3981.0,882.0,5772,492086,1.5494,1.5668,1.5397,1.6351,0.8175,0.9031,,,,HEALTHY,6b955f028802
16,distill_iter_16,iter_15,0c854d742d49,300,300,4166.0,883.0,5771,492068,1.5407,1.5511,1.5303,1.6351,0.8175,0.8887,,,,HEALTHY,4ae5bc061b2b
17,distill_iter_17,iter_16,c2902d05c945,300,300,6675.0,882.0,5771,492071,1.5371,1.5541,1.5079,1.6351,0.8175,0.8999,,,,HEALTHY,bbe531d18682
18,distill_iter_18,iter_17,6cd68618e0da,300,300,3984.0,882.0,5772,492060,1.5256,1.5336,1.5283,1.6351,0.8175,0.9018,,,,HEALTHY,835272a20948
19,distill_iter_19,iter_18,d0bfd921cf17,300,300,4104.0,881.0,5772,492055,1.5207,1.5084,1.5156,1.6351,0.8175,0.8892,,,,HEALTHY,cca9c93c5f84
20,distill_iter_20,iter_19,c929b2096c0b,300,300,4710.0,886.0,5772,492089,1.5165,1.5297,1.5203,1.6351,0.8175,0.9147,,,,HEALTHY,e7fa4f459035
