2026-07-28 21:56:12 watchdog armed: glob=/mnt/c/carc-shared/eqtime_netprior_k4x169_vs_deploy_b82000000000/seed*_a*.json n=400 pattern=seed-start 82000000000 relaunch=env CAND_SIMS=169 W=16 N=400 BAND=82000000000 bash /mnt/c/carc-shared/eqtime_netprior_gate_launch.sh
2026-07-28 22:01:12 healthy: 0/400 records, workers alive
2026-07-28 22:06:12 healthy: 13/400 records, workers alive
2026-07-28 22:11:12 healthy: 16/400 records, workers alive
2026-07-28 22:16:12 healthy: 26/400 records, workers alive
2026-07-28 22:21:12 healthy: 33/400 records, workers alive
2026-07-28 22:26:13 healthy: 46/400 records, workers alive
2026-07-28 22:31:13 healthy: 50/400 records, workers alive
2026-07-28 22:36:13 healthy: 62/400 records, workers alive
2026-07-28 22:41:13 healthy: 69/400 records, workers alive
2026-07-28 22:46:13 healthy: 78/400 records, workers alive
2026-07-28 22:51:14 healthy: 84/400 records, workers alive
2026-07-28 22:56:14 healthy: 94/400 records, workers alive
2026-07-28 23:01:14 healthy: 100/400 records, workers alive
2026-07-28 23:06:15 healthy: 111/400 records, workers alive
2026-07-28 23:11:15 healthy: 120/400 records, workers alive
2026-07-28 23:16:15 healthy: 127/400 records, workers alive
2026-07-28 23:21:16 healthy: 134/400 records, workers alive
2026-07-28 23:26:17 healthy: 141/400 records, workers alive
2026-07-28 23:31:17 healthy: 151/400 records, workers alive
2026-07-28 23:36:18 healthy: 156/400 records, workers alive
2026-07-28 23:41:18 healthy: 167/400 records, workers alive
2026-07-28 23:46:19 healthy: 173/400 records, workers alive
2026-07-28 23:51:20 healthy: 182/400 records, workers alive
2026-07-28 23:56:20 healthy: 188/400 records, workers alive
2026-07-29 00:01:21 healthy: 196/400 records, workers alive
2026-07-29 00:06:22 healthy: 205/400 records, workers alive
2026-07-29 00:11:22 healthy: 212/400 records, workers alive
2026-07-29 00:16:23 healthy: 222/400 records, workers alive
2026-07-29 00:21:24 healthy: 230/400 records, workers alive
2026-07-29 00:26:24 healthy: 236/400 records, workers alive
2026-07-29 00:31:25 healthy: 246/400 records, workers alive
2026-07-29 00:36:26 healthy: 255/400 records, workers alive
2026-07-29 00:41:26 healthy: 265/400 records, workers alive
2026-07-29 00:46:27 healthy: 272/400 records, workers alive
2026-07-29 00:51:28 healthy: 281/400 records, workers alive
2026-07-29 00:56:29 healthy: 290/400 records, workers alive
2026-07-29 01:01:29 healthy: 299/400 records, workers alive
2026-07-29 01:06:30 healthy: 309/400 records, workers alive
2026-07-29 01:11:31 healthy: 318/400 records, workers alive
2026-07-29 01:16:32 healthy: 326/400 records, workers alive
2026-07-29 01:21:33 healthy: 336/400 records, workers alive
2026-07-29 01:26:34 healthy: 344/400 records, workers alive
2026-07-29 01:31:35 healthy: 353/400 records, workers alive
2026-07-29 01:36:36 healthy: 360/400 records, workers alive
2026-07-29 01:41:37 healthy: 371/400 records, workers alive
2026-07-29 01:46:37 healthy: 377/400 records, workers alive
2026-07-29 01:51:38 healthy: 389/400 records, workers alive
2026-07-29 01:56:39 healthy: 392/400 records, workers alive
2026-07-29 02:01:40 healthy: 399/400 records, workers alive
2026-07-29 02:06:41 DONE: 400/400 records
