seed,ply,k,phase,score_self,score_opp,meeples_self,legal_n,rod1_move,h3200_move,exact_move,rod1_regret,h3200_optimal,value_spread,mechanism
3200000129,140,2,TILES,67,64,0,76,tile_place,tile_place,UNKNOWN,9.0,False,11.0,both-suboptimal (exact differs from both; needs solve)
3200000022,140,2,TILES,42,16,0,50,tile_place,tile_place,tile_place,6.0,True,15.0,last-tile placement / scoring-conversion (different placement)
3200000099,140,2,TILES,38,57,1,47,tile_place,tile_place,tile_place,4.0,True,12.0,last-tile placement / scoring-conversion (different placement)
3200000004,140,2,TILES,37,37,1,75,tile_place,tile_place,UNKNOWN,3.0,False,6.0,both-suboptimal (exact differs from both; needs solve)
3200000057,140,2,TILES,41,39,0,54,tile_place,tile_place,tile_place,3.0,True,4.0,last-tile placement / scoring-conversion (different placement)
3200000077,140,2,TILES,32,12,0,42,tile_place,tile_place,tile_place,3.0,True,3.0,last-tile placement / scoring-conversion (different placement)
3200000103,140,2,TILES,21,38,0,40,tile_place,tile_place,UNKNOWN,3.0,False,3.0,both-suboptimal (exact differs from both; needs solve)
3200000127,140,2,TILES,52,58,0,57,tile_place,tile_place,UNKNOWN,3.0,False,4.0,both-suboptimal (exact differs from both; needs solve)
3200000003,140,2,TILES,49,15,0,45,tile_place,tile_place,UNKNOWN,2.0,False,9.0,both-suboptimal (exact differs from both; needs solve)
3200000008,140,2,TILES,80,44,1,30,tile_place,tile_place,tile_place,2.0,True,2.0,last-tile placement / scoring-conversion (different placement)
3200000011,140,2,TILES,44,42,0,48,tile_place,tile_place,tile_place,2.0,True,2.0,last-tile placement / scoring-conversion (different placement)
3200000025,140,2,TILES,31,36,0,60,tile_place,tile_place,tile_place,2.0,True,3.0,last-tile placement / scoring-conversion (different placement)
3200000034,140,2,TILES,62,34,0,53,tile_place,tile_place,UNKNOWN,2.0,False,4.0,both-suboptimal (exact differs from both; needs solve)
3200000074,140,2,TILES,41,28,0,46,tile_place,tile_place,UNKNOWN,2.0,False,7.0,both-suboptimal (exact differs from both; needs solve)
3200000080,140,2,TILES,36,37,0,54,tile_place,tile_place,tile_place,2.0,True,3.0,last-tile placement / scoring-conversion (different placement)
3200000095,140,2,TILES,33,47,1,33,tile_place,tile_place,tile_place,2.0,True,7.0,last-tile placement / scoring-conversion (different placement)
3200000121,140,2,TILES,35,30,1,24,tile_place,tile_place,UNKNOWN,2.0,False,4.0,both-suboptimal (exact differs from both; needs solve)
3200000130,140,2,TILES,18,44,0,44,tile_place,tile_place,tile_place,2.0,True,13.0,last-tile placement / scoring-conversion (different placement)
3200000132,140,2,TILES,18,37,0,29,tile_place,tile_place,UNKNOWN,2.0,False,3.0,both-suboptimal (exact differs from both; needs solve)
3200000005,140,2,TILES,29,40,0,60,tile_place,tile_place,UNKNOWN,1.0,False,2.0,both-suboptimal (exact differs from both; needs solve)
3200000009,140,2,TILES,20,42,0,66,tile_place,tile_place,tile_place,1.0,True,1.0,last-tile placement / scoring-conversion (different placement)
3200000018,140,2,TILES,32,37,0,51,tile_place,tile_place,tile_place,1.0,True,1.0,last-tile placement / scoring-conversion (different placement)
3200000019,140,2,TILES,62,30,0,43,tile_place,tile_place,UNKNOWN,1.0,False,19.0,both-suboptimal (exact differs from both; needs solve)
3200000020,140,2,TILES,53,42,1,41,tile_place,tile_place,tile_place,1.0,True,2.0,last-tile placement / scoring-conversion (different placement)
3200000030,140,2,TILES,33,20,0,58,tile_place,tile_place,UNKNOWN,1.0,False,1.0,both-suboptimal (exact differs from both; needs solve)
3200000044,140,2,TILES,54,46,1,55,tile_place,tile_place,tile_place,1.0,True,5.0,last-tile placement / scoring-conversion (different placement)
3200000051,140,2,TILES,36,21,0,27,tile_place,tile_place,tile_place,1.0,True,2.0,last-tile placement / scoring-conversion (different placement)
3200000056,140,2,TILES,40,46,0,40,tile_place,tile_place,tile_place,1.0,True,2.0,last-tile placement / scoring-conversion (different placement)
3200000062,139,2,TILES,22,53,0,42,tile_place,tile_place,tile_place,1.0,True,4.0,last-tile placement / scoring-conversion (different placement)
3200000063,140,2,TILES,37,56,0,38,tile_place,tile_place,tile_place,1.0,True,5.0,last-tile placement / scoring-conversion (different placement)
3200000064,140,2,TILES,56,21,0,43,tile_place,tile_place,tile_place,1.0,True,2.0,last-tile placement / scoring-conversion (different placement)
3200000071,140,2,TILES,47,28,0,40,tile_place,tile_place,UNKNOWN,1.0,False,3.0,both-suboptimal (exact differs from both; needs solve)
3200000073,140,2,TILES,51,33,0,46,tile_place,tile_place,UNKNOWN,1.0,False,4.0,both-suboptimal (exact differs from both; needs solve)
3200000075,140,2,TILES,59,51,0,53,tile_place,tile_place,UNKNOWN,1.0,False,10.0,both-suboptimal (exact differs from both; needs solve)
3200000079,140,2,TILES,32,44,0,41,tile_place,tile_place,tile_place,1.0,True,2.0,last-tile placement / scoring-conversion (different placement)
3200000081,140,2,TILES,40,56,0,33,tile_place,tile_place,tile_place,1.0,True,1.0,last-tile placement / scoring-conversion (different placement)
3200000085,140,2,TILES,4,23,0,34,tile_place,tile_place,tile_place,1.0,True,2.0,last-tile placement / scoring-conversion (different placement)
3200000086,140,2,TILES,44,36,0,56,tile_place,tile_place,tile_place,1.0,True,2.0,last-tile placement / scoring-conversion (different placement)
3200000098,140,2,TILES,55,37,0,42,tile_place,tile_place,tile_place,1.0,True,25.0,last-tile placement / scoring-conversion (different placement)
3200000102,140,2,TILES,57,28,1,52,tile_place,tile_place,UNKNOWN,1.0,False,8.0,both-suboptimal (exact differs from both; needs solve)
