case_id,dataset,position_id,k,band,source,n_legal,gap,v27_choice,ref_choice,ref_kind,v27_q,ref_q,v27_eval,ref_eval,mechanism_raw,failure_class,candidate_patch,leaf_addressable,also_iter8_miss,raw_path
mid::greedy_s3500000027_K40,midgame,greedy_s3500000027_K40,40,early_mid,greedy,16,0.2272,957,1369,teacher(heur@3200),-0.41996,-0.11699,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,False,
mid::greedy_s3500000014_K52,midgame,greedy_s3500000014_K52,52,opening,greedy,19,0.1525,1060,1063,teacher(heur@3200),-0.08633,0.16048,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::greedy_s3500000040_K52,midgame,greedy_s3500000040_K52,52,opening,greedy,20,0.1481,849,1356,teacher(heur@3200),-0.4635,0.26822,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::iter8_s3501000000_K28,midgame,iter8_s3501000000_K28,28,mid,iter8,46,0.1087,1139,1657,teacher(heur@3200),0.15624,0.27162,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::hybrid_8_3200_s3503000019_K52,midgame,hybrid_8_3200_s3503000019_K52,52,opening,hybrid:8:3200,28,0.0918,1060,1152,teacher(heur@3200),0.37121,0.46299,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::iter8_s3501000010_K16,midgame,iter8_s3501000010_K16,16,late_mid,iter8,30,0.0897,848,1241,teacher(heur@3200),0.24555,0.33521,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,False,
mid::greedy_s3500000001_K52,midgame,greedy_s3500000001_K52,52,opening,greedy,23,0.0876,949,1144,teacher(heur@3200),-0.39265,-0.30455,,,completion/score-greed,completion-timing,completion_timing_v1,partial,False,
mid::iter8_s3501000016_K28,midgame,iter8_s3501000016_K28,28,mid,iter8,34,0.0832,660,1567,teacher(heur@3200),0.33967,0.51422,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,False,
mid::greedy_s3500000009_K52,midgame,greedy_s3500000009_K52,52,opening,greedy,17,0.0744,957,1056,teacher(heur@3200),-0.04138,0.11246,,,completion/score-greed,completion-timing,completion_timing_v1,partial,False,
mid::greedy_s3500000044_K52,midgame,greedy_s3500000044_K52,52,opening,greedy,37,0.0695,932,1239,teacher(heur@3200),-0.14694,0.41645,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::greedy_s3500000000_K52,midgame,greedy_s3500000000_K52,52,opening,greedy,26,0.1292,844,1040,teacher(heur@3200),-0.2141,-0.02296,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::heur3200_s3502000024_K52,midgame,heur3200_s3502000024_K52,52,opening,heur@3200,40,0.0593,948,1444,teacher(heur@3200),0.27451,0.37891,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::greedy_s3500000019_K16,midgame,greedy_s3500000019_K16,16,late_mid,greedy,88,0.0563,732,1356,teacher(heur@3200),0.47427,0.64534,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::heur3200_s3502000023_K52,midgame,heur3200_s3502000023_K52,52,opening,heur@3200,32,0.0554,856,1144,teacher(heur@3200),-0.56719,-0.51177,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::heur3200_s3502000025_K52,midgame,heur3200_s3502000025_K52,52,opening,heur@3200,28,0.0524,840,1644,teacher(heur@3200),0.18056,0.233,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::greedy_s3500000035_K52,midgame,greedy_s3500000035_K52,52,opening,greedy,40,0.0501,852,1056,teacher(heur@3200),0.1475,0.23242,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::greedy_s3500000015_K16,midgame,greedy_s3500000015_K16,16,late_mid,greedy,88,0.0495,728,1160,teacher(heur@3200),-0.3377,0.03209,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::greedy_s3500000006_K10,midgame,greedy_s3500000006_K10,10,pre_endgame,greedy,80,0.097,744,1332,teacher(heur@3200),-0.12187,0.10515,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::greedy_s3500000014_K28,midgame,greedy_s3500000014_K28,28,mid,greedy,52,0.048,1264,1360,teacher(heur@3200),0.8202,0.86816,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::iter8_s3501000049_K16,midgame,iter8_s3501000049_K16,16,late_mid,iter8,43,0.0441,749,1137,teacher(heur@3200),-0.14767,0.04153,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::iter8_s3501000002_K28,midgame,iter8_s3501000002_K28,28,mid,iter8,37,0.04,861,971,teacher(heur@3200),-0.66551,-0.60813,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,False,
mid::hybrid_8_3200_s3503000038_K40,midgame,hybrid_8_3200_s3503000038_K40,40,early_mid,hybrid:8:3200,26,0.038,1033,1324,teacher(heur@3200),0.11687,0.1549,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::iter8_s3501000019_K40,midgame,iter8_s3501000019_K40,40,early_mid,iter8,34,0.0374,1045,1533,teacher(heur@3200),-0.74995,-0.69386,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::iter8_s3501000022_K52,midgame,iter8_s3501000022_K52,52,opening,iter8,17,0.0363,1156,1454,teacher(heur@3200),-0.16599,-0.12966,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
mid::heur3200_s3502000021_K10,midgame,heur3200_s3502000021_K10,10,pre_endgame,heur@3200,54,0.0362,832,1160,teacher(heur@3200),-0.41184,-0.37372,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,False,
mid::heur3200_s3502000036_K52,midgame,heur3200_s3502000036_K52,52,opening,heur@3200,20,0.0358,1265,1450,teacher(heur@3200),0.29172,0.33763,,,structural/unclear,structural-positional,NONE(search-horizon),no,False,
