subset,n,v27_baseline,v28_farm,v28_meeple,v28_completion,v28_denial
ALL,1000,0.48,0.465,0.486,0.476,0.476
v27_miss,520,0.0,0.0212,0.025,0.0058,0.0077
v27_correct,480,1.0,0.9458,0.9854,0.9854,0.9833
iter8finds_v27miss,154,0.0,0.0519,0.039,0.0195,0.0065
band:opening,200,0.485,0.475,0.495,0.485,0.485
band:early_mid,200,0.51,0.5,0.525,0.515,0.505
band:mid,200,0.43,0.435,0.43,0.43,0.425
band:late_mid,200,0.46,0.42,0.465,0.46,0.465
band:pre_endgame,200,0.515,0.495,0.515,0.49,0.5
src:greedy,250,0.476,0.476,0.472,0.476,0.468
src:heur@3200,250,0.512,0.488,0.528,0.516,0.508
src:hybrid:8:3200,250,0.452,0.44,0.44,0.44,0.44
src:iter8,250,0.48,0.456,0.504,0.472,0.488
target:farm_final_value_v1,93,0.0,0.0108,0.0323,0.0108,0.0215
target:meeple_economy_v1,22,0.0,0.0,0.0909,0.0,0.0
target:completion_timing_v1,105,0.0,0.019,0.0381,0.0286,0.0286
