[2026-08-09T09:53:37-04:00] watchdog armed; target=400 out=/home/doctor/projects/carcassone/measurement/jcz_match_20260809/confirm.jsonl
[2026-08-09T09:53:37-04:00] games=0/400 driver_pid=4537 jvms=0 load=0.28
[2026-08-09T09:54:37-04:00] games=1/400 driver_pid=4537 jvms=14 load=10.78
[2026-08-09T09:55:37-04:00] games=13/400 driver_pid=4537 jvms=14 load=12.96
[2026-08-09T09:56:37-04:00] games=16/400 driver_pid=4537 jvms=14 load=14.16
[2026-08-09T09:57:37-04:00] games=28/400 driver_pid=4537 jvms=14 load=14.59
[2026-08-09T09:58:37-04:00] games=35/400 driver_pid=4537 jvms=14 load=14.52
[2026-08-09T09:59:37-04:00] games=43/400 driver_pid=4537 jvms=14 load=14.59
[2026-08-09T10:00:37-04:00] games=50/400 driver_pid=4537 jvms=14 load=14.58
[2026-08-09T10:01:38-04:00] games=62/400 driver_pid=4537 jvms=14 load=15.04
[2026-08-09T10:02:38-04:00] games=67/400 driver_pid=4537 jvms=14 load=14.44
[2026-08-09T10:03:38-04:00] games=80/400 driver_pid=4537 jvms=14 load=14.84
[2026-08-09T10:04:38-04:00] games=87/400 driver_pid=4537 jvms=14 load=14.43
[2026-08-09T10:05:38-04:00] games=96/400 driver_pid=4537 jvms=14 load=15.19
[2026-08-09T10:06:38-04:00] games=104/400 driver_pid=4537 jvms=14 load=14.87
[2026-08-09T10:07:38-04:00] games=114/400 driver_pid=4537 jvms=14 load=15.10
[2026-08-09T10:08:38-04:00] games=122/400 driver_pid=4537 jvms=14 load=14.77
[2026-08-09T10:09:38-04:00] games=134/400 driver_pid=4537 jvms=13 load=14.63
[2026-08-09T10:10:38-04:00] games=139/400 driver_pid=4537 jvms=14 load=14.48
[2026-08-09T10:11:38-04:00] games=149/400 driver_pid=4537 jvms=14 load=14.82
[2026-08-09T10:12:38-04:00] games=157/400 driver_pid=4537 jvms=14 load=14.49
[2026-08-09T10:13:38-04:00] games=167/400 driver_pid=4537 jvms=14 load=15.23
[2026-08-09T10:14:38-04:00] games=173/400 driver_pid=4537 jvms=14 load=15.43
[2026-08-09T10:15:38-04:00] games=185/400 driver_pid=4537 jvms=14 load=15.69
[2026-08-09T10:16:38-04:00] games=190/400 driver_pid=4537 jvms=14 load=16.20
[2026-08-09T10:17:38-04:00] games=198/400 driver_pid=4537 jvms=14 load=17.10
[2026-08-09T10:18:38-04:00] games=205/400 driver_pid=4537 jvms=14 load=18.36
[2026-08-09T10:19:38-04:00] games=214/400 driver_pid=4537 jvms=14 load=17.21
[2026-08-09T10:20:38-04:00] games=223/400 driver_pid=4537 jvms=14 load=16.26
[2026-08-09T10:21:38-04:00] games=230/400 driver_pid=4537 jvms=14 load=16.06
[2026-08-09T10:22:38-04:00] games=239/400 driver_pid=4537 jvms=14 load=16.56
[2026-08-09T10:23:38-04:00] games=246/400 driver_pid=4537 jvms=14 load=15.04
[2026-08-09T10:24:38-04:00] games=255/400 driver_pid=4537 jvms=14 load=15.14
[2026-08-09T10:25:38-04:00] games=265/400 driver_pid=4537 jvms=14 load=15.44
[2026-08-09T10:26:38-04:00] games=273/400 driver_pid=4537 jvms=14 load=14.92
[2026-08-09T10:27:38-04:00] games=282/400 driver_pid=4537 jvms=14 load=14.56
[2026-08-09T10:28:38-04:00] games=293/400 driver_pid=4537 jvms=14 load=14.78
[2026-08-09T10:29:38-04:00] games=298/400 driver_pid=4537 jvms=14 load=15.04
[2026-08-09T10:30:38-04:00] games=308/400 driver_pid=4537 jvms=14 load=14.70
[2026-08-09T10:31:38-04:00] games=315/400 driver_pid=4537 jvms=13 load=14.71
[2026-08-09T10:32:38-04:00] games=323/400 driver_pid=4537 jvms=14 load=14.46
[2026-08-09T10:33:38-04:00] games=336/400 driver_pid=4537 jvms=14 load=15.13
[2026-08-09T10:34:38-04:00] games=343/400 driver_pid=4537 jvms=14 load=14.91
[2026-08-09T10:35:38-04:00] games=351/400 driver_pid=4537 jvms=14 load=14.68
[2026-08-09T10:36:39-04:00] games=360/400 driver_pid=4537 jvms=13 load=14.77
[2026-08-09T10:37:39-04:00] games=369/400 driver_pid=4537 jvms=14 load=15.42
[2026-08-09T10:38:39-04:00] games=378/400 driver_pid=4537 jvms=14 load=14.98
[2026-08-09T10:39:39-04:00] games=386/400 driver_pid=4537 jvms=14 load=14.36
[2026-08-09T10:40:39-04:00] games=396/400 driver_pid=4537 jvms=4 load=10.92
[2026-08-09T10:41:39-04:00] games=400/400 driver_pid=NONE jvms=0 load=4.79
[2026-08-09T10:41:39-04:00] TARGET REACHED (400) — watchdog exiting
