our_tile_kind	our_turns	our_slot	jcz_feature	jcz_location	n_deploys	n_feature_verified	max_feature_atoms
bent_road	0	bottom	Road	SW	1	1	2
bent_road	0	left	Road	SW	3	3	7
bent_road	1	top	Road	NW	1	1	5
bent_road	1	top_right	Field	NR.EL.ER.SL.SR.WL	2	2	36
bent_road	2	bottom_right	Field	NL.ER.SL.SR.WL.WR	1	1	10
bent_road	2	right	Road	NE	1	1	6
bent_road	2	top_right	Field	NR.EL	1	1	2
bent_road	3	bottom	Road	SE	2	2	2
bent_road	3	bottom_left	Field	NL.NR.EL.SR.WL.WR	1	1	36
bent_road	3	bottom_right	Field	ER.SL	1	1	8
bent_road	3	right	Road	SE	1	1	4
bent_road_flowers	1	top_right	Field	NR.EL.ER.SL.SR.WL	1	1	16
bent_road_flowers	2	right	Road	NE	2	2	4
bent_road_flowers	3	bottom_left	Field	NL.NR.EL.SR.WL.WR	1	1	18
chapel	0	center	Monastery	I	1	1	1
chapel	1	center	Monastery	I	1	1	1
chapel	1	top_right	Field	NL.NR.EL.ER.SL.SR.WL.WR	1	1	26
chapel	2	center	Monastery	I	3	3	1
chapel	3	center	Monastery	I	1	1	1
chapel_with_road	2	center	Monastery	I	3	3	1
chapel_with_road	2	top	Road	N	1	1	1
city_bottom_grass	1	top_left	Field	WL.WR	1	1	2
city_bottom_grass_flowers	3	bottom	City	_E	1	1	4
city_bottom_grass_flowers	3	top	City	_E	1	1	4
city_bottom_grass_shield	0	left	City	_S	1	1	3
city_bottom_road	1	bottom	City	_W	1	1	3
city_bottom_road	3	left	City	_E	2	2	4
city_bottom_road_shield	0	bottom_right	Field	SL	1	1	1
city_bottom_road_shield	0	top	City	_S	1	1	6
city_bottom_road_shield	2	top	Road	N	1	1	1
city_bottom_road_shield	3	bottom	City	_E	1	1	7
city_bottom_road_shield	3	left	City	_E	1	1	3
city_bottom_road_shield	3	right	Road	E	1	1	1
city_diagonal_top_left_road	1	bottom_left	Field	SR.WL	1	1	4
city_diagonal_top_left_road	2	bottom	City	SE	1	1	2
city_diagonal_top_left_road	2	right	City	SE	1	1	3
city_diagonal_top_left_road	2	top_left	Field	NL.WR	1	1	2
city_diagonal_top_left_road	2	top_right	Field	NR.WL	1	1	8
city_diagonal_top_left_road	3	bottom_right	Field	NL.ER	1	1	18
city_diagonal_top_left_road	3	top	Road	NE	1	1	3
city_diagonal_top_left_road	3	top_right	Field	NR.EL	1	1	2
city_diagonal_top_left_shield_road	1	right	City	NE	1	1	2
city_diagonal_top_left_shield_road	1	top	City	NE	1	1	2
city_diagonal_top_left_shield_road	2	bottom	City	SE	1	1	2
city_diagonal_top_left_shield_road	2	left	Road	NW	1	1	2
city_diagonal_top_left_shield_road	2	right	City	SE	1	1	2
city_diagonal_top_left_shield_road	2	top_right	Field	NR.WL	1	1	6
city_diagonal_top_right	1	top_right	Field	NL.NR.WL.WR	1	1	4
city_diagonal_top_right	2	bottom	City	SW	1	1	3
city_diagonal_top_right_shield	1	right	City	SE	1	1	4
city_diagonal_top_right_shield	3	left	City	NW	1	1	4
city_left_right	1	bottom	City	S	1	1	1
city_left_right	3	bottom_left	Field	EL.ER.WL.WR	2	2	10
city_left_right	3	top	City	N	1	1	1
city_narrow_shield	1	bottom	City	NS	1	1	6
city_narrow_shield	1	top	City	NS	1	1	2
city_narrow_shield	1	top_left	Field	WL.WR	1	1	2
city_narrow_shield	1	top_right	Field	EL.ER	1	1	2
city_narrow_shield	2	bottom_right	Field	SL.SR	1	1	2
city_narrow_shield	3	bottom	City	NS	1	1	2
city_narrow_shield	3	bottom_left	Field	WL.WR	1	1	2
city_top	1	right	City	E	2	2	2
city_top	2	bottom	City	S	1	1	1
city_top	3	left	City	W	1	1	1
city_top_bottom_flowers	0	bottom	City	S	1	1	1
city_top_bottom_flowers	0	top_left	Field	EL.ER.WL.WR	1	1	4
city_top_crossroads	0	top_left	Field	EL.WR	1	1	6
city_top_crossroads	3	bottom	Road	S	1	1	1
city_top_flowers	2	bottom_right	Field	NL.NR.EL.ER.WL.WR	1	1	12
city_top_right	3	bottom_left	Field	EL.ER.SL.SR	1	1	19
city_top_road_bend_left	0	bottom	Road	SW	2	2	3
city_top_road_bend_left	0	top	City	N	1	1	1
city_top_road_bend_left	0	top_left	Field	EL.ER.SL.WR	1	1	6
city_top_road_bend_left	1	top_right	Field	NR.SL.SR.WL	3	3	8
city_top_road_bend_left	2	bottom	City	S	1	1	1
city_top_road_bend_left	2	bottom_right	Field	NL.ER.WL.WR	1	1	4
city_top_road_bend_left	2	top	Road	NE	1	1	2
city_top_road_bend_right	0	bottom_right	Field	ER.SL	1	1	5
city_top_road_bend_right	0	top	City	N	1	1	1
city_top_road_bend_right	1	right	City	E	1	1	1
city_top_road_bend_right	2	bottom_right	Field	NR.EL.ER.WL	2	2	8
city_top_straight_road	0	left	Road	WE	1	1	6
city_top_straight_road	1	top_right	Field	NR.SL	1	1	4
city_top_straight_road	2	right	Road	WE	1	1	3
city_top_straight_road	3	bottom_left	Field	NL.SR	1	1	2
crossroads	0	right	Road	E	1	1	3
crossroads	1	right	Road	E	1	1	1
full_city_with_shield	2	top	City	NWSE	1	1	6
full_city_with_shield	3	left	City	NWSE	1	1	7
straight_road	0	bottom	Road	NS	1	1	3
straight_road	1	bottom_right	Field	ER.SL.SR.WL	1	1	5
straight_road	2	top	Road	NS	1	1	2
straight_road	3	bottom_left	Field	ER.SL.SR.WL	2	2	8
straight_road	3	left	Road	WE	2	2	6
straight_road	3	right	Road	WE	1	1	2
three_split_road	0	top_left	Field	NL.NR.EL.WR	2	2	12
three_split_road	1	left	Road	W	2	2	1
three_split_road	1	top_left	Field	NL.WR	2	2	2
three_split_road	3	bottom	Road	S	1	1	1
three_split_road	3	top_right	Field	NR.EL	1	1	2
