utc,cell,n_workers,rss_workers_kb,rss_worker_max_kb,n_jvm,rss_jvm_kb,rss_jvm_max_kb,rss_total_kb,load1,mem_avail_kb
2026-08-17T23:39:57Z,jcz_CHAMP_deploy11008,1,3328,3328,1,19456,19456,22784,1.45,35997064
2026-08-17T23:40:02Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1002752,126976,1028864,1.97,34959784
2026-08-17T23:40:07Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1039360,129280,1065472,2.46,34950956
2026-08-17T23:40:12Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1042176,129280,1068288,2.90,34926916
2026-08-17T23:40:17Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1044736,129280,1070848,3.31,34916732
2026-08-17T23:40:22Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1056512,133376,1082624,3.69,34887000
2026-08-17T23:40:27Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1079640,137472,1105752,4.03,34842392
2026-08-17T23:40:32Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1101404,137728,1127516,4.35,34810208
2026-08-17T23:40:37Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1104436,139264,1130548,5.04,34818176
2026-08-17T23:40:42Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1104484,139520,1130596,5.28,34825004
2026-08-17T23:40:47Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1108836,140288,1134948,5.50,34819988
2026-08-17T23:40:52Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1108836,140288,1134948,5.70,34805632
2026-08-17T23:40:58Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1108836,140288,1134948,5.88,34794040
2026-08-17T23:41:03Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1108836,140288,1134948,6.05,34791396
2026-08-17T23:41:08Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1109092,140288,1135204,6.21,34785416
2026-08-17T23:41:13Z,jcz_CHAMP_deploy11008,2,26112,22784,9,1109092,140288,1135204,6.35,34783392
2026-08-17T23:41:18Z,jcz_CHAMP_deploy11008,2,26112,22784,8,976504,140288,1002616,6.57,34894700
2026-08-17T23:41:23Z,jcz_CHAMP_deploy11008,2,26112,22784,8,976504,140288,1002616,6.60,34883916
2026-08-17T23:41:28Z,jcz_CHAMP_deploy11008,2,26112,22784,7,838776,140288,864888,6.63,35000804
2026-08-17T23:41:33Z,jcz_CHAMP_deploy11008,2,26624,23296,4,433476,139776,460100,6.34,35360288
2026-08-17T23:41:38Z,jcz_CHAMP_deploy11008,2,26624,23296,4,433476,139776,460100,6.07,35359544
2026-08-17T23:41:43Z,jcz_CHAMP_deploy11008,2,26624,23296,4,433476,139776,460100,5.83,35358080
2026-08-17T23:41:48Z,jcz_CHAMP_deploy11008,2,26624,23296,3,295236,139776,321860,5.60,35466304
2026-08-17T23:41:53Z,jcz_CHAMP_deploy11008,1,23296,23296,3,295236,139776,318532,5.71,35504932
2026-08-17T23:41:58Z,jcz_CHAMP_deploy11008,1,23552,23552,2,163328,139776,186880,5.34,35628572
2026-08-17T23:42:03Z,jcz_CHAMP_deploy11008,1,23552,23552,2,163328,139776,186880,4.99,35622656
2026-08-17T23:42:08Z,jcz_CHAMP_deploy11008,1,23552,23552,2,163328,139776,186880,4.67,35616004
2026-08-17T23:42:10Z,jcz_ARB_B16J4_deploy11008,0,0,0,1,13312,13312,13312,4.67,36014680
2026-08-17T23:42:15Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,661248,111616,683776,4.94,35315640
2026-08-17T23:42:20Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,781312,113408,803840,5.18,35190920
2026-08-17T23:42:25Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,888320,125952,910848,5.41,35070092
2026-08-17T23:42:30Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,930816,126720,953344,5.62,35064256
2026-08-17T23:42:35Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,952576,126976,975104,5.81,35044492
2026-08-17T23:42:41Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,983040,126976,1005568,5.98,35010328
2026-08-17T23:42:46Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,1011456,126976,1033984,6.14,34976300
2026-08-17T23:42:51Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,1012736,127488,1035264,6.29,34933028
2026-08-17T23:42:56Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,1019648,127488,1042176,6.43,34893372
2026-08-17T23:43:01Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,1028328,127488,1050856,6.56,34881472
2026-08-17T23:43:06Z,jcz_ARB_B16J4_deploy11008,1,22528,22528,9,1037032,127488,1059560,6.67,34889484
