cell	status	n	W	D	L	elo	sigma	paired_z	ms_ratio	secs	timestamp
meepleoff	DONE	400	59	3	338	-299.6	24.2	-18.94	1.00	7381	2026-07-31_01:35:06
oppanticoff	DONE	400	109	16	275	-153.4	19.1	-8.71	1.07	15255	2026-07-31_05:49:26
anticoff	DONE	400	191	9	200	-7.8	17.4	-1.81	1.00	9189	2026-07-31_08:22:39
selfanticoff	DONE	400	144	12	244	-88.7	17.9	-6.95	0.85	8325	2026-07-31_10:41:29
meepleflat	DONE	400	103	6	291	-177.2	19.7	-12.92	0.99	7984	2026-07-31_12:54:37
capoff	DONE-384-accepted	384	181	7	196	-13.6	17.7	-1.53	1.00	-	2026-07-31_19:46:01
farmbaseoff	DONE	32	8	0	24	-190.8	70.9	-4.52	0.94	173	2026-08-02_20:57:36
farmgrowthoff	DONE	4	0	0	4	-800.0	nan	-8.75	0.97	53	2026-08-02_20:58:29
farmbaseoff	DONE	32	8	0	24	-190.8	70.9	-4.52	0.94	172	2026-08-02_21:03:15
farmgrowthoff	DONE	4	0	0	4	-800.0	nan	-8.75	0.97	52	2026-08-02_21:04:08
