2026-07-30 23:26:41 [chain-local] chain watchdog armed: cells=[meepleoff oppanticoff anticoff selfanticoff meepleflat capoff] n=400 out_root=/mnt/c/carc-shared/leaf_ablation pattern='seed-start 96000000000'
2026-07-30 23:26:41 [chain-local] watching cell meepleoff (0/400)
2026-07-30 23:26:41 watchdog armed: glob=/mnt/c/carc-shared/leaf_ablation/abl_meepleoff/seed*_a*.json n=400 record_ext=.json pattern=seed-start 96000000000 relaunch=nice -n 19 bash /home/doctor/projects/carcassone/scripts/classical_search/leaf_ablation_launcher.sh 16 local
2026-07-30 23:32:47 [chain-local] chain watchdog armed: cells=[meepleoff oppanticoff anticoff selfanticoff meepleflat capoff] n=400 out_root=/mnt/c/carc-shared/leaf_ablation pattern='seed-start 96000000000'
2026-07-30 23:32:47 [chain-local] watching cell meepleoff (0/400)
2026-07-30 23:32:47 watchdog armed: glob=/mnt/c/carc-shared/leaf_ablation/abl_meepleoff/seed*_a*.json n=400 record_ext=.json pattern=seed-start 96000000000 relaunch=nice -n 19 bash /home/doctor/projects/carcassone/scripts/classical_search/leaf_ablation_launcher.sh 16 local
2026-07-30 23:37:47 healthy: 0/400 records, workers alive
2026-07-30 23:42:47 healthy: 31/400 records, workers alive
2026-07-30 23:47:47 healthy: 32/400 records, workers alive
2026-07-30 23:52:47 healthy: 54/400 records, workers alive
2026-07-30 23:57:47 healthy: 56/400 records, workers alive
2026-07-31 00:02:48 healthy: 84/400 records, workers alive
2026-07-31 00:07:48 healthy: 90/400 records, workers alive
2026-07-31 00:12:49 healthy: 115/400 records, workers alive
2026-07-31 00:17:49 healthy: 125/400 records, workers alive
2026-07-31 00:22:50 healthy: 151/400 records, workers alive
2026-07-31 00:27:51 healthy: 162/400 records, workers alive
2026-07-31 00:32:52 healthy: 182/400 records, workers alive
2026-07-31 00:37:52 healthy: 197/400 records, workers alive
2026-07-31 00:42:53 healthy: 217/400 records, workers alive
2026-07-31 00:47:54 healthy: 230/400 records, workers alive
2026-07-31 00:52:55 healthy: 250/400 records, workers alive
2026-07-31 00:57:57 healthy: 268/400 records, workers alive
2026-07-31 01:02:58 healthy: 284/400 records, workers alive
2026-07-31 01:07:59 healthy: 303/400 records, workers alive
2026-07-31 01:13:00 healthy: 322/400 records, workers alive
2026-07-31 01:18:02 healthy: 336/400 records, workers alive
2026-07-31 01:23:03 healthy: 355/400 records, workers alive
2026-07-31 01:28:05 healthy: 369/400 records, workers alive
2026-07-31 01:33:06 healthy: 393/400 records, workers alive
2026-07-31 01:38:08 DONE: 400/400 records
2026-07-31 01:38:10 [chain-local] cell meepleoff watch ended rc=0 (400/400 records)
2026-07-31 01:38:10 [chain-local] watching cell oppanticoff (0/400)
2026-07-31 01:38:10 watchdog armed: glob=/mnt/c/carc-shared/leaf_ablation/abl_oppanticoff/seed*_a*.json n=400 record_ext=.json pattern=seed-start 96000000000 relaunch=nice -n 19 bash /home/doctor/projects/carcassone/scripts/classical_search/leaf_ablation_launcher.sh 16 local
2026-07-31 01:43:10 healthy: 0/400 records, workers alive
2026-07-31 01:48:10 healthy: 16/400 records, workers alive
2026-07-31 01:53:10 healthy: 31/400 records, workers alive
2026-07-31 01:58:10 healthy: 44/400 records, workers alive
2026-07-31 02:03:10 healthy: 60/400 records, workers alive
2026-07-31 02:08:11 healthy: 65/400 records, workers alive
2026-07-31 02:13:11 healthy: 78/400 records, workers alive
2026-07-31 02:18:11 healthy: 81/400 records, workers alive
2026-07-31 02:23:12 healthy: 92/400 records, workers alive
2026-07-31 02:28:12 healthy: 97/400 records, workers alive
2026-07-31 02:33:13 healthy: 108/400 records, workers alive
2026-07-31 02:38:13 healthy: 112/400 records, workers alive
2026-07-31 02:43:14 healthy: 122/400 records, workers alive
2026-07-31 02:48:14 healthy: 129/400 records, workers alive
2026-07-31 02:53:15 healthy: 137/400 records, workers alive
2026-07-31 02:58:15 healthy: 145/400 records, workers alive
2026-07-31 03:03:16 healthy: 153/400 records, workers alive
2026-07-31 03:08:17 healthy: 160/400 records, workers alive
2026-07-31 03:13:18 healthy: 169/400 records, workers alive
2026-07-31 03:18:18 healthy: 177/400 records, workers alive
2026-07-31 03:23:19 healthy: 184/400 records, workers alive
2026-07-31 03:28:20 healthy: 192/400 records, workers alive
2026-07-31 03:33:21 healthy: 201/400 records, workers alive
2026-07-31 03:38:22 healthy: 207/400 records, workers alive
2026-07-31 03:43:23 healthy: 214/400 records, workers alive
2026-07-31 03:48:24 healthy: 223/400 records, workers alive
2026-07-31 03:53:25 healthy: 230/400 records, workers alive
2026-07-31 03:58:26 healthy: 240/400 records, workers alive
2026-07-31 04:03:27 healthy: 244/400 records, workers alive
2026-07-31 04:08:28 healthy: 255/400 records, workers alive
2026-07-31 04:13:29 healthy: 260/400 records, workers alive
2026-07-31 04:18:30 healthy: 270/400 records, workers alive
2026-07-31 04:23:31 healthy: 275/400 records, workers alive
2026-07-31 04:28:32 healthy: 286/400 records, workers alive
2026-07-31 04:33:34 healthy: 291/400 records, workers alive
2026-07-31 04:38:35 healthy: 300/400 records, workers alive
2026-07-31 04:43:36 healthy: 307/400 records, workers alive
2026-07-31 04:48:38 healthy: 314/400 records, workers alive
2026-07-31 04:53:39 healthy: 322/400 records, workers alive
2026-07-31 04:58:40 healthy: 331/400 records, workers alive
2026-07-31 05:03:42 healthy: 339/400 records, workers alive
2026-07-31 05:08:43 healthy: 345/400 records, workers alive
2026-07-31 05:13:45 healthy: 353/400 records, workers alive
2026-07-31 05:18:46 healthy: 360/400 records, workers alive
2026-07-31 05:23:48 healthy: 367/400 records, workers alive
2026-07-31 05:28:49 healthy: 376/400 records, workers alive
2026-07-31 05:33:51 healthy: 382/400 records, workers alive
2026-07-31 05:38:52 healthy: 390/400 records, workers alive
2026-07-31 05:43:54 DONE: 400/400 records
2026-07-31 05:43:56 [chain-local] cell oppanticoff watch ended rc=0 (400/400 records)
2026-07-31 05:43:56 [chain-local] watching cell anticoff (0/400)
2026-07-31 05:43:56 watchdog armed: glob=/mnt/c/carc-shared/leaf_ablation/abl_anticoff/seed*_a*.json n=400 record_ext=.json pattern=seed-start 96000000000 relaunch=nice -n 19 bash /home/doctor/projects/carcassone/scripts/classical_search/leaf_ablation_launcher.sh 16 local
