[mine] roots=8700 todo=8700 resumed=0 levels=(200, 344, 688, 1376) k_dets=4 W=12 -> /mnt/carc-shared/leaf_residual_mining_20260721/records_primary.jsonl
  1/8700  ok=1 bad=0  4s  0.25 roots/s  eta 591min
  50/8700  ok=50 bad=0  31s  1.64 roots/s  eta 88min
  100/8700  ok=100 bad=0  57s  1.77 roots/s  eta 81min
  150/8700  ok=150 bad=0  86s  1.74 roots/s  eta 82min
  200/8700  ok=200 bad=0  113s  1.77 roots/s  eta 80min
  250/8700  ok=250 bad=0  143s  1.75 roots/s  eta 80min
  300/8700  ok=300 bad=0  171s  1.76 roots/s  eta 80min
  350/8700  ok=350 bad=0  199s  1.76 roots/s  eta 79min
  400/8700  ok=400 bad=0  228s  1.76 roots/s  eta 79min
  450/8700  ok=450 bad=0  258s  1.74 roots/s  eta 79min
  500/8700  ok=500 bad=0  287s  1.74 roots/s  eta 78min
  550/8700  ok=550 bad=0  315s  1.75 roots/s  eta 78min
  600/8700  ok=600 bad=0  347s  1.73 roots/s  eta 78min
  650/8700  ok=650 bad=0  376s  1.73 roots/s  eta 78min
  700/8700  ok=700 bad=0  402s  1.74 roots/s  eta 77min
  750/8700  ok=750 bad=0  433s  1.73 roots/s  eta 76min
  800/8700  ok=800 bad=0  460s  1.74 roots/s  eta 76min
  850/8700  ok=850 bad=0  491s  1.73 roots/s  eta 76min
  900/8700  ok=900 bad=0  520s  1.73 roots/s  eta 75min
  950/8700  ok=950 bad=0  551s  1.72 roots/s  eta 75min
  1000/8700  ok=1000 bad=0  579s  1.73 roots/s  eta 74min
  1050/8700  ok=1050 bad=0  608s  1.73 roots/s  eta 74min
  1100/8700  ok=1100 bad=0  636s  1.73 roots/s  eta 73min
  1150/8700  ok=1150 bad=0  664s  1.73 roots/s  eta 73min
  1200/8700  ok=1200 bad=0  693s  1.73 roots/s  eta 72min
  1250/8700  ok=1250 bad=0  720s  1.74 roots/s  eta 72min
  1300/8700  ok=1300 bad=0  748s  1.74 roots/s  eta 71min
  1350/8700  ok=1350 bad=0  778s  1.74 roots/s  eta 71min
  1400/8700  ok=1400 bad=0  806s  1.74 roots/s  eta 70min
  1450/8700  ok=1450 bad=0  834s  1.74 roots/s  eta 69min
  1500/8700  ok=1500 bad=0  863s  1.74 roots/s  eta 69min
  1550/8700  ok=1550 bad=0  892s  1.74 roots/s  eta 69min
  1600/8700  ok=1600 bad=0  920s  1.74 roots/s  eta 68min
  1650/8700  ok=1650 bad=0  949s  1.74 roots/s  eta 68min
  1700/8700  ok=1700 bad=0  977s  1.74 roots/s  eta 67min
  1750/8700  ok=1750 bad=0  1006s  1.74 roots/s  eta 67min
  1800/8700  ok=1800 bad=0  1035s  1.74 roots/s  eta 66min
  1850/8700  ok=1850 bad=0  1064s  1.74 roots/s  eta 66min
  1900/8700  ok=1900 bad=0  1093s  1.74 roots/s  eta 65min
  1950/8700  ok=1950 bad=0  1121s  1.74 roots/s  eta 65min
  2000/8700  ok=2000 bad=0  1149s  1.74 roots/s  eta 64min
  2050/8700  ok=2050 bad=0  1179s  1.74 roots/s  eta 64min
  2100/8700  ok=2100 bad=0  1206s  1.74 roots/s  eta 63min
  2150/8700  ok=2150 bad=0  1235s  1.74 roots/s  eta 63min
  2200/8700  ok=2200 bad=0  1263s  1.74 roots/s  eta 62min
  2250/8700  ok=2250 bad=0  1291s  1.74 roots/s  eta 62min
  2300/8700  ok=2300 bad=0  1320s  1.74 roots/s  eta 61min
  2350/8700  ok=2350 bad=0  1350s  1.74 roots/s  eta 61min
  2400/8700  ok=2400 bad=0  1377s  1.74 roots/s  eta 60min
  2450/8700  ok=2450 bad=0  1403s  1.75 roots/s  eta 60min
  2500/8700  ok=2500 bad=0  1433s  1.74 roots/s  eta 59min
  2550/8700  ok=2550 bad=0  1460s  1.75 roots/s  eta 59min
  2600/8700  ok=2600 bad=0  1489s  1.75 roots/s  eta 58min
  2650/8700  ok=2650 bad=0  1516s  1.75 roots/s  eta 58min
  2700/8700  ok=2700 bad=0  1544s  1.75 roots/s  eta 57min
  2750/8700  ok=2750 bad=0  1574s  1.75 roots/s  eta 57min
  2800/8700  ok=2800 bad=0  1603s  1.75 roots/s  eta 56min
  2850/8700  ok=2850 bad=0  1630s  1.75 roots/s  eta 56min
  2900/8700  ok=2900 bad=0  1661s  1.75 roots/s  eta 55min
  2950/8700  ok=2950 bad=0  1689s  1.75 roots/s  eta 55min
  3000/8700  ok=3000 bad=0  1716s  1.75 roots/s  eta 54min
  3050/8700  ok=3050 bad=0  1746s  1.75 roots/s  eta 54min
  3100/8700  ok=3100 bad=0  1773s  1.75 roots/s  eta 53min
  3150/8700  ok=3150 bad=0  1801s  1.75 roots/s  eta 53min
  3200/8700  ok=3200 bad=0  1830s  1.75 roots/s  eta 52min
  3250/8700  ok=3250 bad=0  1858s  1.75 roots/s  eta 52min
  3300/8700  ok=3300 bad=0  1885s  1.75 roots/s  eta 51min
  3350/8700  ok=3350 bad=0  1913s  1.75 roots/s  eta 51min
  3400/8700  ok=3400 bad=0  1941s  1.75 roots/s  eta 50min
  3450/8700  ok=3450 bad=0  1971s  1.75 roots/s  eta 50min
  3500/8700  ok=3500 bad=0  1998s  1.75 roots/s  eta 49min
  3550/8700  ok=3550 bad=0  2026s  1.75 roots/s  eta 49min
  3600/8700  ok=3600 bad=0  2055s  1.75 roots/s  eta 49min
  3650/8700  ok=3650 bad=0  2085s  1.75 roots/s  eta 48min
  3700/8700  ok=3700 bad=0  2113s  1.75 roots/s  eta 48min
  3750/8700  ok=3750 bad=0  2140s  1.75 roots/s  eta 47min
  3800/8700  ok=3800 bad=0  2166s  1.75 roots/s  eta 47min
  3850/8700  ok=3850 bad=0  2195s  1.75 roots/s  eta 46min
  3900/8700  ok=3900 bad=0  2222s  1.76 roots/s  eta 46min
  3950/8700  ok=3950 bad=0  2251s  1.75 roots/s  eta 45min
  4000/8700  ok=4000 bad=0  2280s  1.75 roots/s  eta 45min
  4050/8700  ok=4050 bad=0  2309s  1.75 roots/s  eta 44min
  4100/8700  ok=4100 bad=0  2337s  1.75 roots/s  eta 44min
  4150/8700  ok=4150 bad=0  2366s  1.75 roots/s  eta 43min
  4200/8700  ok=4200 bad=0  2392s  1.76 roots/s  eta 43min
  4250/8700  ok=4250 bad=0  2421s  1.76 roots/s  eta 42min
  4300/8700  ok=4300 bad=0  2449s  1.76 roots/s  eta 42min
  4350/8700  ok=4350 bad=0  2478s  1.76 roots/s  eta 41min
  4400/8700  ok=4400 bad=0  2505s  1.76 roots/s  eta 41min
  4450/8700  ok=4450 bad=0  2533s  1.76 roots/s  eta 40min
  4500/8700  ok=4500 bad=0  2561s  1.76 roots/s  eta 40min
