pid,band,source,k,n_legal,gap_q,category,iter8_miss,v27_miss,v27_miss_iter8_ok,v27_ok_iter8_miss,teacher,iter8,v27,teacher_q,iter8_q,v27_q
heur3200_s3502000042_K10,pre_endgame,heur@3200,10,54,0.1866,structural/unclear,True,False,False,True,1670,1142,1670,0.81283,0.62626,0.81283
greedy_s3500000027_K40,early_mid,greedy,40,16,0.2272,structural/closure,False,True,True,False,1369,1369,957,-0.11699,-0.11699,-0.41996
greedy_s3500000028_K16,late_mid,greedy,16,54,0.0937,completion/score-greed,True,False,False,True,1167,1556,1167,-0.23879,-0.33251,-0.23879
greedy_s3500000018_K52,opening,greedy,52,52,0.0735,structural/unclear,True,False,False,True,1444,1548,1444,0.13491,-0.15592,0.13491
greedy_s3500000021_K10,pre_endgame,greedy,10,58,0.0706,structural/unclear,True,False,False,True,1256,1444,1256,0.15459,0.084,0.15459
heur3200_s3502000046_K16,late_mid,heur@3200,16,40,0.0703,structural/unclear,True,False,False,True,1641,932,1641,-0.08019,-0.15361,-0.08019
heur3200_s3502000033_K52,opening,heur@3200,52,32,0.0615,structural/closure,True,False,False,True,1037,940,1037,-0.04284,-0.10437,-0.04284
heur3200_s3502000039_K16,late_mid,heur@3200,16,33,0.0579,structural/unclear,True,False,False,True,1328,660,1328,0.28279,0.22184,0.28279
greedy_s3500000041_K40,early_mid,greedy,40,40,0.055,structural/unclear,True,False,False,True,1045,1067,1045,-0.16316,-0.22918,-0.16316
hybrid_8_3200_s3503000047_K28,mid,hybrid:8:3200,28,27,0.0515,structural/closure,True,False,False,True,1141,967,1141,0.14175,0.03807,0.14175
greedy_s3500000014_K40,early_mid,greedy,40,16,0.0463,structural/closure,True,False,False,True,1069,1449,1069,0.20723,0.15759,0.20723
iter8_s3501000047_K40,early_mid,iter8,40,30,0.0462,completion/score-greed,True,False,False,True,1227,1130,1227,-0.15452,-0.2202,-0.15452
greedy_s3500000002_K52,opening,greedy,52,23,0.0413,structural/unclear,True,False,False,True,1156,1248,1156,-0.1652,-0.20648,-0.1652
greedy_s3500000041_K28,mid,greedy,28,39,0.041,structural/closure,True,False,False,True,855,1131,855,-0.75165,-0.7944,-0.75165
heur3200_s3502000003_K10,pre_endgame,heur@3200,10,40,0.0355,structural/unclear,True,False,False,True,1046,1844,1046,-0.66978,-0.70523,-0.66978
heur3200_s3502000047_K10,pre_endgame,heur@3200,10,43,0.0348,structural/unclear,True,False,False,True,1474,449,1474,0.97584,0.92383,0.97584
iter8_s3501000000_K40,early_mid,iter8,40,26,0.0344,structural/unclear,True,False,False,True,1137,1032,1137,0.28723,0.21348,0.28723
hybrid_8_3200_s3503000042_K52,opening,hybrid:8:3200,52,28,0.0334,structural/unclear,True,False,False,True,1453,1045,1453,0.47982,0.44646,0.47982
heur3200_s3502000012_K40,early_mid,heur@3200,40,14,0.0322,structural/unclear,True,False,False,True,1044,1649,1044,-0.55451,-0.59225,-0.55451
iter8_s3501000003_K52,opening,iter8,52,12,0.0307,structural/closure,True,False,False,True,1333,1559,1333,0.46779,0.4317,0.46779
iter8_s3501000003_K10,pre_endgame,iter8,10,28,0.0296,structural/unclear,True,False,False,True,1855,1546,1855,0.76196,0.73238,0.76196
greedy_s3500000010_K52,opening,greedy,52,14,0.0291,structural/unclear,True,False,False,True,1260,1357,1260,0.32705,0.29799,0.32705
hybrid_8_3200_s3503000025_K10,pre_endgame,hybrid:8:3200,10,38,0.0289,structural/unclear,True,False,False,True,1763,1848,1763,0.89894,0.87006,0.89894
hybrid_8_3200_s3503000001_K40,early_mid,hybrid:8:3200,40,20,0.0284,structural/unclear,True,False,False,True,948,1754,948,-0.49658,-0.57345,-0.49658
greedy_s3500000038_K52,opening,greedy,52,26,0.0265,structural/closure,True,False,False,True,1460,1041,1460,-0.42038,-0.44684,-0.42038
heur3200_s3502000033_K40,early_mid,heur@3200,40,22,0.0263,structural/closure,True,False,False,True,1438,737,1438,-0.38691,-0.41323,-0.38691
heur3200_s3502000015_K40,early_mid,heur@3200,40,28,0.0238,completion/score-greed,True,False,False,True,1541,1168,1541,-0.33223,-0.36351,-0.33223
