selector,scope,n,top1,top3,q_regret,regret_cov
random,teacher_sharp(gap>=0.15)|n=41,41,0.0244,,0.3531,0.878
iter8(MCTS@200),teacher_sharp(gap>=0.15)|n=41,41,0.9756,,0.0046,1.0
iter8(policy-prior),teacher_sharp(gap>=0.15)|n=41,41,0.5366,,0.1266,1.0
v2.7-static(label),teacher_sharp(gap>=0.15)|n=41,41,0.9512,,0.0134,1.0
heur@800(shallow-teacher),teacher_sharp(gap>=0.15)|n=41,41,0.9756,,0.0037,1.0
immediate-score(forced-net),teacher_sharp(gap>=0.15)|n=41,41,0.4146,0.9756,0.1936,1.0
score-diff-after,teacher_sharp(gap>=0.15)|n=41,41,0.4146,0.9756,0.1936,1.0
meeple-recovery,teacher_sharp(gap>=0.15)|n=41,41,0.3902,1.0,0.2188,1.0
best-meeple(incl-claim),teacher_sharp(gap>=0.15)|n=41,41,0.4146,0.9512,0.1911,1.0
completion-then-score,teacher_sharp(gap>=0.15)|n=41,41,0.4146,1.0,0.2111,1.0
open-edge-progress,teacher_sharp(gap>=0.15)|n=41,41,0.2439,0.8293,0.2607,1.0
bag-aware-closure,teacher_sharp(gap>=0.15)|n=41,41,0.2927,0.8293,0.247,1.0
composite-simple,teacher_sharp(gap>=0.15)|n=41,41,0.5122,0.8537,0.1658,1.0
v2.7-static(depth0),teacher_sharp(gap>=0.15)|n=41,41,0.9512,0.9756,0.0134,1.0
composite-v2.7+delta,teacher_sharp(gap>=0.15)|n=41,41,0.9512,0.9756,0.0197,1.0
random,teacher_close(gap<0.15)|n=959,959,0.0375,,0.072,0.855
iter8(MCTS@200),teacher_close(gap<0.15)|n=959,959,0.4661,,0.0072,1.0
iter8(policy-prior),teacher_close(gap<0.15)|n=959,959,0.2471,,0.0375,0.999
v2.7-static(label),teacher_close(gap<0.15)|n=959,959,0.4599,,0.0112,1.0
heur@800(shallow-teacher),teacher_close(gap<0.15)|n=959,959,0.6444,,0.0015,1.0
immediate-score(forced-net),teacher_close(gap<0.15)|n=959,959,0.1199,0.9812,0.0573,1.0
score-diff-after,teacher_close(gap<0.15)|n=959,959,0.1199,0.9812,0.0573,1.0
meeple-recovery,teacher_close(gap<0.15)|n=959,959,0.1157,0.9864,0.0598,1.0
best-meeple(incl-claim),teacher_close(gap<0.15)|n=959,959,0.1262,0.9583,0.0557,1.0
completion-then-score,teacher_close(gap<0.15)|n=959,959,0.1178,0.9531,0.0699,1.0
open-edge-progress,teacher_close(gap<0.15)|n=959,959,0.098,0.7706,0.0764,1.0
bag-aware-closure,teacher_close(gap<0.15)|n=959,959,0.097,0.7539,0.0765,1.0
composite-simple,teacher_close(gap<0.15)|n=959,959,0.1689,0.7664,0.0572,1.0
v2.7-static(depth0),teacher_close(gap<0.15)|n=959,959,0.4599,0.9635,0.0112,1.0
composite-v2.7+delta,teacher_close(gap<0.15)|n=959,959,0.4578,0.8968,0.0113,1.0
random,iter8!=teacher|n=513,513,0.0234,,0.0506,0.854
iter8(MCTS@200),iter8!=teacher|n=513,513,0.0,,0.0138,1.0
