selector,scope,n,top1,top3,q_regret,regret_cov
random,opening,200,0.075,,0.1165,0.865
iter8(MCTS@200),opening,200,0.61,,0.0096,1.0
iter8(policy-prior),opening,200,0.35,,0.0458,1.0
v2.7-static(label),opening,200,0.485,,0.0235,1.0
heur@800(shallow-teacher),opening,200,0.755,,0.0021,1.0
immediate-score(forced-net),opening,200,0.14,0.96,0.0941,1.0
score-diff-after,opening,200,0.14,0.96,0.0941,1.0
meeple-recovery,opening,200,0.135,0.98,0.0981,1.0
best-meeple(incl-claim),opening,200,0.15,0.94,0.0906,1.0
completion-then-score,opening,200,0.145,0.93,0.1094,1.0
open-edge-progress,opening,200,0.095,0.8,0.1245,1.0
bag-aware-closure,opening,200,0.095,0.8,0.1245,1.0
composite-simple,opening,200,0.18,0.79,0.0956,1.0
v2.7-static(depth0),opening,200,0.485,0.95,0.0235,1.0
composite-v2.7+delta,opening,200,0.485,0.9,0.0248,1.0
random,early_mid,200,0.035,,0.0965,0.87
iter8(MCTS@200),early_mid,200,0.5,,0.0087,1.0
iter8(policy-prior),early_mid,200,0.285,,0.0405,1.0
v2.7-static(label),early_mid,200,0.51,,0.0085,1.0
heur@800(shallow-teacher),early_mid,200,0.72,,0.0013,1.0
immediate-score(forced-net),early_mid,200,0.115,0.99,0.0696,1.0
score-diff-after,early_mid,200,0.115,0.99,0.0696,1.0
meeple-recovery,early_mid,200,0.105,0.995,0.0725,1.0
best-meeple(incl-claim),early_mid,200,0.115,0.965,0.0683,1.0
completion-then-score,early_mid,200,0.11,0.94,0.0891,1.0
open-edge-progress,early_mid,200,0.09,0.75,0.0976,1.0
bag-aware-closure,early_mid,200,0.09,0.75,0.0976,1.0
composite-simple,early_mid,200,0.17,0.755,0.0668,1.0
v2.7-static(depth0),early_mid,200,0.51,0.96,0.0085,1.0
composite-v2.7+delta,early_mid,200,0.52,0.925,0.0089,1.0
random,mid,200,0.04,,0.0764,0.84
iter8(MCTS@200),mid,200,0.485,,0.0062,1.0
iter8(policy-prior),mid,200,0.265,,0.0388,1.0
v2.7-static(label),mid,200,0.43,,0.0093,1.0
heur@800(shallow-teacher),mid,200,0.58,,0.0017,1.0
immediate-score(forced-net),mid,200,0.12,0.99,0.0613,1.0
score-diff-after,mid,200,0.12,0.99,0.0613,1.0
meeple-recovery,mid,200,0.12,0.99,0.0654,1.0
best-meeple(incl-claim),mid,200,0.135,0.965,0.0596,1.0
completion-then-score,mid,200,0.12,0.96,0.0703,1.0
open-edge-progress,mid,200,0.09,0.805,0.073,1.0
bag-aware-closure,mid,200,0.085,0.8,0.0729,1.0
composite-simple,mid,200,0.165,0.795,0.0581,1.0
v2.7-static(depth0),mid,200,0.43,0.975,0.0093,1.0
composite-v2.7+delta,mid,200,0.45,0.91,0.0098,1.0
random,late_mid,200,0.03,,0.0628,0.815
iter8(MCTS@200),late_mid,200,0.45,,0.004,1.0
iter8(policy-prior),late_mid,200,0.215,,0.0391,1.0
v2.7-static(label),late_mid,200,0.46,,0.0081,1.0
heur@800(shallow-teacher),late_mid,200,0.6,,0.0012,1.0
immediate-score(forced-net),late_mid,200,0.135,0.985,0.0433,1.0
score-diff-after,late_mid,200,0.135,0.985,0.0433,1.0
meeple-recovery,late_mid,200,0.135,0.985,0.0435,1.0
best-meeple(incl-claim),late_mid,200,0.14,0.965,0.0417,1.0
completion-then-score,late_mid,200,0.135,0.98,0.0541,1.0
open-edge-progress,late_mid,200,0.115,0.72,0.0606,1.0
bag-aware-closure,late_mid,200,0.12,0.68,0.0595,1.0
composite-simple,late_mid,200,0.185,0.725,0.0418,1.0
v2.7-static(depth0),late_mid,200,0.46,0.975,0.0081,1.0
composite-v2.7+delta,late_mid,200,0.44,0.86,0.0079,1.0
random,pre_endgame,200,0.02,,0.0637,0.86
iter8(MCTS@200),pre_endgame,200,0.39,,0.0067,1.0
iter8(policy-prior),pre_endgame,200,0.18,,0.0418,0.995
v2.7-static(label),pre_endgame,200,0.515,,0.007,1.0
heur@800(shallow-teacher),pre_endgame,200,0.635,,0.0017,1.0
immediate-score(forced-net),pre_endgame,200,0.15,0.98,0.046,1.0
score-diff-after,pre_endgame,200,0.15,0.98,0.046,1.0
meeple-recovery,pre_endgame,200,0.14,0.985,0.0522,1.0
best-meeple(incl-claim),pre_endgame,200,0.15,0.955,0.0459,1.0
completion-then-score,pre_endgame,200,0.14,0.965,0.0557,1.0
open-edge-progress,pre_endgame,200,0.13,0.79,0.0641,1.0
bag-aware-closure,pre_endgame,200,0.135,0.755,0.0631,1.0
composite-simple,pre_endgame,200,0.215,0.785,0.0456,1.0
v2.7-static(depth0),pre_endgame,200,0.515,0.96,0.007,1.0
composite-v2.7+delta,pre_endgame,200,0.495,0.905,0.0068,1.0
