selector,scope,n,top1,top3,q_regret,regret_cov
random,greedy,250,0.032,,0.1034,0.848
iter8(MCTS@200),greedy,250,0.516,,0.0113,1.0
iter8(policy-prior),greedy,250,0.316,,0.0393,0.996
v2.7-static(label),greedy,250,0.476,,0.0227,1.0
heur@800(shallow-teacher),greedy,250,0.644,,0.0021,1.0
immediate-score(forced-net),greedy,250,0.144,0.972,0.0799,1.0
score-diff-after,greedy,250,0.144,0.972,0.0799,1.0
meeple-recovery,greedy,250,0.132,0.988,0.0846,1.0
best-meeple(incl-claim),greedy,250,0.152,0.932,0.0774,1.0
completion-then-score,greedy,250,0.152,0.948,0.0889,1.0
open-edge-progress,greedy,250,0.088,0.74,0.1138,1.0
bag-aware-closure,greedy,250,0.088,0.724,0.1138,1.0
composite-simple,greedy,250,0.176,0.748,0.0832,1.0
v2.7-static(depth0),greedy,250,0.476,0.94,0.0227,1.0
composite-v2.7+delta,greedy,250,0.464,0.872,0.0249,1.0
random,heur@3200,250,0.024,,0.0905,0.844
iter8(MCTS@200),heur@3200,250,0.472,,0.0067,1.0
iter8(policy-prior),heur@3200,250,0.26,,0.0389,1.0
v2.7-static(label),heur@3200,250,0.512,,0.0079,1.0
heur@800(shallow-teacher),heur@3200,250,0.672,,0.002,1.0
immediate-score(forced-net),heur@3200,250,0.156,0.988,0.0604,1.0
score-diff-after,heur@3200,250,0.156,0.988,0.0604,1.0
meeple-recovery,heur@3200,250,0.148,0.988,0.0652,1.0
best-meeple(incl-claim),heur@3200,250,0.16,0.968,0.0601,1.0
completion-then-score,heur@3200,250,0.156,0.948,0.0738,1.0
open-edge-progress,heur@3200,250,0.104,0.812,0.0819,1.0
bag-aware-closure,heur@3200,250,0.104,0.792,0.083,1.0
composite-simple,heur@3200,250,0.216,0.828,0.0575,1.0
v2.7-static(depth0),heur@3200,250,0.512,0.976,0.0079,1.0
composite-v2.7+delta,heur@3200,250,0.504,0.912,0.0083,1.0
random,hybrid:8:3200,250,0.016,,0.0628,0.848
iter8(MCTS@200),hybrid:8:3200,250,0.452,,0.0046,1.0
iter8(policy-prior),hybrid:8:3200,250,0.212,,0.0382,1.0
v2.7-static(label),hybrid:8:3200,250,0.452,,0.0058,1.0
heur@800(shallow-teacher),hybrid:8:3200,250,0.62,,0.0012,1.0
immediate-score(forced-net),hybrid:8:3200,250,0.108,0.992,0.0514,1.0
score-diff-after,hybrid:8:3200,250,0.108,0.992,0.0514,1.0
meeple-recovery,hybrid:8:3200,250,0.108,0.992,0.0529,1.0
best-meeple(incl-claim),hybrid:8:3200,250,0.112,0.964,0.0496,1.0
completion-then-score,hybrid:8:3200,250,0.108,0.972,0.0671,1.0
open-edge-progress,hybrid:8:3200,250,0.096,0.744,0.0663,1.0
bag-aware-closure,hybrid:8:3200,250,0.1,0.728,0.0648,1.0
composite-simple,hybrid:8:3200,250,0.164,0.728,0.0465,1.0
v2.7-static(depth0),hybrid:8:3200,250,0.452,0.968,0.0058,1.0
composite-v2.7+delta,hybrid:8:3200,250,0.444,0.896,0.0052,1.0
random,iter8,250,0.028,,0.0773,0.872
iter8(MCTS@200),iter8,250,0.508,,0.0057,1.0
iter8(policy-prior),iter8,250,0.248,,0.0485,1.0
v2.7-static(label),iter8,250,0.48,,0.0087,1.0
heur@800(shallow-teacher),iter8,250,0.696,,0.001,1.0
immediate-score(forced-net),iter8,250,0.12,0.972,0.0598,1.0
score-diff-after,iter8,250,0.12,0.972,0.0598,1.0
meeple-recovery,iter8,250,0.12,0.98,0.0626,1.0
best-meeple(incl-claim),iter8,250,0.128,0.968,0.0578,1.0
completion-then-score,iter8,250,0.104,0.952,0.0731,1.0
open-edge-progress,iter8,250,0.128,0.796,0.0738,1.0
bag-aware-closure,iter8,250,0.128,0.784,0.0724,1.0
composite-simple,iter8,250,0.176,0.776,0.0592,1.0
v2.7-static(depth0),iter8,250,0.48,0.972,0.0087,1.0
composite-v2.7+delta,iter8,250,0.5,0.92,0.0081,1.0
