selector,k,scope,n,top1,mean_regret,median_regret,blunder_gt2,blunder_gt5,blunder_gt10
random,2,all,150,0.2838,1.7748,1.0385,0.26,0.06,0.0133
iter8,2,all,150,0.6867,0.5733,0.0,0.06,0.0133,0.0
heur@3200,2,all,150,0.8467,0.3733,0.0,0.0533,0.0133,0.0
heur@1600,2,all,150,0.7933,0.4333,0.0,0.0533,0.0133,0.0
heur@800,2,all,150,0.7733,0.4867,0.0,0.0733,0.0133,0.0
greedy,2,all,150,0.7733,0.6933,0.0,0.12,0.0267,0.0
heur_v1@200,2,all,150,0.8467,0.3467,0.0,0.04,0.0067,0.0
immediate-score-only(forced-net),2,all,150,0.3834,1.3459,0.9829,0.2,0.04,0.0
immediate-score+meeple-claim(best),2,all,150,0.4108,1.1698,0.9697,0.1533,0.0267,0.0
meeple-delta-only,2,all,150,0.3676,1.5434,1.0,0.2133,0.0467,0.0067
score+meeple,2,all,150,0.3766,1.3853,1.0,0.2,0.04,0.0
v2.7-action-score-only,2,all,150,0.6817,0.8426,0.0,0.14,0.0267,0.0
completion-then-score,2,all,150,0.3305,2.4676,1.0304,0.2933,0.1333,0.0533
score-diff-after,2,all,150,0.3834,1.3459,0.9829,0.2,0.04,0.0
random,2,decision,141,0.2381,1.8881,1.0833,0.2766,0.0638,0.0142
iter8,2,decision,141,0.6667,0.6099,0.0,0.0638,0.0142,0.0
heur@3200,2,decision,141,0.8369,0.3972,0.0,0.0567,0.0142,0.0
heur@1600,2,decision,141,0.7801,0.461,0.0,0.0567,0.0142,0.0
heur@800,2,decision,141,0.7589,0.5177,0.0,0.078,0.0142,0.0
greedy,2,decision,141,0.7589,0.7376,0.0,0.1277,0.0284,0.0
heur_v1@200,2,decision,141,0.8369,0.3688,0.0,0.0426,0.0071,0.0
immediate-score-only(forced-net),2,decision,141,0.344,1.4318,1.0,0.2128,0.0426,0.0
immediate-score+meeple-claim(best),2,decision,141,0.3732,1.2445,0.9831,0.1631,0.0284,0.0
meeple-delta-only,2,decision,141,0.3272,1.6419,1.0286,0.227,0.0496,0.0071
score+meeple,2,decision,141,0.3368,1.4737,1.0,0.2128,0.0426,0.0
v2.7-action-score-only,2,decision,141,0.6614,0.8964,0.0,0.1489,0.0284,0.0
completion-then-score,2,decision,141,0.2878,2.6251,1.0769,0.3121,0.1418,0.0567
score-diff-after,2,decision,141,0.344,1.4318,1.0,0.2128,0.0426,0.0
iter8,3,all,71,0.5915,0.9155,0.0,0.1127,0.0423,0.0
heur@3200,3,all,71,0.6338,0.7887,0.0,0.0845,0.0282,0.0
heur@1600,3,all,71,0.662,0.7465,0.0,0.0845,0.0282,0.0
heur@800,3,all,71,0.6479,0.7746,0.0,0.0845,0.0282,0.0
greedy,3,all,71,0.7606,0.6056,0.0,0.1127,0.0141,0.0
heur_v1@200,3,all,71,0.7606,0.493,0.0,0.0563,0.0141,0.0
random(top1-only),3,all,71,0.2684,NA,NA,NA,NA,NA
iter8,4,all,187,0.5615,1.4813,0.0,0.1979,0.0642,0.0321
heur@3200,4,all,187,0.6791,1.0695,0.0,0.1337,0.0535,0.0214
heur@800,4,all,187,0.6524,1.2139,0.0,0.1444,0.0642,0.0321
greedy,4,all,187,0.6471,1.3262,0.0,0.1604,0.0802,0.0321
random,4,all,187,0.2971,2.791,1.3429,0.4225,0.1658,0.0695
