selector,k,difficulty_bucket,n,top1,mean_regret
iter8,2,sharp_gap>=2,43,0.7209,1.0465
heur@3200,2,sharp_gap>=2,43,0.7907,0.7907
greedy,2,sharp_gap>=2,43,0.6744,1.3721
v2.7-action-score-only,2,sharp_gap>=2,43,0.5613,1.7732
immediate-score-only(net),2,sharp_gap>=2,43,0.2694,3.4068
iter8,2,forgiving_gap<2,98,0.6429,0.4184
heur@3200,2,forgiving_gap<2,98,0.8571,0.2245
greedy,2,forgiving_gap<2,98,0.7959,0.4592
v2.7-action-score-only,2,forgiving_gap<2,98,0.7053,0.5116
immediate-score-only(net),2,forgiving_gap<2,98,0.2243,1.2218
iter8,4,forgiving_gap<2,149,0.604,1.0067
iter8,4,sharp_gap>=2,38,0.3947,3.3421
heur@3200,4,forgiving_gap<2,149,0.7383,0.6242
heur@3200,4,sharp_gap>=2,38,0.4474,2.8158
heur@800,4,forgiving_gap<2,149,0.698,0.8389
heur@800,4,sharp_gap>=2,38,0.4737,2.6842
greedy,4,forgiving_gap<2,149,0.6846,0.9732
greedy,4,sharp_gap>=2,38,0.5,2.7105
