iter,ckpt_id,parent_id,sha256_12,games,npz,gen_sec,train_sec,opt_steps,n_train_pos,train_pol_last,val_pol_last,policy_entropy,baseline_entropy,entropy_floor,value_corr,smoke_n,smoke_wr_vs_parent,smoke_elo_vs_parent,verdict,code_commit
2,RoD_iter_02,RoD_iter_01,325a53b20b23,400,400,1248.0,1870.0,9590,818030,1.5482,0.2921,1.5505,1.7463,0.8731,0.36,18,0.333,-120.4,HEALTHY,fbada68bfae6
3,RoD_iter_03,RoD_iter_02,0f16cb3da6ee,400,400,1319.0,1775.0,9597,818751,1.5403,0.2572,1.5475,1.7463,0.8731,0.3923,18,0.389,-78.5,HEALTHY,fbada68bfae6
4,RoD_iter_04,RoD_iter_03,45018d6ac461,400,400,1316.0,1787.0,9537,813701,1.5521,0.2769,1.5863,1.7463,0.8731,0.4487,18,0.444,-38.8,HEALTHY,fbada68bfae6
5,RoD_iter_05,RoD_iter_04,5a144c16a786,400,400,1248.0,1764.0,9459,806899,1.5605,0.2331,1.5513,1.7463,0.8731,0.442,18,0.444,-38.8,HEALTHY,fbada68bfae6
6,RoD_iter_06,RoD_iter_05,21e638ea1d40,400,400,1247.0,1805.0,9550,814771,1.5419,0.2896,1.5558,1.7463,0.8731,0.4333,18,0.306,-142.6,HEALTHY,fbada68bfae6
7,RoD_iter_07,RoD_iter_06,ab0a4c8f36c3,400,400,1249.0,1834.0,9546,814339,1.5513,0.2644,1.5384,1.7463,0.8731,0.4103,18,0.500,+0.0,HEALTHY,fbada68bfae6
8,RoD_iter_08,RoD_iter_07,5843b3cf0d17,400,400,1318.0,1790.0,9465,807336,1.5615,0.2692,1.5941,1.7463,0.8731,0.3969,18,0.556,+38.8,HEALTHY,fbada68bfae6
9,RoD_iter_09,RoD_iter_08,58a82fa2dd63,400,400,1315.0,1765.0,9488,809429,1.5569,0.3172,1.5536,1.7463,0.8731,0.4337,18,0.389,-78.5,HEALTHY,fbada68bfae6
10,RoD_iter_10,RoD_iter_09,559ef7774095,400,400,1316.0,1821.0,9509,811145,1.5499,0.2883,1.5825,1.7463,0.8731,0.4519,18,0.417,-58.5,HEALTHY,077b8edd3585
11,RoD_iter_11,RoD_iter_10,074697e1d4ae,400,400,1250.0,1737.0,9424,803904,1.5758,0.2702,1.5605,1.7463,0.8731,0.4513,,,,HEALTHY,bdc6c66081c2
12,RoD_iter_12,RoD_iter_11,6a77feb969fd,400,400,1247.0,1786.0,9433,804621,1.5671,0.3198,1.589,1.7463,0.8731,0.4451,,,,HEALTHY,bdc6c66081c2
13,RoD_iter_13,RoD_iter_12,7d69a398af74,400,400,2.0,1782.0,9457,806747,1.5674,0.3177,1.5049,1.7463,0.8731,0.4322,,,,HEALTHY,d368ef52d544
14,RoD_iter_14,RoD_iter_13,7717648534ce,400,400,1249.0,1840.0,9653,823449,1.5179,0.2881,1.5161,1.7463,0.8731,0.4414,,,,HEALTHY,d368ef52d544
15,RoD_iter_15,RoD_iter_14,f4d7fc1f37b7,400,400,1248.0,1784.0,9573,816565,1.5361,0.2772,1.5573,1.7463,0.8731,0.4877,,,,HEALTHY,d368ef52d544
16,RoD_iter_16,RoD_iter_15,2c261d2f25ec,400,400,1248.0,1858.0,9521,812185,1.5396,0.2495,1.4908,1.7463,0.8731,0.463,,,,HEALTHY,d368ef52d544
17,RoD_iter_17,RoD_iter_16,3f2a3b4e0602,400,400,1248.0,1817.0,9675,825408,1.5219,0.2477,1.5658,1.7463,0.8731,0.4677,,,,HEALTHY,d368ef52d544
