rank,deck_paired_margin
0,43.500
1,38.000
2,36.500
3,32.000
4,31.000
5,30.000
6,30.000
7,29.500
8,29.000
9,28.000
10,28.000
11,27.500
12,27.500
13,27.000
14,26.500
15,26.000
16,26.000
17,25.500
18,25.500
19,25.500
20,25.500
21,25.000
22,25.000
23,24.000
24,23.000
25,23.000
26,22.500
27,22.500
28,22.500
29,22.500
30,22.000
31,21.500
32,21.500
33,21.000
34,21.000
35,21.000
36,20.500
37,20.500
38,20.000
39,20.000
40,20.000
41,20.000
42,20.000
43,20.000
44,19.000
45,18.500
46,18.500
47,18.500
48,18.500
49,18.000
50,18.000
51,17.500
52,17.500
53,17.000
54,16.500
55,16.000
56,16.000
57,16.000
58,16.000
59,16.000
60,15.500
61,15.500
62,15.000
63,15.000
64,15.000
65,15.000
66,14.500
67,14.500
68,14.000
69,14.000
70,14.000
71,13.500
72,13.500
73,13.500
74,13.500
75,13.500
76,13.000
77,13.000
78,13.000
79,12.500
80,12.500
81,12.500
82,12.500
83,12.500
84,12.000
85,12.000
86,12.000
87,11.500
88,11.500
89,11.500
90,11.500
91,10.500
92,10.500
93,10.500
94,10.500
95,10.000
96,10.000
97,10.000
98,10.000
99,10.000
100,10.000
101,10.000
102,9.500
103,9.500
104,9.500
105,9.500
106,9.500
107,9.000
108,9.000
109,9.000
110,9.000
111,9.000
112,9.000
113,9.000
114,9.000
115,9.000
116,8.500
117,8.500
118,8.500
119,8.000
120,8.000
121,8.000
122,8.000
123,8.000
124,8.000
125,7.500
126,7.500
127,7.000
128,7.000
129,7.000
130,6.500
131,6.500
132,6.500
133,6.000
134,6.000
135,6.000
136,6.000
137,6.000
138,6.000
139,6.000
140,5.500
141,5.500
142,5.500
143,5.500
144,5.000
145,5.000
146,5.000
147,5.000
148,4.500
149,4.500
150,4.000
151,4.000
152,4.000
153,4.000
154,4.000
155,4.000
156,3.500
157,3.000
158,3.000
159,2.500
160,2.500
161,2.500
162,2.500
163,2.000
164,2.000
165,2.000
166,2.000
167,2.000
168,2.000
169,2.000
170,1.500
171,1.500
172,1.500
173,1.500
174,1.500
175,1.500
176,1.500
177,1.000
178,1.000
179,1.000
180,1.000
181,0.500
182,0.500
183,0.500
184,0.000
185,0.000
186,0.000
187,0.000
188,0.000
189,0.000
190,-0.500
191,-0.500
192,-0.500
193,-0.500
194,-1.000
195,-1.000
196,-1.000
197,-1.000
198,-1.000
199,-1.500
200,-1.500
201,-1.500
202,-1.500
203,-1.500
204,-1.500
205,-1.500
206,-1.500
207,-2.000
208,-2.000
209,-2.000
210,-2.000
211,-2.000
212,-2.000
213,-2.000
214,-2.500
215,-2.500
216,-2.500
217,-2.500
218,-2.500
219,-2.500
220,-3.000
221,-3.000
222,-3.000
223,-3.000
224,-3.000
225,-3.500
226,-3.500
227,-3.500
228,-3.500
229,-3.500
230,-4.000
231,-4.000
232,-4.000
233,-4.000
234,-4.000
235,-4.000
236,-4.000
237,-4.000
238,-4.000
239,-4.500
240,-4.500
241,-4.500
242,-4.500
243,-4.500
244,-4.500
245,-4.500
246,-4.500
247,-4.500
248,-4.500
249,-4.500
250,-5.000
251,-5.000
252,-5.000
253,-5.500
254,-5.500
255,-5.500
256,-5.500
257,-5.500
258,-5.500
259,-5.500
260,-5.500
261,-5.500
262,-5.500
263,-6.000
264,-6.000
265,-6.000
266,-6.000
267,-6.000
268,-6.500
269,-6.500
270,-6.500
271,-7.000
272,-7.000
273,-7.000
274,-7.500
275,-7.500
276,-7.500
277,-7.500
278,-7.500
279,-7.500
280,-8.000
281,-8.000
282,-8.000
283,-8.000
284,-8.000
285,-8.500
286,-8.500
287,-8.500
288,-8.500
289,-8.500
290,-9.000
291,-9.000
292,-9.000
293,-9.500
294,-9.500
295,-9.500
296,-9.500
297,-9.500
298,-9.500
299,-9.500
300,-10.000
301,-10.000
302,-10.000
303,-10.500
304,-10.500
305,-10.500
306,-11.000
307,-11.500
308,-11.500
309,-11.500
310,-11.500
311,-11.500
312,-11.500
313,-12.000
314,-12.000
315,-12.000
316,-12.000
317,-12.500
318,-12.500
319,-12.500
320,-13.000
321,-13.000
322,-13.000
323,-13.500
324,-13.500
325,-13.500
326,-13.500
327,-14.000
328,-14.000
329,-14.000
330,-14.500
331,-14.500
332,-14.500
333,-14.500
334,-14.500
335,-15.000
336,-15.000
337,-15.000
338,-15.500
339,-15.500
340,-16.000
341,-16.000
342,-16.000
343,-16.000
344,-16.000
345,-16.500
346,-17.000
347,-17.000
348,-17.000
349,-17.500
350,-18.000
351,-18.000
352,-18.000
353,-18.500
354,-18.500
355,-19.000
356,-19.000
357,-19.500
358,-19.500
359,-19.500
360,-19.500
361,-20.000
362,-20.000
363,-20.500
364,-21.000
365,-21.000
366,-21.500
367,-22.000
368,-22.500
369,-23.000
370,-23.000
371,-23.500
372,-23.500
373,-24.000
374,-24.000
375,-24.000
376,-25.000
377,-25.500
378,-25.500
379,-25.500
380,-26.500
381,-27.000
382,-27.500
383,-27.500
384,-28.000
385,-28.500
386,-29.000
387,-29.500
388,-30.000
389,-30.500
390,-30.500
391,-32.000
392,-32.000
393,-33.500
394,-35.000
395,-36.000
396,-37.500
397,-40.000
398,-40.500
399,-41.000
