rank,deck_paired_margin
0,47.000
1,37.000
2,35.500
3,34.500
4,32.000
5,31.000
6,31.000
7,29.500
8,29.500
9,27.500
10,27.000
11,27.000
12,26.500
13,26.000
14,25.500
15,25.000
16,24.500
17,24.000
18,24.000
19,24.000
20,22.500
21,22.500
22,22.500
23,21.500
24,21.500
25,21.000
26,21.000
27,21.000
28,20.500
29,20.000
30,20.000
31,20.000
32,19.500
33,19.000
34,18.000
35,17.000
36,17.000
37,17.000
38,16.500
39,16.500
40,16.000
41,16.000
42,15.500
43,15.000
44,14.500
45,14.500
46,14.500
47,14.000
48,13.000
49,13.000
50,13.000
51,13.000
52,12.000
53,12.000
54,12.000
55,12.000
56,12.000
57,11.500
58,11.500
59,11.500
60,11.000
61,11.000
62,11.000
63,11.000
64,10.500
65,10.000
66,9.500
67,9.500
68,9.000
69,9.000
70,9.000
71,8.500
72,8.500
73,8.500
74,8.500
75,8.000
76,8.000
77,7.500
78,7.500
79,7.500
80,7.500
81,7.000
82,7.000
83,7.000
84,6.500
85,6.000
86,5.500
87,4.500
88,4.500
89,4.500
90,4.000
91,4.000
92,4.000
93,3.500
94,3.500
95,3.000
96,3.000
97,3.000
98,3.000
99,3.000
100,2.500
101,2.500
102,2.500
103,2.500
104,2.000
105,1.500
106,1.500
107,1.500
108,1.500
109,1.500
110,1.500
111,1.500
112,1.500
113,1.000
114,1.000
115,1.000
116,1.000
117,1.000
118,1.000
119,0.500
120,0.500
121,0.000
122,0.000
123,0.000
124,-0.500
125,-0.500
126,-1.000
127,-1.500
128,-1.500
129,-1.500
130,-2.000
131,-2.000
132,-2.000
133,-2.500
134,-2.500
135,-2.500
136,-4.000
137,-4.000
138,-4.000
139,-4.000
140,-4.000
141,-4.500
142,-4.500
143,-4.500
144,-4.500
145,-4.500
146,-4.500
147,-5.000
148,-5.500
149,-5.500
150,-5.500
151,-6.000
152,-6.000
153,-7.000
154,-7.500
155,-7.500
156,-7.500
157,-8.000
158,-8.000
159,-8.000
160,-8.000
161,-8.500
162,-8.500
163,-9.000
164,-9.000
165,-9.000
166,-9.500
167,-10.000
168,-10.000
169,-10.500
170,-11.000
171,-11.000
172,-12.000
173,-12.500
174,-12.500
175,-12.500
176,-13.500
177,-13.500
178,-14.000
179,-14.000
180,-14.000
181,-15.000
182,-15.500
183,-15.500
184,-15.500
185,-16.000
186,-17.000
187,-18.000
188,-18.000
189,-19.000
190,-20.000
191,-20.500
192,-23.000
193,-25.000
194,-28.000
195,-29.500
196,-29.500
197,-32.500
198,-37.500
199,-40.500
