rank,deck_paired_margin
0,37.500
1,37.000
2,36.000
3,34.500
4,32.500
5,32.000
6,31.000
7,31.000
8,29.500
9,29.000
10,28.500
11,27.000
12,26.500
13,26.000
14,26.000
15,25.500
16,25.000
17,24.500
18,24.000
19,24.000
20,24.000
21,24.000
22,23.500
23,23.000
24,23.000
25,23.000
26,22.500
27,22.000
28,21.500
29,21.000
30,20.500
31,20.000
32,19.000
33,18.000
34,18.000
35,17.500
36,17.500
37,17.000
38,17.000
39,17.000
40,16.000
41,16.000
42,15.000
43,15.000
44,14.500
45,14.000
46,14.000
47,13.500
48,13.500
49,13.000
50,12.500
51,12.500
52,12.500
53,12.500
54,11.500
55,11.500
56,11.500
57,11.000
58,11.000
59,11.000
60,10.500
61,10.500
62,9.500
63,9.500
64,9.500
65,9.500
66,9.000
67,8.500
68,8.500
69,8.000
70,8.000
71,7.500
72,7.500
73,7.000
74,6.500
75,6.500
76,6.000
77,6.000
78,5.500
79,5.500
80,4.500
81,4.000
82,4.000
83,4.000
84,4.000
85,3.500
86,3.000
87,2.500
88,2.500
89,2.500
90,2.500
91,2.500
92,2.500
93,2.000
94,2.000
95,2.000
96,1.500
97,1.500
98,1.000
99,1.000
100,0.500
101,0.500
102,0.500
103,0.500
104,0.500
105,-0.500
106,-0.500
107,-1.000
108,-1.000
109,-1.000
110,-1.000
111,-1.500
112,-1.500
113,-1.500
114,-1.500
115,-1.500
116,-2.000
117,-2.000
118,-2.000
119,-2.000
120,-2.500
121,-2.500
122,-2.500
123,-2.500
124,-3.000
125,-3.000
126,-3.000
127,-3.500
128,-4.000
129,-4.000
130,-4.000
131,-4.000
132,-4.500
133,-4.500
134,-4.500
135,-4.500
136,-4.500
137,-4.500
138,-5.000
139,-5.000
140,-5.500
141,-5.500
142,-6.000
143,-6.000
144,-6.000
145,-6.500
146,-6.500
147,-7.000
148,-8.500
149,-8.500
150,-8.500
151,-9.000
152,-9.000
153,-9.000
154,-9.500
155,-9.500
156,-9.500
157,-10.000
158,-10.000
159,-10.000
160,-11.000
161,-11.500
162,-11.500
163,-12.000
164,-12.000
165,-12.000
166,-12.500
167,-12.500
168,-12.500
169,-13.500
170,-13.500
171,-14.000
172,-14.500
173,-14.500
174,-14.500
175,-15.000
176,-15.500
177,-15.500
178,-16.000
179,-16.000
180,-16.000
181,-17.000
182,-17.000
183,-17.000
184,-17.500
185,-18.000
186,-19.500
187,-21.000
188,-22.000
189,-23.500
190,-24.000
191,-24.000
192,-25.000
193,-26.000
194,-26.500
195,-29.000
196,-32.000
197,-35.500
198,-37.000
199,-53.000
