rank,deck_paired_margin
0,41.000
1,33.500
2,33.000
3,33.000
4,33.000
5,31.000
6,30.000
7,29.000
8,28.500
9,28.500
10,27.500
11,27.500
12,27.000
13,27.000
14,26.500
15,26.500
16,26.000
17,26.000
18,25.500
19,25.000
20,24.000
21,24.000
22,24.000
23,24.000
24,23.500
25,22.500
26,22.500
27,22.500
28,22.500
29,22.000
30,21.500
31,21.500
32,21.000
33,21.000
34,21.000
35,21.000
36,20.500
37,20.500
38,20.000
39,20.000
40,19.500
41,19.500
42,19.500
43,19.500
44,19.000
45,18.500
46,18.500
47,18.000
48,17.500
49,17.500
50,17.500
51,17.000
52,17.000
53,17.000
54,17.000
55,17.000
56,17.000
57,16.500
58,16.500
59,16.000
60,16.000
61,16.000
62,16.000
63,16.000
64,15.500
65,15.500
66,15.500
67,15.000
68,15.000
69,15.000
70,15.000
71,15.000
72,15.000
73,14.500
74,14.500
75,14.500
76,14.000
77,14.000
78,14.000
79,13.500
80,13.500
81,13.500
82,13.500
83,13.000
84,13.000
85,13.000
86,13.000
87,13.000
88,13.000
89,13.000
90,13.000
91,12.500
92,12.500
93,12.500
94,12.000
95,12.000
96,12.000
97,12.000
98,11.500
99,11.500
100,11.500
101,11.000
102,10.500
103,10.500
104,10.000
105,10.000
106,10.000
107,9.500
108,9.500
109,9.500
110,9.500
111,9.500
112,9.000
113,9.000
114,9.000
115,9.000
116,8.500
117,8.500
118,8.500
119,8.000
120,8.000
121,7.500
122,7.500
123,7.500
124,7.500
125,7.500
126,7.500
127,7.000
128,7.000
129,7.000
130,7.000
131,7.000
132,6.500
133,6.500
134,6.500
135,6.500
136,6.500
137,6.500
138,6.500
139,6.500
140,6.000
141,6.000
142,5.500
143,5.500
144,5.500
145,5.500
146,5.500
147,5.500
148,5.000
149,5.000
150,4.500
151,4.500
152,4.500
153,4.500
154,4.500
155,4.500
156,4.000
157,4.000
158,4.000
159,4.000
160,4.000
161,3.500
162,3.500
163,3.500
164,3.000
165,3.000
166,3.000
167,3.000
168,2.500
169,2.500
170,2.500
171,2.500
172,2.000
173,2.000
174,2.000
175,1.500
176,1.500
177,1.500
178,1.500
179,1.000
180,1.000
181,1.000
182,1.000
183,1.000
184,1.000
185,1.000
186,1.000
187,0.500
188,0.500
189,0.500
190,0.500
191,0.500
192,0.500
193,0.500
194,0.500
195,0.500
196,0.500
197,0.500
198,0.000
199,0.000
200,0.000
201,0.000
202,0.000
203,0.000
204,-0.500
205,-0.500
206,-0.500
207,-0.500
208,-0.500
209,-0.500
210,-1.000
211,-1.000
212,-1.000
213,-1.000
214,-1.000
215,-1.000
216,-1.500
217,-1.500
218,-1.500
219,-1.500
220,-2.000
221,-2.000
222,-2.000
223,-2.000
224,-2.500
225,-2.500
226,-2.500
227,-2.500
228,-2.500
229,-2.500
230,-3.000
231,-3.000
232,-3.000
233,-3.000
234,-3.500
235,-3.500
236,-3.500
237,-3.500
238,-3.500
239,-4.000
240,-4.000
241,-4.500
242,-4.500
243,-4.500
244,-4.500
245,-4.500
246,-5.000
247,-5.000
248,-5.000
249,-5.000
250,-5.000
251,-5.000
252,-5.500
253,-5.500
254,-5.500
255,-5.500
256,-6.000
257,-6.000
258,-6.000
259,-6.000
260,-6.500
261,-6.500
262,-6.500
263,-6.500
264,-6.500
265,-6.500
266,-7.000
267,-7.000
268,-7.500
269,-7.500
270,-7.500
271,-7.500
272,-7.500
273,-8.000
274,-8.000
275,-8.000
276,-8.000
277,-8.500
278,-8.500
279,-9.000
280,-9.000
281,-9.000
282,-9.500
283,-9.500
284,-9.500
285,-9.500
286,-9.500
287,-9.500
288,-10.000
289,-10.000
290,-10.000
291,-10.000
292,-10.000
293,-10.500
294,-10.500
295,-10.500
296,-10.500
297,-10.500
298,-10.500
299,-10.500
300,-10.500
301,-11.000
302,-11.000
303,-11.500
304,-11.500
305,-12.000
306,-12.500
307,-12.500
308,-12.500
309,-12.500
310,-12.500
311,-13.000
312,-13.000
313,-13.000
314,-13.500
315,-13.500
316,-13.500
317,-14.000
318,-14.000
319,-14.000
320,-14.000
321,-14.000
322,-14.500
323,-14.500
324,-14.500
325,-14.500
326,-14.500
327,-15.000
328,-15.000
329,-15.000
330,-15.000
331,-15.500
332,-15.500
333,-15.500
334,-16.000
335,-16.500
336,-16.500
337,-17.000
338,-17.000
339,-17.000
340,-17.500
341,-17.500
342,-17.500
343,-18.000
344,-18.000
345,-18.000
346,-18.000
347,-18.000
348,-18.000
349,-18.500
350,-18.500
351,-18.500
352,-18.500
353,-18.500
354,-19.000
355,-19.500
356,-20.000
357,-20.000
358,-20.000
359,-20.500
360,-20.500
361,-20.500
362,-20.500
363,-21.000
364,-21.000
365,-22.000
366,-22.000
367,-22.500
368,-23.500
369,-23.500
370,-23.500
371,-23.500
372,-23.500
373,-23.500
374,-23.500
375,-24.000
376,-24.500
377,-25.000
378,-25.000
379,-25.500
380,-25.500
381,-26.000
382,-27.000
383,-27.500
384,-27.500
385,-28.500
386,-29.000
387,-29.500
388,-29.500
389,-29.500
390,-30.000
391,-30.500
392,-30.500
393,-33.000
394,-33.000
395,-34.500
396,-37.000
397,-40.500
398,-57.000
399,-58.500
