position_id,band,source_bucket,k_remaining,iter08,rod,parent,h3200,it_eq_h3,rod_eq_h3,par_eq_h3,it_eq_rod,it_eq_par,it_top1,it_rootv
greedy_s3500000000_K10,pre_endgame,greedy,10,1271,1271,1271,1271,1,1,1,1,1,0.755,-0.06003
greedy_s3500000000_K16,late_mid,greedy,16,1161,1166,1166,1166,0,1,1,0,0,0.125,-0.87067
greedy_s3500000000_K28,mid,greedy,28,938,1477,1477,938,1,0,0,0,0,0.085,-0.15293
greedy_s3500000000_K40,early_mid,greedy,40,1369,1369,1369,1369,1,1,1,1,1,0.175,-0.06213
greedy_s3500000000_K52,opening,greedy,52,1040,949,949,1040,1,0,0,0,0,0.165,-0.29134
greedy_s3500000001_K10,pre_endgame,greedy,10,752,1081,1077,852,0,0,0,0,0,0.125,-0.98989
greedy_s3500000001_K16,late_mid,greedy,16,1145,1145,1145,1145,1,1,1,1,1,0.175,-0.98627
greedy_s3500000001_K28,mid,greedy,28,861,861,862,861,1,1,0,1,0,0.345,-0.96106
greedy_s3500000001_K40,early_mid,greedy,40,1173,1173,1173,1173,1,1,1,1,1,0.27,-0.5619
greedy_s3500000001_K52,opening,greedy,52,1234,1139,1234,1144,0,0,0,0,1,0.105,-0.03057
greedy_s3500000002_K10,pre_endgame,greedy,10,1161,1161,1161,1161,1,1,1,1,1,0.68,-0.52609
greedy_s3500000002_K16,late_mid,greedy,16,1165,1165,1268,1268,0,0,1,1,0,0.265,-0.34917
greedy_s3500000002_K28,mid,greedy,28,844,844,844,844,1,1,1,1,1,0.265,-0.5567
greedy_s3500000002_K40,early_mid,greedy,40,1147,1164,1753,1753,0,0,1,0,0,0.235,-0.37256
greedy_s3500000002_K52,opening,greedy,52,1248,1248,1248,1156,0,0,0,1,1,0.49,0.26264
greedy_s3500000003_K10,pre_endgame,greedy,10,1464,1464,1120,1464,1,1,0,1,0,0.41,0.914
greedy_s3500000003_K16,late_mid,greedy,16,1258,1258,1258,1258,1,1,1,1,1,0.415,0.88323
greedy_s3500000003_K28,mid,greedy,28,1135,1439,1439,1042,0,0,0,0,0,0.215,0.92162
greedy_s3500000003_K40,early_mid,greedy,40,1657,1641,1657,1364,0,0,0,0,1,0.1,0.34709
greedy_s3500000003_K52,opening,greedy,52,1362,1361,1459,1458,0,0,0,0,0,0.32,-0.46245
greedy_s3500000004_K10,pre_endgame,greedy,10,1737,1737,1737,1737,1,1,1,1,1,0.415,0.74304
greedy_s3500000004_K16,late_mid,greedy,16,1037,1037,1037,1037,1,1,1,1,1,0.4,0.71352
greedy_s3500000004_K28,mid,greedy,28,1032,1643,1643,1349,0,0,0,0,0,0.175,0.28836
greedy_s3500000004_K40,early_mid,greedy,40,1132,1132,1449,1449,0,0,1,1,0,0.175,0.49751
greedy_s3500000004_K52,opening,greedy,52,1740,1740,1740,1740,1,1,1,1,1,0.295,0.46018
greedy_s3500000005_K10,pre_endgame,greedy,10,1657,1657,1657,1657,1,1,1,1,1,0.36,-0.29714
greedy_s3500000005_K16,late_mid,greedy,16,1257,1257,1257,1225,0,0,0,1,1,0.21,-0.44599
greedy_s3500000005_K28,mid,greedy,28,1748,1748,1748,1748,1,1,1,1,1,0.41,0.05946
greedy_s3500000005_K40,early_mid,greedy,40,1555,1555,1555,1555,1,1,1,1,1,0.745,0.56732
greedy_s3500000005_K52,opening,greedy,52,1546,1546,1546,1546,1,1,1,1,1,0.27,0.00034
greedy_s3500000006_K10,pre_endgame,greedy,10,1152,1152,1152,1332,0,0,0,1,1,0.415,0.1012
greedy_s3500000006_K16,late_mid,greedy,16,1175,957,957,762,0,0,0,0,0,0.415,0.00391
greedy_s3500000006_K28,mid,greedy,28,960,964,964,960,1,0,0,0,0,0.575,0.26149
greedy_s3500000006_K40,early_mid,greedy,40,1453,1453,1453,1453,1,1,1,1,1,0.475,0.30855
greedy_s3500000006_K52,opening,greedy,52,1164,1164,1164,1164,1,1,1,1,1,0.565,0.23709
greedy_s3500000007_K10,pre_endgame,greedy,10,969,969,948,969,1,1,0,1,0,0.1,-0.42963
greedy_s3500000007_K16,late_mid,greedy,16,970,970,970,970,1,1,1,1,1,0.125,-0.574
greedy_s3500000007_K28,mid,greedy,28,1556,1654,1556,863,0,0,0,0,1,0.095,-0.50029
greedy_s3500000007_K40,early_mid,greedy,40,1636,1438,1636,1437,0,0,0,0,1,0.105,-0.55475
greedy_s3500000007_K52,opening,greedy,52,1462,1462,1462,1461,0,0,0,1,1,0.275,-0.622
greedy_s3500000008_K10,pre_endgame,greedy,10,1349,1349,1349,1422,0,0,0,1,1,0.265,0.93109
greedy_s3500000008_K16,late_mid,greedy,16,1448,1449,1448,1448,1,0,1,0,1,0.275,0.83169
greedy_s3500000008_K28,mid,greedy,28,1442,1442,1442,1442,1,1,1,1,1,0.75,0.76094
greedy_s3500000008_K40,early_mid,greedy,40,1536,1536,1536,1449,0,0,0,1,1,0.275,0.85516
greedy_s3500000008_K52,opening,greedy,52,1447,1447,1447,1447,1,1,1,1,1,0.26,0.02395
greedy_s3500000009_K10,pre_endgame,greedy,10,1533,1533,1533,1533,1,1,1,1,1,0.28,-0.74609
greedy_s3500000009_K16,late_mid,greedy,16,1533,1533,1533,1165,0,0,0,1,1,0.305,0.04115
greedy_s3500000009_K28,mid,greedy,28,1551,1551,1742,1551,1,1,0,1,0,0.18,-0.05413
greedy_s3500000009_K40,early_mid,greedy,40,1132,1132,1132,1132,1,1,1,1,1,0.715,-0.48242
greedy_s3500000009_K52,opening,greedy,52,1646,1540,1540,1646,1,0,0,0,0,0.145,0.08745
greedy_s3500000010_K10,pre_endgame,greedy,10,1665,1136,967,743,0,0,0,0,0,0.12,-0.97411
greedy_s3500000010_K16,late_mid,greedy,16,742,1527,1269,935,0,0,0,0,0,0.095,-0.8974
