name,vlw,train_pol,val_pol,train_val,val_val,train_own,pol_entropy,base_entropy,value_outcome_corr,n_train
PARENT_champ(fw2_it8),1.0,1.5255,0.2581,0.0041,0.0041,0.0961,1.5295,1.7463,0.5101,836893
RoD1(cont_it01),1.5,1.5379,0.2699,0.0056,0.006,0.1089,1.5429,1.7463,0.4126,2064525
ov_it02,1.5,1.5482,0.2921,0.0056,0.0073,0.0958,1.5505,1.7463,0.36,818030
ov_it03,1.5,1.5403,0.2572,0.0055,0.006,0.0964,1.5475,1.7463,0.3923,818751
ov_it04,1.5,1.5521,0.2769,0.0057,0.0052,0.0976,1.5863,1.7463,0.4487,813701
ov_it05,1.5,1.5605,0.2331,0.0058,0.0053,0.0959,1.5513,1.7463,0.442,806899
ov_it06,1.5,1.5419,0.2896,0.0061,0.0071,0.0976,1.5558,1.7463,0.4333,814771
ov_it07,1.5,1.5513,0.2644,0.0063,0.0079,0.0974,1.5384,1.7463,0.4103,814339
ov_it08,1.5,1.5615,0.2692,0.006,0.0078,0.0969,1.5941,1.7463,0.3969,807336
ov_it09,1.5,1.5569,0.3172,0.0065,0.0071,0.0939,1.5536,1.7463,0.4337,809429
ov_it10,1.5,1.5499,0.2883,0.0063,0.0059,0.0956,1.5825,1.7463,0.4519,811145
ov_it11,1.5,1.5758,0.2702,0.0056,0.006,0.0945,1.5605,1.7463,0.4513,803904
ov_it12,1.5,1.5671,0.3198,0.0062,0.0066,0.0947,1.589,1.7463,0.4451,804621
ov_it13,1.5,1.5674,0.3177,0.0061,0.0065,0.0985,1.5049,1.7463,0.4322,806747
ov_it14,1.5,1.5179,0.2881,0.0068,0.0063,0.0992,1.5161,1.7463,0.4414,823449
ov_it15,1.5,1.5361,0.2772,0.0065,0.0062,0.0966,1.5573,1.7463,0.4877,816565
ov_it16,1.5,1.5396,0.2495,0.0066,0.0063,0.0988,1.4908,1.7463,0.463,812185
ov_it17,1.5,1.5219,0.2477,0.0063,0.0079,0.099,1.5658,1.7463,0.4677,825408
