[G6] 100 agreement games (reconcile on 10) k8x1376=11008 workers=14 rust_threads=1
  1/100 games, 144/144 actions agree, 0 mismatches (1941s)
  2/100 games, 288/288 actions agree, 0 mismatches (1948s)
  3/100 games, 432/432 actions agree, 0 mismatches (2019s)
  4/100 games, 576/576 actions agree, 0 mismatches (2138s)
  5/100 games, 720/720 actions agree, 0 mismatches (2229s)
  6/100 games, 864/864 actions agree, 0 mismatches (2237s)
  7/100 games, 1008/1008 actions agree, 0 mismatches (2255s)
  8/100 games, 1152/1152 actions agree, 0 mismatches (2295s)
  9/100 games, 1296/1296 actions agree, 0 mismatches (2339s)
  10/100 games, 1440/1440 actions agree, 0 mismatches (2342s)
  11/100 games, 1584/1584 actions agree, 0 mismatches (2668s)
  12/100 games, 1723/1723 actions agree, 0 mismatches (2692s)
  13/100 games, 1867/1867 actions agree, 0 mismatches (2704s)
  14/100 games, 2011/2011 actions agree, 0 mismatches (2745s)
  15/100 games, 2154/2154 actions agree, 0 mismatches (3872s)
  16/100 games, 2298/2298 actions agree, 0 mismatches (4043s)
  17/100 games, 2442/2442 actions agree, 0 mismatches (4052s)
  18/100 games, 2586/2586 actions agree, 0 mismatches (4131s)
  19/100 games, 2730/2730 actions agree, 0 mismatches (4210s)
  20/100 games, 2874/2874 actions agree, 0 mismatches (4250s)
  21/100 games, 3018/3018 actions agree, 0 mismatches (4436s)
  22/100 games, 3162/3162 actions agree, 0 mismatches (4491s)
  23/100 games, 3306/3306 actions agree, 0 mismatches (4492s)
  24/100 games, 3450/3450 actions agree, 0 mismatches (4510s)
  25/100 games, 3594/3594 actions agree, 0 mismatches (4657s)
  26/100 games, 3738/3738 actions agree, 0 mismatches (4980s)
  27/100 games, 3882/3882 actions agree, 0 mismatches (5140s)
  28/100 games, 4026/4026 actions agree, 0 mismatches (5295s)
  29/100 games, 4170/4170 actions agree, 0 mismatches (5729s)
  30/100 games, 4314/4314 actions agree, 0 mismatches (5772s)
  31/100 games, 4458/4458 actions agree, 0 mismatches (6007s)
  32/100 games, 4602/4602 actions agree, 0 mismatches (6286s)
  33/100 games, 4746/4746 actions agree, 0 mismatches (6397s)
  34/100 games, 4890/4890 actions agree, 0 mismatches (6590s)
  35/100 games, 5034/5034 actions agree, 0 mismatches (6707s)
  36/100 games, 5178/5178 actions agree, 0 mismatches (6892s)
  37/100 games, 5322/5322 actions agree, 0 mismatches (6928s)
  38/100 games, 5466/5466 actions agree, 0 mismatches (6936s)
  39/100 games, 5610/5610 actions agree, 0 mismatches (6939s)
  40/100 games, 5754/5754 actions agree, 0 mismatches (7227s)
  41/100 games, 5898/5898 actions agree, 0 mismatches (7317s)
