agent,motif,slice,k,n,rate,lo,hi
random,block,all,58,203,0.2857,0.2280,0.3514
greedy,block,all,56,203,0.2759,0.2190,0.3411
h200_v27,block,all,51,203,0.2512,0.1966,0.3151
h200,block,all,50,203,0.2463,0.1921,0.3099
h800,block,all,51,203,0.2512,0.1966,0.3151
h3200,block,all,50,203,0.2463,0.1921,0.3099
h6400,block,all,52,203,0.2562,0.2010,0.3203
rod1,block,all,59,203,0.2906,0.2325,0.3565
iter08,block,all,63,203,0.3103,0.2507,0.3770
ACTUAL,block,all,53,203,0.2611,0.2055,0.3255
random,block,opp_weak,0,4,0.0000,0.0000,0.4899
greedy,block,opp_weak,0,4,0.0000,0.0000,0.4899
h200_v27,block,opp_weak,0,4,0.0000,0.0000,0.4899
h200,block,opp_weak,0,4,0.0000,0.0000,0.4899
h800,block,opp_weak,0,4,0.0000,0.0000,0.4899
h3200,block,opp_weak,0,4,0.0000,0.0000,0.4899
h6400,block,opp_weak,0,4,0.0000,0.0000,0.4899
rod1,block,opp_weak,0,4,0.0000,0.0000,0.4899
iter08,block,opp_weak,0,4,0.0000,0.0000,0.4899
ACTUAL,block,opp_weak,0,4,0.0000,0.0000,0.4899
random,block,opp_mid,15,67,0.2239,0.1406,0.3371
greedy,block,opp_mid,16,67,0.2388,0.1527,0.3533
h200_v27,block,opp_mid,17,67,0.2537,0.1649,0.3693
h200,block,opp_mid,17,67,0.2537,0.1649,0.3693
h800,block,opp_mid,16,67,0.2388,0.1527,0.3533
h3200,block,opp_mid,16,67,0.2388,0.1527,0.3533
h6400,block,opp_mid,17,67,0.2537,0.1649,0.3693
rod1,block,opp_mid,19,67,0.2836,0.1897,0.4009
iter08,block,opp_mid,20,67,0.2985,0.2023,0.4166
ACTUAL,block,opp_mid,16,67,0.2388,0.1527,0.3533
random,block,opp_strong,43,132,0.3258,0.2517,0.4097
greedy,block,opp_strong,40,132,0.3030,0.2311,0.3861
h200_v27,block,opp_strong,34,132,0.2576,0.1906,0.3383
h200,block,opp_strong,33,132,0.2500,0.1839,0.3302
h800,block,opp_strong,35,132,0.2652,0.1973,0.3463
h3200,block,opp_strong,34,132,0.2576,0.1906,0.3383
h6400,block,opp_strong,35,132,0.2652,0.1973,0.3463
rod1,block,opp_strong,40,132,0.3030,0.2311,0.3861
iter08,block,opp_strong,43,132,0.3258,0.2517,0.4097
ACTUAL,block,opp_strong,37,132,0.2803,0.2107,0.3623
random,block,phase_opening,1,11,0.0909,0.0162,0.3774
greedy,block,phase_opening,2,11,0.1818,0.0514,0.4770
h200_v27,block,phase_opening,2,11,0.1818,0.0514,0.4770
h200,block,phase_opening,2,11,0.1818,0.0514,0.4770
h800,block,phase_opening,2,11,0.1818,0.0514,0.4770
h3200,block,phase_opening,2,11,0.1818,0.0514,0.4770
h6400,block,phase_opening,2,11,0.1818,0.0514,0.4770
rod1,block,phase_opening,2,11,0.1818,0.0514,0.4770
iter08,block,phase_opening,2,11,0.1818,0.0514,0.4770
ACTUAL,block,phase_opening,1,11,0.0909,0.0162,0.3774
random,block,phase_midgame,13,64,0.2031,0.1227,0.3171
greedy,block,phase_midgame,9,64,0.1406,0.0758,0.2462
h200_v27,block,phase_midgame,10,64,0.1562,0.0871,0.2643
h200,block,phase_midgame,10,64,0.1562,0.0871,0.2643
h800,block,phase_midgame,9,64,0.1406,0.0758,0.2462
h3200,block,phase_midgame,9,64,0.1406,0.0758,0.2462
h6400,block,phase_midgame,9,64,0.1406,0.0758,0.2462
rod1,block,phase_midgame,8,64,0.1250,0.0647,0.2277
iter08,block,phase_midgame,7,64,0.1094,0.0540,0.2090
ACTUAL,block,phase_midgame,9,64,0.1406,0.0758,0.2462
random,block,phase_late_mid,17,55,0.3091,0.2028,0.4403
greedy,block,phase_late_mid,17,55,0.3091,0.2028,0.4403
h200_v27,block,phase_late_mid,16,55,0.2909,0.1877,0.4214
h200,block,phase_late_mid,15,55,0.2727,0.1728,0.4023
h800,block,phase_late_mid,15,55,0.2727,0.1728,0.4023
h3200,block,phase_late_mid,15,55,0.2727,0.1728,0.4023
h6400,block,phase_late_mid,17,55,0.3091,0.2028,0.4403
rod1,block,phase_late_mid,19,55,0.3455,0.2336,0.4775
iter08,block,phase_late_mid,22,55,0.4000,0.2812,0.5319
ACTUAL,block,phase_late_mid,17,55,0.3091,0.2028,0.4403
random,block,phase_pre_endgame,14,41,0.3415,0.2156,0.4945
greedy,block,phase_pre_endgame,15,41,0.3659,0.2359,0.5188
h200_v27,block,phase_pre_endgame,11,41,0.2683,0.1569,0.4193
h200,block,phase_pre_endgame,10,41,0.2439,0.1382,0.3934
h800,block,phase_pre_endgame,11,41,0.2683,0.1569,0.4193
h3200,block,phase_pre_endgame,10,41,0.2439,0.1382,0.3934
h6400,block,phase_pre_endgame,10,41,0.2439,0.1382,0.3934
rod1,block,phase_pre_endgame,16,41,0.3902,0.2566,0.5427
iter08,block,phase_pre_endgame,18,41,0.4390,0.2989,0.5896
ACTUAL,block,phase_pre_endgame,13,41,0.3171,0.1956,0.4698
random,block,phase_endgame,13,32,0.4062,0.2552,0.5774
