idx,regime,mover_spec,opp_spec,opp_class,phase,k_remaining,legal_n,final_margin_mover,result_mover,motifs,block_opp,block_mag,block_actual_took,avoid_feeding_opp,avoid_feeding_mag,avoid_feeding_actual_took,contest_merge_opp,contest_merge_mag,contest_merge_actual_took,farm_claim_opp,farm_claim_mag,farm_claim_actual_took
9,h3200:random,h3200,random,weak,midgame,44,2,52,W,farm_claim,0,,,0,,,0,,,1,6.0,1
2,h3200:random,random,h3200,strong,opening,63,6,-52,L,farm_claim,0,,,0,,,0,,,1,9.0,0
7,h3200:random,h3200,random,weak,opening,48,4,52,W,farm_claim,0,,,0,,,0,,,1,6.0,0
0,h3200:random,h3200,random,weak,opening,68,5,52,W,farm_claim,0,,,0,,,0,,,1,6.0,0
3,h3200:random,h3200,random,weak,opening,58,6,52,W,farm_claim,0,,,0,,,0,,,1,6.0,0
6,h3200:random,random,h3200,strong,opening,49,20,-52,L,block|avoid_feeding,1,8.2,0,1,8.2,0,0,,,0,,
10,h3200:random,h3200,random,weak,midgame,40,31,52,W,avoid_feeding,0,,,1,6.3,1,0,,,0,,
5,h3200:random,random,h3200,strong,opening,53,4,-52,L,farm_claim,0,,,0,,,0,,,1,6.0,1
1,h3200:random,h3200,random,weak,opening,66,2,52,W,farm_claim,0,,,0,,,0,,,1,6.0,0
11,h3200:random,random,h3200,strong,midgame,31,30,-52,L,block|avoid_feeding,1,5.0,0,1,5.0,0,0,,,0,,
4,h3200:random,random,h3200,strong,opening,53,17,-52,L,avoid_feeding,0,,,1,3.2,1,0,,,0,,
12,h3200:random,random,h3200,strong,late_mid,25,32,-52,L,block|avoid_feeding,1,3.8,1,1,3.8,1,0,,,0,,
8,h3200:random,h3200,random,weak,midgame,46,4,52,W,farm_claim,0,,,0,,,0,,,1,6.0,0
13,h3200:random,h3200,random,weak,late_mid,22,37,52,W,avoid_feeding,0,,,1,5.8,1,0,,,0,,
19,h3200:random,h3200,random,weak,opening,62,4,80,W,farm_claim,0,,,0,,,0,,,1,6.0,1
17,h3200:random,random,h3200,strong,opening,69,6,-80,L,farm_claim,0,,,0,,,0,,,1,6.0,0
18,h3200:random,random,h3200,strong,opening,65,9,-80,L,avoid_feeding,0,,,1,2.3,1,0,,,0,,
20,h3200:random,random,h3200,strong,opening,51,23,-80,L,avoid_feeding,0,,,1,3.1,1,0,,,0,,
14,h3200:random,random,h3200,strong,late_mid,19,35,-52,L,block|avoid_feeding,1,3.8,1,1,3.8,1,0,,,0,,
21,h3200:random,random,h3200,strong,opening,49,36,-80,L,contest_merge,0,,,0,,,1,9.0,0,0,,
16,h3200:random,random,h3200,strong,endgame,5,34,-52,L,block|avoid_feeding,1,3.8,1,1,3.8,1,0,,,0,,
23,h3200:random,random,h3200,strong,midgame,43,30,-80,L,contest_merge,0,,,0,,,1,12.0,0,0,,
24,h3200:random,h3200,random,weak,midgame,42,42,80,W,contest_merge,0,,,0,,,1,9.0,0,0,,
22,h3200:random,h3200,random,weak,opening,48,2,80,W,farm_claim,0,,,0,,,0,,,1,6.0,1
15,h3200:random,random,h3200,strong,pre_endgame,11,37,-52,L,block|avoid_feeding,1,3.8,1,1,3.8,1,0,,,0,,
25,h3200:random,random,h3200,strong,midgame,39,29,-80,L,contest_merge,0,,,0,,,1,12.0,0,0,,
26,h3200:random,random,h3200,strong,midgame,35,41,-80,L,block|avoid_feeding,1,6.2,0,1,6.2,0,0,,,0,,
27,h3200:random,random,h3200,strong,midgame,31,36,-80,L,block|avoid_feeding|contest_merge,1,5.0,0,1,5.0,0,1,12.0,0,0,,
29,h3200:random,random,h3200,strong,late_mid,25,48,-80,L,block|avoid_feeding,1,2.6,1,1,2.6,1,0,,,0,,
28,h3200:random,random,h3200,strong,midgame,29,40,-80,L,block|avoid_feeding|contest_merge,1,5.0,0,1,5.0,0,1,12.0,0,0,,
37,h6400:random,h6400,random,weak,opening,70,6,59,W,farm_claim,0,,,0,,,0,,,1,6.0,1
34,h3200:random,h3200,random,weak,pre_endgame,14,3,80,W,farm_claim,0,,,0,,,0,,,1,12.0,1
38,h6400:random,random,h6400,strong,opening,61,10,-59,L,contest_merge,0,,,0,,,1,15.0,0,0,,
32,h3200:random,random,h3200,strong,late_mid,17,43,-80,L,block|avoid_feeding,1,3.2,1,1,3.2,1,0,,,0,,
33,h3200:random,random,h3200,strong,late_mid,15,39,-80,L,avoid_feeding,0,,,1,3.2,1,0,,,0,,
39,h6400:random,random,h6400,strong,opening,57,23,-59,L,contest_merge,0,,,0,,,1,21.0,0,0,,
30,h3200:random,h3200,random,weak,late_mid,24,38,80,W,contest_merge,0,,,0,,,1,9.0,0,0,,
40,h6400:random,h6400,random,weak,opening,56,17,59,W,contest_merge,0,,,0,,,1,21.0,0,0,,
41,h6400:random,random,h6400,strong,opening,55,28,-59,L,contest_merge,0,,,0,,,1,24.0,0,0,,
36,h3200:random,random,h3200,strong,endgame,3,42,-80,L,block|avoid_feeding,1,2.8,0,1,2.8,0,0,,,0,,
31,h3200:random,random,h3200,strong,late_mid,19,41,-80,L,block|avoid_feeding,1,8.2,0,1,8.2,0,0,,,0,,
35,h3200:random,random,h3200,strong,endgame,5,53,-80,L,contest_merge,0,,,0,,,1,30.0,0,0,,
42,h6400:random,h6400,random,weak,opening,54,19,59,W,contest_merge,0,,,0,,,1,21.0,0,0,,
43,h6400:random,random,h6400,strong,opening,53,34,-59,L,contest_merge,0,,,0,,,1,27.0,0,0,,
44,h6400:random,random,h6400,strong,opening,47,32,-59,L,contest_merge,0,,,0,,,1,27.0,0,0,,
48,h6400:random,random,h6400,strong,late_mid,23,36,-59,L,avoid_feeding,0,,,1,2.8,1,0,,,0,,
52,h3200:random,h3200,random,weak,opening,72,4,87,W,farm_claim,0,,,0,,,0,,,1,6.0,1
47,h6400:random,h6400,random,weak,late_mid,24,38,59,W,contest_merge,0,,,0,,,1,27.0,0,0,,
50,h6400:random,h6400,random,weak,endgame,2,48,59,W,contest_merge,0,,,0,,,1,27.0,0,0,,
45,h6400:random,random,h6400,strong,midgame,37,47,-59,L,avoid_feeding|contest_merge,0,,,1,2.6,0,1,27.0,0,0,,
46,h6400:random,random,h6400,strong,late_mid,25,46,-59,L,contest_merge,0,,,0,,,1,27.0,0,0,,
53,h3200:random,h3200,random,weak,opening,64,3,87,W,farm_claim,0,,,0,,,0,,,1,6.0,1
54,h3200:random,h3200,random,weak,opening,50,5,87,W,farm_claim,0,,,0,,,0,,,1,6.0,0
55,h3200:random,h3200,random,weak,midgame,34,22,87,W,contest_merge,0,,,0,,,1,21.0,1,0,,
49,h6400:random,h6400,random,weak,endgame,4,46,59,W,contest_merge,0,,,0,,,1,27.0,0,0,,
59,h6400:random,h6400,random,weak,opening,66,3,40,W,farm_claim,0,,,0,,,0,,,1,6.0,0
61,h6400:random,random,h6400,strong,opening,57,20,-40,L,avoid_feeding,0,,,1,3.2,1,0,,,0,,
51,h6400:random,h6400,random,weak,endgame,2,6,59,W,farm_claim,0,,,0,,,0,,,1,6.0,0
56,h3200:random,random,h3200,strong,late_mid,25,27,-87,L,avoid_feeding,0,,,1,2.3,1,0,,,0,,
60,h6400:random,h6400,random,weak,opening,62,2,40,W,farm_claim,0,,,0,,,0,,,1,6.0,1
64,h6400:random,h6400,random,weak,midgame,44,24,40,W,avoid_feeding,0,,,1,2.1,0,0,,,0,,
57,h3200:random,h3200,random,weak,late_mid,22,3,87,W,farm_claim,0,,,0,,,0,,,1,6.0,1
58,h3200:random,random,h3200,strong,pre_endgame,11,39,-87,L,block|avoid_feeding,1,3.5,0,1,3.5,0,0,,,0,,
62,h6400:random,h6400,random,weak,opening,56,3,40,W,farm_claim,0,,,0,,,0,,,1,6.0,0
63,h6400:random,random,h6400,strong,opening,47,27,-40,L,block|avoid_feeding,1,2.2,0,1,2.2,0,0,,,0,,
65,h6400:random,random,h6400,strong,midgame,41,33,-40,L,block|avoid_feeding,1,5.0,0,1,5.0,0,0,,,0,,
66,h6400:random,h6400,random,weak,midgame,40,35,40,W,avoid_feeding,0,,,1,2.6,1,0,,,0,,
67,h6400:random,random,h6400,strong,late_mid,21,36,-40,L,block|avoid_feeding,1,2.4,0,1,2.4,0,0,,,0,,
68,h6400:random,h6400,random,weak,late_mid,18,38,40,W,avoid_feeding,0,,,1,2.5,0,0,,,0,,
75,h3200:random,h3200,random,weak,opening,58,23,102,W,contest_merge,0,,,0,,,1,9.0,0,0,,
74,h3200:random,h3200,random,weak,opening,72,4,102,W,farm_claim,0,,,0,,,0,,,1,6.0,1
76,h3200:random,h3200,random,weak,opening,56,29,102,W,contest_merge,0,,,0,,,1,9.0,0,0,,
69,h6400:random,h6400,random,weak,pre_endgame,14,46,40,W,avoid_feeding,0,,,1,2.5,0,0,,,0,,
71,h6400:random,random,h6400,strong,pre_endgame,11,33,-40,L,block|avoid_feeding,1,5.0,1,1,5.0,1,0,,,0,,
72,h6400:random,h6400,random,weak,pre_endgame,8,42,40,W,avoid_feeding,0,,,1,4.3,0,0,,,0,,
78,h3200:random,random,h3200,strong,opening,49,27,-102,L,avoid_feeding,0,,,1,3.2,1,0,,,0,,
77,h3200:random,random,h3200,strong,opening,53,36,-102,L,contest_merge,0,,,0,,,1,9.0,0,0,,
70,h6400:random,random,h6400,strong,pre_endgame,13,38,-40,L,contest_merge,0,,,0,,,1,24.0,0,0,,
73,h6400:random,h6400,random,weak,endgame,6,53,40,W,block|avoid_feeding,1,2.5,0,1,2.5,0,0,,,0,,
79,h3200:random,random,h3200,strong,midgame,45,36,-102,L,avoid_feeding,0,,,1,3.2,1,0,,,0,,
81,h3200:random,h3200,random,weak,midgame,42,46,102,W,contest_merge,0,,,0,,,1,15.0,0,0,,
80,h3200:random,random,h3200,strong,midgame,43,34,-102,L,block|avoid_feeding|contest_merge,1,5.0,0,1,5.0,0,1,9.0,0,0,,
82,h3200:random,h3200,random,weak,midgame,34,43,102,W,contest_merge,0,,,0,,,1,9.0,0,0,,
83,h3200:random,h3200,random,weak,midgame,30,45,102,W,contest_merge,0,,,0,,,1,9.0,0,0,,
86,h3200:random,h3200,random,weak,late_mid,26,51,102,W,contest_merge,0,,,0,,,1,9.0,0,0,,
84,h3200:random,h3200,random,weak,midgame,30,5,102,W,farm_claim,0,,,0,,,0,,,1,6.0,0
85,h3200:random,random,h3200,strong,midgame,29,46,-102,L,contest_merge,0,,,0,,,1,9.0,0,0,,
89,h3200:random,random,h3200,strong,pre_endgame,13,41,-102,L,block|avoid_feeding,1,3.5,0,1,3.5,0,0,,,0,,
93,h6400:random,random,h6400,strong,opening,57,3,-63,L,farm_claim,0,,,0,,,0,,,1,6.0,1
88,h3200:random,random,h3200,strong,late_mid,17,37,-102,L,block|avoid_feeding,1,2.0,1,1,2.0,1,0,,,0,,
87,h3200:random,random,h3200,strong,late_mid,21,38,-102,L,block|avoid_feeding,1,2.0,1,1,2.0,1,0,,,0,,
92,h3200:random,random,h3200,strong,pre_endgame,7,27,-102,L,block|avoid_feeding,1,2.0,1,1,2.0,1,0,,,0,,
96,h6400:random,h6400,random,weak,midgame,46,29,63,W,avoid_feeding,0,,,1,2.6,0,0,,,0,,
95,h6400:random,h6400,random,weak,opening,50,24,63,W,avoid_feeding,0,,,1,2.6,0,0,,,0,,
90,h3200:random,random,h3200,strong,pre_endgame,11,44,-102,L,block|avoid_feeding,1,3.5,0,1,3.5,0,0,,,0,,
94,h6400:random,h6400,random,weak,opening,56,12,63,W,avoid_feeding,0,,,1,2.6,0,0,,,0,,
