idx,motif,regime,seed,g,ply,seat,mover_spec,opp_spec,tile_phase,k,margin_before,legal_n,magnitude,actual_took,final_margin_mover,result_mover,take_random,take_greedy,take_h200,take_h800,take_h3200,take_h6400,take_rod1
11,MUST_PUNISH_WEAK,h6400:random,1982001,1,22,1,h6400,random,TILES,61,0,17,10,1,85,W,0,1,1,1,1,1,1
2,MUST_NOT_FEED,h6400:random,1982000,0,78,1,random,h6400,TILES,33,-6,34,18,1,-62,L,1,1,1,1,1,1,1
13,MUST_PUNISH_WEAK,rod1:h6400,1988001,1,21,0,h6400,rod1,MEEPLES,62,1,6,9,0,-31,L,1,0,0,0,0,0,0
13,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988001,1,21,0,h6400,rod1,MEEPLES,62,1,6,9,0,-31,L,1,0,0,0,0,0,0
12,MUST_PUNISH_WEAK,h6400:random,1982001,1,54,1,h6400,random,TILES,45,18,22,10,1,85,W,0,1,1,1,1,1,1
0,MUST_PUNISH_WEAK,h6400:random,1982000,0,49,0,h6400,random,MEEPLES,48,6,5,9,1,62,W,0,0,1,1,1,1,1
0,HIGH_VALUE_FARM_CLAIM_REFINED,h6400:random,1982000,0,49,0,h6400,random,MEEPLES,48,6,5,9,1,62,W,0,0,1,1,1,1,1
6,MUST_PUNISH_WEAK,h6400:random,1982002,2,73,0,h6400,random,MEEPLES,36,8,6,9,0,77,W,0,0,0,0,0,0,0
6,HIGH_VALUE_FARM_CLAIM_REFINED,h6400:random,1982002,2,73,0,h6400,random,MEEPLES,36,8,6,9,0,77,W,0,0,0,0,0,0,0
10,MUST_PUNISH_WEAK,h6400:random,1982003,3,66,1,h6400,random,TILES,39,13,31,14,1,98,W,0,1,1,1,1,1,1
4,MUST_NOT_FEED,h6400:random,1982002,2,42,1,random,h6400,TILES,51,-4,21,9,1,-77,L,1,1,1,1,1,1,1
1,MUST_NOT_FEED,h6400:random,1982000,0,66,1,random,h6400,TILES,39,-6,27,18,1,-62,L,1,1,1,1,1,1,1
7,MUST_BLOCK_CITY,h6400:random,1982002,2,78,1,random,h6400,TILES,33,-16,35,13,0,-77,L,0,0,0,0,0,0,0
5,MUST_NOT_FEED,h6400:random,1982002,2,66,1,random,h6400,TILES,39,-8,40,13,0,-77,L,0,0,0,0,0,0,0
9,MUST_PUNISH_WEAK,h6400:random,1982002,2,124,0,h6400,random,TILES,10,16,28,36,1,77,W,0,1,1,1,1,1,1
8,MUST_BLOCK_CITY,h6400:random,1982002,2,114,1,random,h6400,TILES,15,-16,32,17,0,-77,L,0,0,1,1,1,1,1
14,MUST_PUNISH_WEAK,rod1:h6400,1988001,1,29,0,h6400,rod1,MEEPLES,58,0,4,12,1,-31,L,0,0,1,1,1,1,1
14,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988001,1,29,0,h6400,rod1,MEEPLES,58,0,4,12,1,-31,L,0,0,1,1,1,1,1
17,MUST_PUNISH_WEAK,rod1:h6400,1988007,7,18,1,rod1,h6400,TILES,63,0,19,8,1,-17,L,0,1,1,1,1,1,1
18,MUST_PUNISH_WEAK,rod1:h6400,1988007,7,60,0,h6400,rod1,TILES,42,-1,31,8,1,17,W,0,1,1,1,1,1,1
16,MUST_NOT_FEED,rod1:h6400,1988001,1,54,1,rod1,h6400,TILES,45,16,21,12,1,31,W,1,1,1,1,1,1,1
15,MUST_NOT_FEED,rod1:h6400,1988001,1,48,0,h6400,rod1,TILES,48,-18,26,12,1,-31,L,1,1,1,1,1,1,1
19,MUST_NOT_FEED,rod1:h6400,1988007,7,110,1,rod1,h6400,TILES,17,0,42,9,1,-17,L,1,1,1,1,1,1,1
21,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988007,7,137,0,h6400,rod1,MEEPLES,4,6,5,9,1,17,W,0,1,1,1,1,1,1
3,MUST_PUNISH_WEAK,h6400:random,1982000,0,140,0,h6400,random,TILES,2,2,40,40,1,62,W,0,1,1,1,1,1,0
22,MUST_NOT_FEED,rod1:h6400,1988009,9,54,1,rod1,h6400,TILES,45,-12,22,8,1,0,D,1,1,1,1,1,1,1
20,MUST_NOT_FEED,rod1:h6400,1988007,7,118,1,rod1,h6400,TILES,13,0,38,9,1,-17,L,1,1,1,1,1,1,1
25,MUST_PUNISH_WEAK,rod1:h6400,1988003,3,32,0,h6400,rod1,TILES,56,0,33,12,1,2,W,0,1,1,1,1,1,1
26,MUST_PUNISH_WEAK,rod1:h6400,1988003,3,50,1,rod1,h6400,TILES,47,-21,30,12,1,-2,L,0,1,1,1,1,1,1
24,MUST_NOT_FEED,rod1:h6400,1988009,9,122,1,rod1,h6400,TILES,11,-17,34,8,1,0,D,1,1,1,1,1,1,1
23,MUST_PUNISH_WEAK,rod1:h6400,1988009,9,88,0,h6400,rod1,TILES,28,3,29,20,1,0,D,0,1,1,1,1,1,1
27,MUST_PUNISH_WEAK,rod1:h6400,1988005,5,7,1,rod1,h6400,MEEPLES,69,0,4,9,1,6,W,0,0,1,1,1,1,1
27,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988005,5,7,1,rod1,h6400,MEEPLES,69,0,4,9,1,6,W,0,0,1,1,1,1,1
28,MUST_NOT_FEED,rod1:h6400,1988005,5,14,1,rod1,h6400,TILES,65,0,6,8,1,6,W,1,1,1,1,1,1,1
30,MUST_BLOCK_CITY,rod1:h6400,1988005,5,56,0,h6400,rod1,TILES,44,-10,13,15,0,-6,L,1,0,0,0,0,0,0
29,MUST_BLOCK_CITY,rod1:h6400,1988005,5,34,1,rod1,h6400,TILES,55,6,15,11,1,6,W,0,1,1,1,1,1,1
29,MUST_NOT_FEED,rod1:h6400,1988005,5,34,1,rod1,h6400,TILES,55,6,15,11,1,6,W,0,1,1,1,1,1,1
32,MUST_PUNISH_WEAK,rod1:h6400,1988000,0,68,0,rod1,h6400,TILES,38,5,40,8,1,32,W,0,1,1,1,1,1,1
39,MUST_PUNISH_WEAK,rod1:h6400,1988004,4,27,1,h6400,rod1,MEEPLES,59,0,4,9,0,-3,L,0,0,0,0,0,0,0
39,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988004,4,27,1,h6400,rod1,MEEPLES,59,0,4,9,0,-3,L,0,0,0,0,0,0,0
37,MUST_PUNISH_WEAK,rod1:h6400,1988008,8,32,0,rod1,h6400,TILES,56,-5,24,8,1,-35,L,0,1,1,1,1,1,1
31,MUST_PUNISH_WEAK,rod1:h6400,1988005,5,97,0,h6400,rod1,MEEPLES,24,11,5,9,1,-6,L,0,1,1,1,1,1,1
31,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988005,5,97,0,h6400,rod1,MEEPLES,24,11,5,9,1,-6,L,0,1,1,1,1,1,1
38,MUST_PUNISH_WEAK,rod1:h6400,1988008,8,43,1,h6400,rod1,MEEPLES,51,-3,3,9,1,35,W,0,0,1,1,1,1,1
38,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988008,8,43,1,h6400,rod1,MEEPLES,51,-3,3,9,1,35,W,0,0,1,1,1,1,1
33,MUST_PUNISH_WEAK,rod1:h6400,1988000,0,87,1,h6400,rod1,MEEPLES,29,-22,7,9,1,-32,L,0,0,1,1,1,1,0
33,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988000,0,87,1,h6400,rod1,MEEPLES,29,-22,7,9,1,-32,L,0,0,1,1,1,1,0
40,MUST_PUNISH_WEAK,rod1:h6400,1988004,4,49,0,rod1,h6400,MEEPLES,48,-5,2,9,0,3,W,1,0,0,0,0,1,0
40,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988004,4,49,0,rod1,h6400,MEEPLES,48,-5,2,9,0,3,W,1,0,0,0,0,1,0
34,MUST_NOT_FEED,rod1:h6400,1988000,0,110,1,h6400,rod1,TILES,17,-16,25,8,1,-32,L,1,1,1,1,1,1,1
41,MUST_NOT_FEED,rod1:h6400,1988004,4,54,1,h6400,rod1,TILES,45,2,31,8,0,-3,L,0,0,0,0,0,0,0
36,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988000,0,123,1,h6400,rod1,MEEPLES,11,-13,4,12,1,-32,L,0,1,1,1,1,1,1
42,MUST_PUNISH_WEAK,rod1:h6400,1988002,2,23,1,h6400,rod1,MEEPLES,61,-4,3,9,1,17,W,1,0,1,1,1,1,1
42,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988002,2,23,1,h6400,rod1,MEEPLES,61,-4,3,9,1,17,W,1,0,1,1,1,1,1
35,MUST_NOT_FEED,rod1:h6400,1988000,0,114,1,h6400,rod1,TILES,15,-21,30,8,1,-32,L,1,1,1,1,1,1,1
46,MUST_PUNISH_WEAK,rod1:h6400,1988006,6,23,1,h6400,rod1,MEEPLES,61,0,5,9,1,0,D,0,0,0,1,1,1,1
46,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988006,6,23,1,h6400,rod1,MEEPLES,61,0,5,9,1,0,D,0,0,0,1,1,1,1
43,MUST_PUNISH_WEAK,rod1:h6400,1988002,2,37,0,rod1,h6400,MEEPLES,54,0,4,12,1,-17,L,1,0,1,1,1,1,1
43,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:h6400,1988002,2,37,0,rod1,h6400,MEEPLES,54,0,4,12,1,-17,L,1,0,1,1,1,1,1
47,MUST_PUNISH_WEAK,rod1:h6400,1988006,6,30,1,h6400,rod1,TILES,57,0,24,8,1,0,D,0,1,1,1,1,1,1
