margin_bucket,margin_center,margin_mean,tiles_band,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin
[-25:-20),-22.5,-21.143,60-72,7,4,0.2857,0.0822,0.6411,-0.4286,-0.8874,0.0563
[-20:-15),-17.5,-16.000,60-72,49,25,0.3469,0.2292,0.4869,-0.3061,-0.7882,0.1059
[-15:-10),-12.5,-11.154,60-72,999,371,0.4494,0.4189,0.4804,-0.1011,-0.6313,0.1843
[-10:-5),-7.5,-6.883,60-72,4588,1290,0.4416,0.4273,0.4560,-0.1168,-0.4292,0.2854
[-5:0),-2.5,-3.245,60-72,14139,2504,0.4729,0.4647,0.4811,-0.0542,-0.2131,0.3935
[0:5),2.5,0.604,60-72,58727,3300,0.5092,0.5051,0.5132,0.0183,0.0402,0.5201
[5:10),7.5,6.851,60-72,3124,993,0.5695,0.5520,0.5867,0.1389,0.4274,0.7137
[10:15),12.5,11.071,60-72,551,229,0.5281,0.4864,0.5695,0.0563,0.6280,0.8140
[15:20),17.5,15.737,60-72,19,14,0.5789,0.3628,0.7686,0.1579,0.7815,0.8907
[20:25),22.5,21.333,60-72,3,1,1.0000,0.4385,1.0000,1.0000,0.8901,0.9450
[-35:-30),-32.5,-31.075,45-59,40,19,0.1500,0.0706,0.2907,-0.7000,-0.9688,0.0156
[-30:-25),-27.5,-27.022,45-59,136,42,0.3382,0.2641,0.4212,-0.3235,-0.9470,0.0265
[-25:-20),-22.5,-21.553,45-59,860,240,0.3593,0.3279,0.3919,-0.2814,-0.8931,0.0535
[-20:-15),-17.5,-16.624,45-59,2979,691,0.3614,0.3443,0.3788,-0.2773,-0.8035,0.0983
[-15:-10),-12.5,-11.647,45-59,8945,1718,0.3992,0.3891,0.4094,-0.2016,-0.6507,0.1747
[-10:-5),-7.5,-6.856,45-59,15815,2605,0.4488,0.4411,0.4566,-0.1024,-0.4277,0.2862
[-5:0),-2.5,-2.751,45-59,19725,2591,0.4828,0.4758,0.4898,-0.0344,-0.1814,0.4093
[0:5),2.5,1.854,45-59,27081,2848,0.5210,0.5151,0.5270,0.0421,0.1230,0.5615
[5:10),7.5,6.837,45-59,13547,2403,0.5633,0.5549,0.5716,0.1266,0.4266,0.7133
[10:15),12.5,11.599,45-59,7097,1413,0.6147,0.6033,0.6260,0.2294,0.6488,0.8244
[15:20),17.5,16.592,45-59,2072,496,0.6298,0.6088,0.6504,0.2597,0.8027,0.9013
[20:25),22.5,21.165,45-59,510,144,0.6441,0.6016,0.6845,0.2882,0.8877,0.9439
[25:30),27.5,26.377,45-59,130,41,0.7231,0.6406,0.7928,0.4462,0.9423,0.9712
[30:35),32.5,30.615,45-59,13,7,1.0000,0.7719,1.0000,1.0000,0.9668,0.9834
[-40:-35),-37.5,-39.723,30-44,242,56,0.0909,0.0608,0.1338,-0.8182,-0.9900,0.0050
[-35:-30),-32.5,-31.913,30-44,641,145,0.1466,0.1214,0.1761,-0.7067,-0.9720,0.0140
[-30:-25),-27.5,-27.398,30-44,1045,277,0.1962,0.1732,0.2213,-0.6077,-0.9495,0.0253
[-25:-20),-22.5,-22.044,30-44,3866,810,0.2464,0.2331,0.2602,-0.5072,-0.8995,0.0502
[-20:-15),-17.5,-16.789,30-44,6219,1308,0.3076,0.2963,0.3192,-0.3848,-0.8073,0.0963
[-15:-10),-12.5,-11.824,30-44,10954,2078,0.3740,0.3650,0.3831,-0.2521,-0.6574,0.1713
[-10:-5),-7.5,-6.897,30-44,14644,2396,0.4280,0.4200,0.4360,-0.1441,-0.4299,0.2850
[-5:0),-2.5,-2.507,30-44,12482,1984,0.4821,0.4734,0.4909,-0.0357,-0.1656,0.4172
[0:5),2.5,1.888,30-44,16189,2195,0.5313,0.5237,0.5390,0.0627,0.1252,0.5626
[5:10),7.5,6.882,30-44,13606,2351,0.5848,0.5765,0.5931,0.1696,0.4291,0.7145
[10:15),12.5,11.785,30-44,9532,1855,0.6428,0.6332,0.6524,0.2857,0.6559,0.8280
[15:20),17.5,16.771,30-44,5223,1128,0.7207,0.7083,0.7327,0.4413,0.8069,0.9035
[20:25),22.5,21.652,30-44,2611,617,0.7691,0.7525,0.7848,0.5381,0.8944,0.9472
[25:30),27.5,26.667,30-44,1087,277,0.8238,0.8000,0.8453,0.6477,0.9445,0.9722
[30:35),32.5,31.961,30-44,486,117,0.8827,0.8511,0.9084,0.7654,0.9722,0.9861
[35:40),37.5,39.651,30-44,149,37,0.9396,0.8892,0.9679,0.8792,0.9899,0.9950
[-40:-35),-37.5,-41.409,15-29,1590,235,0.0701,0.0586,0.0837,-0.8597,-0.9920,0.0040
[-35:-30),-32.5,-32.139,15-29,2014,415,0.0968,0.0847,0.1105,-0.8064,-0.9728,0.0136
[-30:-25),-27.5,-27.332,15-29,2414,579,0.1442,0.1307,0.1587,-0.7117,-0.9490,0.0255
[-25:-20),-22.5,-22.220,15-29,5920,1115,0.1993,0.1893,0.2097,-0.6014,-0.9017,0.0491
[-20:-15),-17.5,-16.898,15-29,7449,1485,0.2522,0.2424,0.2622,-0.4956,-0.8098,0.0951
[-15:-10),-12.5,-11.913,15-29,9483,1829,0.3085,0.2993,0.3179,-0.3830,-0.6608,0.1696
[-10:-5),-7.5,-7.001,15-29,11302,1946,0.3863,0.3774,0.3953,-0.2274,-0.4356,0.2822
[-5:0),-2.5,-2.475,15-29,9986,1549,0.4691,0.4593,0.4789,-0.0619,-0.1635,0.4182
[0:5),2.5,1.943,15-29,12680,1754,0.5521,0.5435,0.5608,0.1043,0.1288,0.5644
[5:10),7.5,6.992,15-29,10649,1947,0.6377,0.6285,0.6468,0.2754,0.4351,0.7175
[10:15),12.5,11.904,15-29,8724,1693,0.7172,0.7076,0.7265,0.4343,0.6604,0.8302
[15:20),17.5,16.868,15-29,6694,1356,0.7623,0.7520,0.7724,0.5246,0.8091,0.9046
[20:25),22.5,21.780,15-29,4480,889,0.8163,0.8047,0.8274,0.6326,0.8961,0.9480
[25:30),27.5,26.738,15-29,2698,580,0.8519,0.8380,0.8648,0.7039,0.9450,0.9725
[30:35),32.5,32.143,15-29,1653,346,0.9220,0.9080,0.9339,0.8439,0.9728,0.9864
[35:40),37.5,41.291,15-29,1256,192,0.9363,0.9214,0.9485,0.8726,0.9919,0.9960
[-40:-35),-37.5,-42.510,6-14,2230,379,0.0294,0.0231,0.0372,-0.9413,-0.9931,0.0034
[-35:-30),-32.5,-32.278,6-14,1963,459,0.0540,0.0448,0.0649,-0.8920,-0.9733,0.0133
[-30:-25),-27.5,-27.351,6-14,1835,516,0.1139,0.1002,0.1292,-0.7722,-0.9492,0.0254
[-25:-20),-22.5,-22.273,6-14,3936,916,0.1784,0.1667,0.1906,-0.6433,-0.9024,0.0488
[-20:-15),-17.5,-16.854,6-14,4356,1096,0.1872,0.1759,0.1991,-0.6256,-0.8088,0.0956
[-15:-10),-12.5,-11.975,6-14,5154,1240,0.2670,0.2551,0.2792,-0.4660,-0.6631,0.1684
[-10:-5),-7.5,-7.007,6-14,5699,1288,0.3608,0.3484,0.3733,-0.2785,-0.4359,0.2821
[-5:0),-2.5,-2.475,6-14,4899,1021,0.4742,0.4602,0.4882,-0.0516,-0.1635,0.4182
[0:5),2.5,2.011,6-14,6024,1182,0.5535,0.5409,0.5660,0.1069,0.1333,0.5666
[5:10),7.5,6.999,6-14,5528,1282,0.6695,0.6570,0.6818,0.3390,0.4354,0.7177
[10:15),12.5,11.967,6-14,4921,1195,0.7583,0.7461,0.7700,0.5166,0.6628,0.8314
[15:20),17.5,16.876,6-14,4024,1015,0.8195,0.8073,0.8310,0.6389,0.8093,0.9047
[20:25),22.5,21.797,6-14,3036,754,0.8363,0.8227,0.8490,0.6726,0.8963,0.9482
[25:30),27.5,26.774,6-14,2183,551,0.8958,0.8823,0.9079,0.7916,0.9452,0.9726
[30:35),32.5,32.260,6-14,1734,408,0.9533,0.9423,0.9623,0.9066,0.9733,0.9866
[35:40),37.5,42.220,6-14,1872,325,0.9784,0.9707,0.9840,0.9567,0.9928,0.9964
[-40:-35),-37.5,-43.902,1-5,1720,419,0.0160,0.0110,0.0231,-0.9680,-0.9943,0.0029
[-35:-30),-32.5,-32.347,1-5,1303,402,0.0583,0.0469,0.0724,-0.8833,-0.9736,0.0132
[-30:-25),-27.5,-27.390,1-5,1086,380,0.0935,0.0776,0.1122,-0.8131,-0.9494,0.0253
[-25:-20),-22.5,-22.240,1-5,2283,685,0.1441,0.1303,0.1591,-0.7118,-0.9020,0.0490
[-20:-15),-17.5,-16.898,1-5,2323,754,0.2006,0.1848,0.2174,-0.5988,-0.8098,0.0951
[-15:-10),-12.5,-11.944,1-5,2571,831,0.2614,0.2448,0.2787,-0.4772,-0.6619,0.1690
[-10:-5),-7.5,-6.987,1-5,2932,892,0.3385,0.3216,0.3558,-0.3230,-0.4348,0.2826
[-5:0),-2.5,-2.438,1-5,2472,693,0.4575,0.4380,0.4772,-0.0850,-0.1611,0.4194
[0:5),2.5,2.001,1-5,2925,806,0.5617,0.5437,0.5796,0.1234,0.1326,0.5663
[5:10),7.5,6.940,1-5,2855,884,0.6874,0.6701,0.7041,0.3748,0.4323,0.7161
[10:15),12.5,11.923,1-5,2496,823,0.7608,0.7437,0.7771,0.5216,0.6612,0.8306
[15:20),17.5,16.934,1-5,2183,707,0.8252,0.8087,0.8406,0.6505,0.8106,0.9053
[20:25),22.5,21.836,1-5,1859,576,0.8572,0.8405,0.8724,0.7144,0.8968,0.9484
[25:30),27.5,26.891,1-5,1282,420,0.9181,0.9018,0.9319,0.8362,0.9460,0.9730
[30:35),32.5,32.305,1-5,1195,386,0.9464,0.9322,0.9578,0.8929,0.9734,0.9867
[35:40),37.5,43.610,1-5,1514,384,0.9881,0.9813,0.9925,0.9762,0.9941,0.9970
