margin_bucket,margin_center,margin_mean,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin,implied_T
[-60:-55),-57.5,-62.817,164,27,0.0000,0.0000,0.0229,-1.0000,-0.9995,0.0002,nan
[-55:-50),-52.5,-52.234,200,42,0.0000,0.0000,0.0188,-1.0000,-0.9981,0.0009,nan
[-50:-45),-47.5,-47.343,353,85,0.0000,0.0000,0.0108,-1.0000,-0.9964,0.0018,nan
[-45:-40),-42.5,-42.448,643,142,0.0093,0.0043,0.0202,-0.9813,-0.9931,0.0035,18.198
[-40:-35),-37.5,-37.351,1045,228,0.0077,0.0039,0.0150,-0.9847,-0.9863,0.0068,15.356
[-35:-30),-32.5,-32.335,1944,351,0.0147,0.0102,0.0210,-0.9707,-0.9735,0.0132,15.369
[-30:-25),-27.5,-27.385,3442,586,0.0443,0.0379,0.0517,-0.9114,-0.9494,0.0253,17.833
[-25:-20),-22.5,-22.330,5999,880,0.0877,0.0808,0.0951,-0.8246,-0.9031,0.0485,19.067
[-20:-15),-17.5,-17.375,9673,1233,0.1588,0.1516,0.1662,-0.6824,-0.8205,0.0898,20.842
[-15:-10),-12.5,-12.390,16071,1443,0.2381,0.2315,0.2447,-0.5239,-0.6783,0.1608,21.302
[-10:-5),-7.5,-7.347,26054,1496,0.3629,0.3571,0.3688,-0.2741,-0.4541,0.2730,26.116
[-5:0),-2.5,-2.348,44290,1500,0.4718,0.4671,0.4764,-0.0565,-0.1553,0.4224,41.534
[0:5),2.5,2.002,45353,1500,0.5385,0.5339,0.5431,0.0770,0.1326,0.5663,25.951
[5:10),7.5,7.217,23603,1497,0.6640,0.6580,0.6700,0.3281,0.4471,0.7236,21.183
[10:15),12.5,12.247,14691,1423,0.7849,0.7781,0.7914,0.5697,0.6732,0.8366,18.925
[15:20),17.5,17.235,8570,1160,0.8550,0.8474,0.8623,0.7100,0.8174,0.9087,19.426
[20:25),22.5,22.156,5393,811,0.9249,0.9176,0.9316,0.8498,0.9009,0.9505,17.648
[25:30),27.5,27.205,3020,533,0.9623,0.9548,0.9685,0.9245,0.9482,0.9741,16.802
[30:35),32.5,32.153,1767,339,0.9884,0.9822,0.9924,0.9768,0.9729,0.9864,14.467
[35:40),37.5,37.255,912,206,0.9912,0.9828,0.9955,0.9825,0.9862,0.9931,15.761
[40:45),42.5,42.198,576,132,0.9948,0.9848,0.9982,0.9896,0.9928,0.9964,16.069
[45:50),47.5,47.251,312,81,1.0000,0.9878,1.0000,1.0000,0.9963,0.9982,nan
[50:55),52.5,52.143,168,43,1.0000,0.9776,1.0000,1.0000,0.9981,0.9990,nan
[55:60),57.5,62.518,144,23,1.0000,0.9740,1.0000,1.0000,0.9995,0.9998,nan
