margin_bucket,margin_center,margin_mean,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin,implied_T
[-60:-55),-57.5,-61.314,191,28,0.0000,0.0000,0.0197,-1.0000,-0.9994,0.0003,nan
[-55:-50),-52.5,-52.217,227,60,0.0132,0.0045,0.0381,-0.9736,-0.9981,0.0009,24.214
[-50:-45),-47.5,-47.409,346,86,0.0000,-0.0000,0.0110,-1.0000,-0.9964,0.0018,nan
[-45:-40),-42.5,-42.362,643,146,0.0093,0.0043,0.0202,-0.9813,-0.9930,0.0035,18.162
[-40:-35),-37.5,-37.455,1056,216,0.0095,0.0052,0.0173,-0.9811,-0.9865,0.0067,16.109
[-35:-30),-32.5,-32.419,1964,370,0.0288,0.0222,0.0371,-0.9425,-0.9738,0.0131,18.424
[-30:-25),-27.5,-27.380,3412,565,0.0381,0.0322,0.0451,-0.9238,-0.9494,0.0253,16.961
[-25:-20),-22.5,-22.432,5666,830,0.0687,0.0624,0.0755,-0.8627,-0.9043,0.0478,17.205
[-20:-15),-17.5,-17.393,9137,1121,0.1311,0.1243,0.1381,-0.7379,-0.8209,0.0896,18.389
[-15:-10),-12.5,-12.395,14479,1354,0.2455,0.2386,0.2526,-0.5090,-0.6785,0.1608,22.078
[-10:-5),-7.5,-7.373,24141,1394,0.3533,0.3473,0.3594,-0.2934,-0.4554,0.2723,24.394
[-5:0),-2.5,-2.329,40618,1400,0.4543,0.4495,0.4592,-0.0913,-0.1540,0.4230,25.436
[0:5),2.5,1.992,41795,1400,0.5527,0.5479,0.5575,0.1054,0.1320,0.5660,18.824
[5:10),7.5,7.207,22178,1396,0.6674,0.6612,0.6736,0.3348,0.4466,0.7233,20.697
[10:15),12.5,12.222,13448,1336,0.7812,0.7742,0.7881,0.5625,0.6722,0.8361,19.205
[15:20),17.5,17.197,8341,1081,0.8775,0.8703,0.8844,0.7551,0.8166,0.9083,17.465
[20:25),22.5,22.206,5268,801,0.9373,0.9304,0.9435,0.8745,0.9015,0.9508,16.425
[25:30),27.5,27.177,3144,549,0.9685,0.9618,0.9741,0.9370,0.9480,0.9740,15.864
[30:35),32.5,32.194,1749,344,0.9763,0.9680,0.9824,0.9525,0.9730,0.9865,17.322
[35:40),37.5,37.146,993,211,0.9889,0.9803,0.9938,0.9778,0.9860,0.9930,16.540
[40:45),42.5,42.052,599,139,0.9950,0.9854,0.9983,0.9900,0.9927,0.9963,15.894
[45:50),47.5,47.091,319,79,0.9969,0.9825,0.9994,0.9937,0.9963,0.9981,16.345
[50:55),52.5,52.070,210,52,0.9905,0.9659,0.9974,0.9810,0.9981,0.9990,22.423
[55:60),57.5,61.243,158,23,1.0000,0.9763,1.0000,1.0000,0.9994,0.9997,nan
