margin_bucket,margin_center,margin_mean,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin,implied_T
[-60:-55),-57.5,-60.870,146,22,0.0000,-0.0000,0.0256,-1.0000,-0.9994,0.0003,nan
[-55:-50),-52.5,-52.876,153,31,0.0131,0.0036,0.0464,-0.9739,-0.9983,0.0009,24.456
[-50:-45),-47.5,-47.884,363,72,0.0193,0.0094,0.0393,-0.9614,-0.9966,0.0017,24.375
[-45:-40),-42.5,-42.748,643,124,0.0202,0.0119,0.0343,-0.9596,-0.9933,0.0033,22.031
[-40:-35),-37.5,-37.715,1136,194,0.0436,0.0332,0.0571,-0.9129,-0.9870,0.0065,24.421
[-35:-30),-32.5,-32.738,2093,341,0.0855,0.0743,0.0983,-0.8290,-0.9749,0.0126,27.632
[-30:-25),-27.5,-27.710,3796,536,0.1278,0.1175,0.1388,-0.7445,-0.9515,0.0243,28.851
[-25:-20),-22.5,-22.850,5965,810,0.1712,0.1619,0.1810,-0.6575,-0.9093,0.0454,28.983
[-20:-15),-17.5,-17.827,10077,1141,0.2604,0.2520,0.2691,-0.4791,-0.8301,0.0849,34.163
[-15:-10),-12.5,-12.878,15536,1351,0.3322,0.3249,0.3397,-0.3355,-0.6955,0.1523,36.893
[-10:-5),-7.5,-7.858,24305,1459,0.4100,0.4038,0.4162,-0.1800,-0.4807,0.2597,43.169
[-5:0),-2.5,-3.093,33361,1467,0.4726,0.4672,0.4780,-0.0548,-0.2033,0.3983,56.393
[0:5),2.5,1.279,56452,1500,0.5187,0.5145,0.5228,0.0373,0.0851,0.5425,34.251
[5:10),7.5,6.898,22332,1447,0.6058,0.5994,0.6122,0.2117,0.4300,0.7150,32.098
[10:15),12.5,11.792,15195,1336,0.6660,0.6585,0.6735,0.3321,0.6562,0.8281,34.162
[15:20),17.5,16.811,9458,1104,0.7484,0.7396,0.7571,0.4968,0.8078,0.9039,30.841
[20:25),22.5,21.824,5643,767,0.8433,0.8336,0.8526,0.6867,0.8967,0.9483,25.930
[25:30),27.5,26.732,3554,520,0.8889,0.8781,0.8988,0.7777,0.9449,0.9725,25.715
[30:35),32.5,31.758,1968,319,0.9047,0.8910,0.9169,0.8095,0.9714,0.9857,28.219
[35:40),37.5,36.741,1012,188,0.9634,0.9500,0.9734,0.9269,0.9852,0.9926,22.461
[40:45),42.5,41.733,550,105,0.9636,0.9445,0.9763,0.9273,0.9924,0.9962,25.469
[45:50),47.5,46.843,364,68,0.9835,0.9645,0.9924,0.9670,0.9961,0.9981,22.913
[50:55),52.5,51.623,146,27,1.0000,0.9744,1.0000,1.0000,0.9980,0.9990,nan
[55:60),57.5,59.439,139,20,1.0000,0.9731,1.0000,1.0000,0.9993,0.9996,nan
