margin_bucket,margin_center,margin_mean,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin,implied_T
[-60:-55),-57.5,-60.838,216,31,0.0000,0.0000,0.0175,-1.0000,-0.9994,0.0003,nan
[-55:-50),-52.5,-52.742,194,41,0.0000,0.0000,0.0194,-1.0000,-0.9982,0.0009,nan
[-50:-45),-47.5,-48.077,415,84,0.0193,0.0098,0.0376,-0.9614,-0.9967,0.0016,24.471
[-45:-40),-42.5,-42.578,804,147,0.0448,0.0325,0.0614,-0.9104,-0.9932,0.0034,27.827
[-40:-35),-37.5,-37.830,1242,218,0.0584,0.0466,0.0728,-0.8833,-0.9872,0.0064,27.209
[-35:-30),-32.5,-32.717,2284,344,0.0676,0.0581,0.0787,-0.8647,-0.9748,0.0126,24.942
[-30:-25),-27.5,-27.884,3491,523,0.1110,0.1010,0.1219,-0.7780,-0.9526,0.0237,26.804
[-25:-20),-22.5,-22.868,5737,745,0.1643,0.1549,0.1741,-0.6714,-0.9095,0.0453,28.117
[-20:-15),-17.5,-17.805,9582,1062,0.2649,0.2562,0.2739,-0.4702,-0.8297,0.0852,34.894
[-15:-10),-12.5,-12.830,14251,1238,0.3154,0.3078,0.3231,-0.3692,-0.6938,0.1531,33.113
[-10:-5),-7.5,-7.829,22077,1354,0.4182,0.4117,0.4247,-0.1637,-0.4792,0.2604,47.394
[-5:0),-2.5,-3.072,30256,1361,0.4778,0.4721,0.4834,-0.0445,-0.2020,0.3990,69.002
[0:5),2.5,1.247,52483,1400,0.5150,0.5107,0.5193,0.0300,0.0830,0.5415,41.583
[5:10),7.5,6.866,20242,1345,0.5969,0.5901,0.6036,0.1938,0.4282,0.7141,34.989
[10:15),12.5,11.775,13915,1234,0.6836,0.6758,0.6913,0.3672,0.6556,0.8278,30.575
[15:20),17.5,16.809,9206,1027,0.7476,0.7386,0.7563,0.4951,0.8078,0.9039,30.966
[20:25),22.5,21.902,5592,726,0.8422,0.8324,0.8515,0.6844,0.8977,0.9488,26.158
[25:30),27.5,26.879,3177,500,0.8801,0.8683,0.8909,0.7602,0.9460,0.9730,26.971
[30:35),32.5,31.788,2237,322,0.9354,0.9245,0.9449,0.8708,0.9715,0.9858,23.786
[35:40),37.5,36.799,1151,193,0.9453,0.9306,0.9570,0.8905,0.9853,0.9927,25.833
[40:45),42.5,41.653,763,140,0.9666,0.9513,0.9772,0.9332,0.9923,0.9961,24.759
[45:50),47.5,46.795,351,75,0.9829,0.9632,0.9921,0.9658,0.9961,0.9981,23.098
[50:55),52.5,51.437,213,36,1.0000,0.9823,1.0000,1.0000,0.9979,0.9990,nan
[55:60),57.5,59.635,203,26,1.0000,0.9814,1.0000,1.0000,0.9993,0.9996,nan
