margin_bucket,margin_center,margin_mean,tiles_band,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin
[-30:-25),-27.5,-28.000,60-72,1,1,0.0000,0.0000,0.7935,-1.0000,-0.9533,0.0234
[-25:-20),-22.5,-21.987,60-72,4,3,0.0000,0.0000,0.4899,-1.0000,-0.8988,0.0506
[-20:-15),-17.5,-17.099,60-72,40,20,0.4000,0.2635,0.5540,-0.2000,-0.8144,0.0928
[-15:-10),-12.5,-11.775,60-72,375,183,0.4373,0.3880,0.4879,-0.1253,-0.6556,0.1722
[-10:-5),-7.5,-6.809,60-72,3044,947,0.4465,0.4289,0.4642,-0.1071,-0.4251,0.2874
[-5:0),-2.5,-1.995,60-72,14797,1500,0.4997,0.4917,0.5078,-0.0005,-0.1322,0.4339
[0:5),2.5,1.351,60-72,16777,1500,0.4990,0.4915,0.5066,-0.0019,0.0898,0.5449
[5:10),7.5,6.640,60-72,2143,727,0.5604,0.5393,0.5813,0.1209,0.4159,0.7079
[10:15),12.5,11.544,60-72,197,104,0.5685,0.4987,0.6357,0.1371,0.6467,0.8234
[15:20),17.5,16.604,60-72,27,14,0.6296,0.4423,0.7847,0.2593,0.8030,0.9015
[20:25),22.5,22.800,60-72,3,2,1.0000,0.4385,1.0000,1.0000,0.9087,0.9543
[-45:-40),-42.5,-40.650,45-59,1,1,0.0000,0.0000,0.7935,-1.0000,-0.9912,0.0044
[-40:-35),-37.5,-37.550,45-59,4,1,0.0000,0.0000,0.4899,-1.0000,-0.9867,0.0066
[-35:-30),-32.5,-32.283,45-59,21,7,0.0476,0.0085,0.2267,-0.9048,-0.9733,0.0133
[-30:-25),-27.5,-27.218,45-59,65,24,0.2308,0.1451,0.3464,-0.5385,-0.9483,0.0259
[-25:-20),-22.5,-22.091,45-59,316,108,0.2199,0.1778,0.2688,-0.5601,-0.9001,0.0499
[-20:-15),-17.5,-17.106,45-59,1086,338,0.3122,0.2853,0.3403,-0.3757,-0.8145,0.0927
[-15:-10),-12.5,-12.158,45-59,3247,796,0.3491,0.3329,0.3657,-0.3018,-0.6699,0.1651
[-10:-5),-7.5,-7.248,45-59,7425,1373,0.3994,0.3883,0.4106,-0.2012,-0.4488,0.2756
[-5:0),-2.5,-2.493,45-59,11429,1284,0.4707,0.4616,0.4799,-0.0585,-0.1647,0.4176
[0:5),2.5,2.378,45-59,11072,1329,0.5419,0.5326,0.5511,0.0837,0.1572,0.5786
[5:10),7.5,7.131,45-59,6533,1312,0.6173,0.6055,0.6290,0.2347,0.4425,0.7213
[10:15),12.5,12.072,45-59,2672,654,0.6534,0.6352,0.6713,0.3069,0.6667,0.8333
[15:20),17.5,16.972,45-59,817,267,0.6812,0.6484,0.7122,0.3623,0.8115,0.9058
[20:25),22.5,21.881,45-59,244,80,0.8361,0.7845,0.8772,0.6721,0.8974,0.9487
[25:30),27.5,27.016,45-59,40,16,0.8250,0.6805,0.9125,0.6500,0.9469,0.9735
[30:35),32.5,31.597,45-59,15,6,1.0000,0.7961,1.0000,1.0000,0.9708,0.9854
[35:40),37.5,37.720,45-59,5,1,1.0000,0.5655,1.0000,1.0000,0.9870,0.9935
[-55:-50),-52.5,-50.700,30-44,1,1,0.0000,0.0000,0.7935,-1.0000,-0.9977,0.0012
[-50:-45),-47.5,-47.760,30-44,5,2,0.0000,-0.0000,0.4345,-1.0000,-0.9966,0.0017
[-45:-40),-42.5,-41.579,30-44,14,5,0.2857,0.1172,0.5465,-0.4286,-0.9922,0.0039
[-40:-35),-37.5,-37.277,30-44,55,23,0.0545,0.0187,0.1485,-0.8909,-0.9862,0.0069
[-35:-30),-32.5,-31.848,30-44,202,65,0.0842,0.0532,0.1306,-0.8317,-0.9718,0.0141
[-30:-25),-27.5,-27.279,30-44,569,151,0.1046,0.0820,0.1324,-0.7909,-0.9487,0.0257
[-25:-20),-22.5,-22.222,30-44,1241,324,0.1543,0.1353,0.1755,-0.6914,-0.9017,0.0491
[-20:-15),-17.5,-17.259,30-44,2626,654,0.2268,0.2112,0.2432,-0.5465,-0.8180,0.0910
[-15:-10),-12.5,-12.402,30-44,4547,997,0.2938,0.2808,0.3072,-0.4124,-0.6788,0.1606
[-10:-5),-7.5,-7.412,30-44,6315,1219,0.4135,0.4014,0.4257,-0.1731,-0.4575,0.2713
[-5:0),-2.5,-2.524,30-44,7841,1010,0.4873,0.4763,0.4984,-0.0254,-0.1667,0.4167
[0:5),2.5,2.412,30-44,7547,1068,0.5209,0.5097,0.5322,0.0419,0.1594,0.5797
[5:10),7.5,7.304,30-44,5888,1210,0.6102,0.5977,0.6226,0.2204,0.4518,0.7259
[10:15),12.5,12.256,30-44,4209,922,0.7363,0.7228,0.7494,0.4726,0.6735,0.8367
[15:20),17.5,17.216,30-44,2246,549,0.7845,0.7670,0.8010,0.5690,0.8170,0.9085
[20:25),22.5,22.141,30-44,1008,281,0.8517,0.8284,0.8723,0.7034,0.9007,0.9504
[25:30),27.5,26.995,30-44,472,124,0.9036,0.8736,0.9271,0.8072,0.9468,0.9734
[30:35),32.5,31.896,30-44,162,54,0.9259,0.8750,0.9571,0.8519,0.9720,0.9860
[35:40),37.5,37.460,30-44,35,14,0.8857,0.7405,0.9546,0.7714,0.9865,0.9933
[40:45),42.5,41.458,30-44,6,3,0.6667,0.3000,0.9032,0.3333,0.9921,0.9960
[45:50),47.5,47.840,30-44,5,2,1.0000,0.5655,1.0000,1.0000,0.9966,0.9983
[-60:-55),-57.5,-60.955,15-29,21,5,0.0000,0.0000,0.1546,-1.0000,-0.9994,0.0003
[-55:-50),-52.5,-52.052,15-29,29,7,0.0000,0.0000,0.1170,-1.0000,-0.9981,0.0010
[-50:-45),-47.5,-46.801,15-29,63,24,0.0000,-0.0000,0.0575,-1.0000,-0.9961,0.0019
[-45:-40),-42.5,-42.267,15-29,182,56,0.0000,0.0000,0.0207,-1.0000,-0.9929,0.0036
[-40:-35),-37.5,-37.383,15-29,371,105,0.0027,0.0005,0.0151,-0.9946,-0.9864,0.0068
[-35:-30),-32.5,-32.326,15-29,668,171,0.0097,0.0046,0.0205,-0.9805,-0.9735,0.0133
[-30:-25),-27.5,-27.312,15-29,1229,311,0.0582,0.0464,0.0727,-0.8836,-0.9489,0.0255
[-25:-20),-22.5,-22.314,15-29,2030,490,0.1037,0.0912,0.1177,-0.7926,-0.9029,0.0486
[-20:-15),-17.5,-17.446,15-29,3048,731,0.1521,0.1398,0.1653,-0.6959,-0.8220,0.0890
[-15:-10),-12.5,-12.501,15-29,4321,938,0.2000,0.1883,0.2121,-0.6001,-0.6823,0.1589
[-10:-5),-7.5,-7.576,15-29,5286,1026,0.3269,0.3144,0.3397,-0.3462,-0.4661,0.2669
[-5:0),-2.5,-2.529,15-29,5941,814,0.4392,0.4266,0.4518,-0.1217,-0.1670,0.4165
[0:5),2.5,2.370,15-29,5752,877,0.5874,0.5747,0.6001,0.1749,0.1567,0.5784
[5:10),7.5,7.415,15-29,5099,1043,0.7045,0.6919,0.7169,0.4091,0.4576,0.7288
[10:15),12.5,12.357,15-29,4081,907,0.8118,0.7995,0.8235,0.6236,0.6771,0.8386
[15:20),17.5,17.258,15-29,2786,661,0.8647,0.8515,0.8769,0.7294,0.8179,0.9090
[20:25),22.5,22.170,15-29,1878,456,0.9050,0.8908,0.9174,0.8099,0.9011,0.9505
[25:30),27.5,27.217,15-29,1052,276,0.9444,0.9289,0.9567,0.8888,0.9483,0.9741
[30:35),32.5,32.131,15-29,613,163,0.9943,0.9845,0.9979,0.9886,0.9728,0.9864
[35:40),37.5,37.243,15-29,315,92,1.0000,0.9880,1.0000,1.0000,0.9862,0.9931
[40:45),42.5,42.131,15-29,142,47,1.0000,0.9737,1.0000,1.0000,0.9928,0.9964
[45:50),47.5,46.788,15-29,50,17,1.0000,0.9286,1.0000,1.0000,0.9961,0.9981
[50:55),52.5,51.985,15-29,27,6,1.0000,0.8754,1.0000,1.0000,0.9980,0.9990
[55:60),57.5,61.562,15-29,16,4,1.0000,0.8064,1.0000,1.0000,0.9995,0.9997
[-60:-55),-57.5,-64.256,6-14,58,16,0.0000,0.0000,0.0621,-1.0000,-0.9996,0.0002
[-55:-50),-52.5,-52.247,6-14,93,26,0.0000,0.0000,0.0397,-1.0000,-0.9981,0.0009
[-50:-45),-47.5,-47.396,6-14,154,54,0.0000,0.0000,0.0243,-1.0000,-0.9964,0.0018
[-45:-40),-42.5,-42.521,6-14,266,79,0.0075,0.0021,0.0270,-0.9850,-0.9931,0.0034
[-40:-35),-37.5,-37.296,6-14,389,126,0.0103,0.0040,0.0261,-0.9794,-0.9862,0.0069
[-35:-30),-32.5,-32.499,6-14,616,188,0.0065,0.0025,0.0166,-0.9870,-0.9741,0.0130
[-30:-25),-27.5,-27.393,6-14,920,294,0.0060,0.0027,0.0134,-0.9880,-0.9495,0.0253
[-25:-20),-22.5,-22.398,6-14,1552,456,0.0303,0.0228,0.0400,-0.9394,-0.9039,0.0480
[-20:-15),-17.5,-17.501,6-14,1897,568,0.0551,0.0457,0.0663,-0.8898,-0.8232,0.0884
[-15:-10),-12.5,-12.482,6-14,2339,668,0.1163,0.1039,0.1299,-0.7674,-0.6816,0.1592
[-10:-5),-7.5,-7.527,6-14,2666,721,0.2176,0.2023,0.2336,-0.5649,-0.4635,0.2682
[-5:0),-2.5,-2.568,6-14,2836,562,0.4212,0.4031,0.4395,-0.1576,-0.1696,0.4152
[0:5),2.5,2.343,6-14,2769,612,0.6253,0.6071,0.6432,0.2506,0.1549,0.5775
[5:10),7.5,7.309,6-14,2667,743,0.8039,0.7884,0.8185,0.6078,0.4521,0.7260
[10:15),12.5,12.273,6-14,2289,662,0.9000,0.8870,0.9116,0.7999,0.6741,0.8370
[15:20),17.5,17.299,6-14,1768,542,0.9468,0.9354,0.9564,0.8937,0.8188,0.9094
[20:25),22.5,22.131,6-14,1443,423,0.9785,0.9697,0.9848,0.9570,0.9006,0.9503
[25:30),27.5,27.226,6-14,844,272,0.9964,0.9896,0.9988,0.9929,0.9483,0.9742
[30:35),32.5,32.276,6-14,559,175,0.9911,0.9792,0.9962,0.9821,0.9733,0.9867
[35:40),37.5,37.179,6-14,359,117,0.9889,0.9717,0.9957,0.9777,0.9860,0.9930
[40:45),42.5,42.083,6-14,246,76,0.9959,0.9773,0.9993,0.9919,0.9927,0.9964
[45:50),47.5,47.367,6-14,141,51,1.0000,0.9735,1.0000,1.0000,0.9964,0.9982
[50:55),52.5,52.127,6-14,78,27,1.0000,0.9531,1.0000,1.0000,0.9981,0.9990
[55:60),57.5,64.334,6-14,49,11,1.0000,0.9273,1.0000,1.0000,0.9996,0.9998
[-60:-55),-57.5,-62.295,1-5,85,21,0.0000,0.0000,0.0432,-1.0000,-0.9995,0.0002
[-55:-50),-52.5,-52.306,1-5,77,28,0.0000,0.0000,0.0475,-1.0000,-0.9981,0.0009
[-50:-45),-47.5,-47.525,1-5,131,55,0.0000,0.0000,0.0285,-1.0000,-0.9965,0.0018
[-45:-40),-42.5,-42.599,1-5,180,76,0.0000,0.0000,0.0209,-1.0000,-0.9932,0.0034
[-40:-35),-37.5,-37.408,1-5,226,98,0.0000,0.0000,0.0167,-1.0000,-0.9865,0.0068
[-35:-30),-32.5,-32.347,1-5,437,173,0.0000,-0.0000,0.0087,-1.0000,-0.9736,0.0132
[-30:-25),-27.5,-27.617,1-5,658,258,0.0015,0.0003,0.0086,-0.9970,-0.9509,0.0245
[-25:-20),-22.5,-22.492,1-5,856,342,0.0088,0.0044,0.0176,-0.9825,-0.9050,0.0475
[-20:-15),-17.5,-17.528,1-5,976,409,0.0179,0.0113,0.0283,-0.9641,-0.8238,0.0881
[-15:-10),-12.5,-12.581,1-5,1242,485,0.0455,0.0352,0.0585,-0.9090,-0.6851,0.1574
[-10:-5),-7.5,-7.556,1-5,1318,524,0.1612,0.1424,0.1821,-0.6775,-0.4650,0.2675
[-5:0),-2.5,-2.678,1-5,1446,422,0.3427,0.3187,0.3675,-0.3147,-0.1767,0.4117
[0:5),2.5,2.410,1-5,1436,459,0.7019,0.6778,0.7250,0.4039,0.1593,0.5797
[5:10),7.5,7.240,1-5,1273,513,0.8720,0.8525,0.8892,0.7439,0.4484,0.7242
[10:15),12.5,12.300,1-5,1243,472,0.9658,0.9542,0.9746,0.9316,0.6751,0.8375
[15:20),17.5,17.343,1-5,926,385,0.9816,0.9708,0.9885,0.9633,0.8198,0.9099
