margin_bucket,margin_center,margin_mean,tiles_band,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin
[-25:-20),-22.5,-20.700,60-72,1,1,0.0000,0.0000,0.7935,-1.0000,-0.8810,0.0595
[-20:-15),-17.5,-16.659,60-72,33,19,0.4242,0.2724,0.5919,-0.1515,-0.8043,0.0979
[-15:-10),-12.5,-11.811,60-72,410,189,0.3476,0.3031,0.3949,-0.3049,-0.6569,0.1715
[-10:-5),-7.5,-6.842,60-72,2879,891,0.4337,0.4157,0.4518,-0.1327,-0.4269,0.2865
[-5:0),-2.5,-1.965,60-72,13641,1400,0.4796,0.4712,0.4880,-0.0408,-0.1303,0.4349
[0:5),2.5,1.372,60-72,15559,1400,0.5173,0.5095,0.5252,0.0346,0.0912,0.5456
[5:10),7.5,6.660,60-72,2123,733,0.5881,0.5670,0.6088,0.1762,0.4170,0.7085
[10:15),12.5,11.709,60-72,241,115,0.6743,0.6128,0.7303,0.3485,0.6531,0.8265
[15:20),17.5,16.547,60-72,18,11,0.5000,0.2903,0.7097,0.0000,0.8016,0.9008
[-35:-30),-32.5,-32.134,45-59,19,10,0.1053,0.0294,0.3139,-0.7895,-0.9728,0.0136
[-30:-25),-27.5,-27.032,45-59,79,33,0.0949,0.0479,0.1796,-0.8101,-0.9470,0.0265
[-25:-20),-22.5,-22.010,45-59,375,115,0.1760,0.1408,0.2178,-0.6480,-0.8991,0.0505
[-20:-15),-17.5,-17.084,45-59,1155,326,0.2580,0.2336,0.2840,-0.4840,-0.8140,0.0930
[-15:-10),-12.5,-12.198,45-59,2969,745,0.3755,0.3583,0.3931,-0.2489,-0.6714,0.1643
[-10:-5),-7.5,-7.284,45-59,6744,1273,0.4150,0.4033,0.4268,-0.1699,-0.4507,0.2746
[-5:0),-2.5,-2.467,45-59,10572,1184,0.4632,0.4537,0.4727,-0.0736,-0.1630,0.4185
[0:5),2.5,2.353,45-59,10138,1222,0.5445,0.5348,0.5542,0.0891,0.1556,0.5778
[5:10),7.5,7.186,45-59,6113,1220,0.5961,0.5837,0.6083,0.1922,0.4455,0.7227
[10:15),12.5,12.076,45-59,2519,653,0.6453,0.6264,0.6637,0.2906,0.6669,0.8334
[15:20),17.5,17.023,45-59,955,255,0.7613,0.7332,0.7872,0.5225,0.8127,0.9063
[20:25),22.5,21.746,45-59,277,88,0.8285,0.7797,0.8683,0.6570,0.8956,0.9478
[25:30),27.5,26.804,45-59,58,22,0.9310,0.8357,0.9729,0.8621,0.9454,0.9727
[30:35),32.5,31.577,45-59,13,7,0.8462,0.5776,0.9567,0.6923,0.9707,0.9854
[-60:-55),-57.5,-56.633,30-44,3,1,0.0000,0.0000,0.5615,-1.0000,-0.9989,0.0005
[-55:-50),-52.5,-52.850,30-44,1,1,0.0000,0.0000,0.7935,-1.0000,-0.9983,0.0009
[-50:-45),-47.5,-47.233,30-44,3,3,0.0000,0.0000,0.5615,-1.0000,-0.9963,0.0018
[-45:-40),-42.5,-42.145,30-44,22,10,0.0455,0.0081,0.2180,-0.9091,-0.9928,0.0036
[-40:-35),-37.5,-36.938,30-44,75,26,0.0267,0.0073,0.0921,-0.9467,-0.9856,0.0072
[-35:-30),-32.5,-32.176,30-44,230,69,0.1196,0.0838,0.1679,-0.7609,-0.9730,0.0135
[-30:-25),-27.5,-27.200,30-44,547,163,0.1015,0.0789,0.1296,-0.7971,-0.9482,0.0259
[-25:-20),-22.5,-22.239,30-44,1300,328,0.1196,0.1031,0.1384,-0.7608,-0.9020,0.0490
[-20:-15),-17.5,-17.307,30-44,2462,572,0.2021,0.1867,0.2184,-0.5959,-0.8190,0.0905
[-15:-10),-12.5,-12.304,30-44,3996,938,0.3092,0.2950,0.3237,-0.3816,-0.6752,0.1624
[-10:-5),-7.5,-7.422,30-44,5948,1114,0.3752,0.3629,0.3875,-0.2497,-0.4580,0.2710
[-5:0),-2.5,-2.509,30-44,7095,954,0.4349,0.4234,0.4465,-0.1302,-0.1657,0.4171
[0:5),2.5,2.368,30-44,6898,993,0.5806,0.5689,0.5922,0.1612,0.1566,0.5783
[5:10),7.5,7.269,30-44,5663,1128,0.6422,0.6296,0.6545,0.2843,0.4499,0.7249
[10:15),12.5,12.212,30-44,3679,877,0.7143,0.6995,0.7287,0.4286,0.6719,0.8359
[15:20),17.5,17.208,30-44,2248,523,0.8036,0.7867,0.8195,0.6072,0.8168,0.9084
[20:25),22.5,22.146,30-44,1112,288,0.8885,0.8686,0.9057,0.7770,0.9008,0.9504
[25:30),27.5,27.218,30-44,459,135,0.8911,0.8593,0.9164,0.7821,0.9483,0.9741
[30:35),32.5,31.998,30-44,169,50,0.9142,0.8622,0.9478,0.8284,0.9723,0.9862
[35:40),37.5,36.726,30-44,69,25,0.9275,0.8413,0.9687,0.8551,0.9852,0.9926
[40:45),42.5,42.620,30-44,10,3,1.0000,0.7225,1.0000,1.0000,0.9932,0.9966
[45:50),47.5,46.550,30-44,1,1,1.0000,0.2065,1.0000,1.0000,0.9960,0.9980
[50:55),52.5,52.467,30-44,3,1,1.0000,0.4385,1.0000,1.0000,0.9982,0.9991
[55:60),57.5,57.350,30-44,1,1,1.0000,0.2065,1.0000,1.0000,0.9990,0.9995
[-60:-55),-57.5,-60.576,15-29,23,4,0.0000,-0.0000,0.1431,-1.0000,-0.9994,0.0003
[-55:-50),-52.5,-52.622,15-29,44,13,0.0000,0.0000,0.0803,-1.0000,-0.9982,0.0009
[-50:-45),-47.5,-47.657,15-29,70,21,0.0000,0.0000,0.0520,-1.0000,-0.9965,0.0017
[-45:-40),-42.5,-42.132,15-29,141,44,0.0213,0.0073,0.0607,-0.9574,-0.9928,0.0036
[-40:-35),-37.5,-37.391,15-29,353,98,0.0198,0.0096,0.0404,-0.9603,-0.9864,0.0068
[-35:-30),-32.5,-32.318,15-29,670,186,0.0358,0.0242,0.0527,-0.9284,-0.9735,0.0133
[-30:-25),-27.5,-27.388,15-29,1261,310,0.0476,0.0371,0.0608,-0.9048,-0.9494,0.0253
[-25:-20),-22.5,-22.486,15-29,1885,460,0.0751,0.0640,0.0878,-0.8499,-0.9050,0.0475
[-20:-15),-17.5,-17.431,15-29,2904,679,0.1024,0.0919,0.1140,-0.7951,-0.8217,0.0891
[-15:-10),-12.5,-12.510,15-29,3871,885,0.2061,0.1937,0.2192,-0.5877,-0.6826,0.1587
