margin_bucket,margin_center,margin_mean,tiles_band,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin
[-20:-15),-17.5,-16.545,60-72,11,5,0.0909,0.0162,0.3774,-0.8182,-0.8016,0.0992
[-15:-10),-12.5,-12.114,60-72,201,86,0.4776,0.4096,0.5464,-0.0448,-0.6683,0.1659
[-10:-5),-7.5,-7.417,60-72,2067,553,0.4342,0.4130,0.4557,-0.1316,-0.4578,0.2711
[-5:0),-2.5,-3.347,60-72,6328,1111,0.4859,0.4736,0.4983,-0.0281,-0.2195,0.3903
[0:5),2.5,0.587,60-72,27145,1500,0.5016,0.4957,0.5076,0.0033,0.0391,0.5195
[5:10),7.5,6.896,60-72,1436,448,0.5832,0.5575,0.6085,0.1664,0.4299,0.7149
[10:15),12.5,11.005,60-72,216,95,0.5139,0.4476,0.5797,0.0278,0.6253,0.8126
[15:20),17.5,16.750,60-72,4,2,1.0000,0.5101,1.0000,1.0000,0.8064,0.9032
[-40:-35),-37.5,-39.000,45-59,3,1,0.0000,0.0000,0.5615,-1.0000,-0.9890,0.0055
[-35:-30),-32.5,-32.368,45-59,19,6,0.3158,0.1536,0.5399,-0.3684,-0.9736,0.0132
[-30:-25),-27.5,-27.927,45-59,55,21,0.2545,0.1581,0.3830,-0.4909,-0.9528,0.0236
[-25:-20),-22.5,-22.459,45-59,222,74,0.1802,0.1352,0.2360,-0.6396,-0.9047,0.0477
[-20:-15),-17.5,-17.394,45-59,1107,267,0.3473,0.3199,0.3759,-0.3053,-0.8209,0.0895
[-15:-10),-12.5,-12.678,45-59,3035,624,0.3992,0.3819,0.4167,-0.2016,-0.6886,0.1557
[-10:-5),-7.5,-7.794,45-59,7000,1148,0.4398,0.4282,0.4514,-0.1204,-0.4774,0.2613
[-5:0),-2.5,-3.034,45-59,10347,1252,0.4783,0.4686,0.4879,-0.0435,-0.1996,0.4002
[0:5),2.5,1.805,45-59,12842,1312,0.5192,0.5106,0.5279,0.0385,0.1198,0.5599
[5:10),7.5,6.846,45-59,6021,1073,0.5648,0.5522,0.5773,0.1295,0.4271,0.7136
[10:15),12.5,11.575,45-59,3170,644,0.6136,0.5965,0.6304,0.2271,0.6479,0.8240
[15:20),17.5,16.414,45-59,915,229,0.6503,0.6188,0.6805,0.3005,0.7984,0.8992
[20:25),22.5,21.256,45-59,199,68,0.8090,0.7488,0.8576,0.6181,0.8890,0.9445
[25:30),27.5,27.158,45-59,38,16,0.7368,0.5799,0.8503,0.4737,0.9479,0.9739
