margin_bucket,margin_center,margin_mean,tiles_band,n_pos,n_games,p_win,wilson_lo,wilson_hi,emp_value,tanh15_pred,tanh15_pwin
[-20:-15),-17.5,-16.762,60-72,21,10,0.1905,0.0767,0.4000,-0.6190,-0.8067,0.0967
[-15:-10),-12.5,-12.462,60-72,169,61,0.3639,0.2951,0.4387,-0.2722,-0.6809,0.1596
[-10:-5),-7.5,-7.484,60-72,1820,486,0.4654,0.4426,0.4883,-0.0692,-0.4613,0.2694
[-5:0),-2.5,-3.287,60-72,5770,998,0.4751,0.4623,0.4880,-0.0497,-0.2157,0.3922
[0:5),2.5,0.548,60-72,25670,1400,0.5052,0.4990,0.5113,0.0103,0.0365,0.5182
[5:10),7.5,6.819,60-72,1190,371,0.5147,0.4863,0.5430,0.0294,0.4257,0.7128
[10:15),12.5,10.888,60-72,249,88,0.6807,0.6204,0.7355,0.3614,0.6205,0.8103
[15:20),17.5,16.062,60-72,16,9,0.8125,0.5699,0.9341,0.6250,0.7898,0.8949
[-40:-35),-37.5,-37.000,45-59,2,2,0.0000,0.0000,0.6576,-1.0000,-0.9857,0.0072
[-35:-30),-32.5,-31.667,45-59,6,4,0.0000,0.0000,0.3903,-1.0000,-0.9711,0.0145
[-30:-25),-27.5,-27.279,45-59,61,22,0.3443,0.2375,0.4695,-0.3115,-0.9487,0.0257
[-25:-20),-22.5,-22.617,45-59,222,68,0.2613,0.2079,0.3228,-0.4775,-0.9065,0.0467
[-20:-15),-17.5,-17.561,45-59,1076,259,0.3508,0.3229,0.3798,-0.2983,-0.8245,0.0877
[-15:-10),-12.5,-12.661,45-59,2808,576,0.3930,0.3751,0.4112,-0.2140,-0.6880,0.1560
[-10:-5),-7.5,-7.782,45-59,6625,1068,0.4598,0.4478,0.4718,-0.0805,-0.4768,0.2616
[-5:0),-2.5,-3.066,45-59,9467,1130,0.5012,0.4911,0.5113,0.0024,-0.2016,0.3992
[0:5),2.5,1.785,45-59,11958,1221,0.5012,0.4922,0.5101,0.0023,0.1184,0.5592
[5:10),7.5,6.799,45-59,5635,994,0.5408,0.5278,0.5538,0.0816,0.4246,0.7123
[10:15),12.5,11.554,45-59,2943,574,0.6140,0.5963,0.6314,0.2280,0.6471,0.8235
[15:20),17.5,16.537,45-59,898,234,0.6654,0.6339,0.6955,0.3307,0.8014,0.9007
[20:25),22.5,21.274,45-59,237,65,0.7300,0.6701,0.7825,0.4599,0.8892,0.9446
[25:30),27.5,26.739,45-59,46,15,0.5435,0.4018,0.6785,0.0870,0.9450,0.9725
[30:35),32.5,32.000,45-59,2,1,1.0000,0.3424,1.0000,1.0000,0.9723,0.9862
[-50:-45),-47.5,-46.889,30-44,9,4,0.0000,0.0000,0.2992,-1.0000,-0.9962,0.0019
[-45:-40),-42.5,-42.222,30-44,36,13,0.1111,0.0441,0.2532,-0.7778,-0.9928,0.0036
[-40:-35),-37.5,-37.750,30-44,104,27,0.0673,0.0330,0.1325,-0.8654,-0.9871,0.0065
[-35:-30),-32.5,-32.581,30-44,291,73,0.1134,0.0819,0.1550,-0.7732,-0.9744,0.0128
[-30:-25),-27.5,-27.821,30-44,670,143,0.1672,0.1408,0.1973,-0.6657,-0.9522,0.0239
[-25:-20),-22.5,-22.666,30-44,1109,260,0.1776,0.1563,0.2012,-0.6447,-0.9071,0.0464
[-20:-15),-17.5,-17.808,30-44,2652,537,0.3045,0.2873,0.3223,-0.3910,-0.8297,0.0851
[-15:-10),-12.5,-12.817,30-44,4158,797,0.3371,0.3228,0.3516,-0.3259,-0.6934,0.1533
[-10:-5),-7.5,-7.829,30-44,5829,968,0.4162,0.4036,0.4289,-0.1676,-0.4792,0.2604
[-5:0),-2.5,-3.030,30-44,6582,904,0.4809,0.4688,0.4929,-0.0383,-0.1993,0.4004
[0:5),2.5,2.027,30-44,6460,931,0.5259,0.5137,0.5381,0.0519,0.1343,0.5672
[5:10),7.5,6.859,30-44,5704,994,0.6028,0.5901,0.6154,0.2056,0.4278,0.7139
[10:15),12.5,11.822,30-44,3900,764,0.6594,0.6443,0.6741,0.3187,0.6574,0.8287
[15:20),17.5,16.770,30-44,2397,492,0.7057,0.6871,0.7236,0.4113,0.8069,0.9034
[20:25),22.5,21.626,30-44,1173,258,0.8133,0.7900,0.8346,0.6266,0.8940,0.9470
[25:30),27.5,27.021,30-44,516,122,0.8043,0.7678,0.8362,0.6085,0.9470,0.9735
[30:35),32.5,31.614,30-44,293,61,0.9386,0.9050,0.9608,0.8771,0.9709,0.9854
[35:40),37.5,36.880,30-44,75,19,0.8933,0.8034,0.9450,0.7867,0.9855,0.9927
[40:45),42.5,41.226,30-44,31,10,0.9677,0.8381,0.9943,0.9355,0.9918,0.9959
[45:50),47.5,46.200,30-44,5,4,1.0000,0.5655,1.0000,1.0000,0.9958,0.9979
[-60:-55),-57.5,-60.320,15-29,25,6,0.0000,0.0000,0.1332,-1.0000,-0.9994,0.0003
[-55:-50),-52.5,-52.862,15-29,58,9,0.0000,0.0000,0.0621,-1.0000,-0.9983,0.0009
[-50:-45),-47.5,-47.691,15-29,94,25,0.0851,0.0438,0.1590,-0.8298,-0.9965,0.0017
