[1/898] s28000000004_p1 trunc=0/9957 1.372s
[2/898] s28000000007_p3 trunc=0/10348 1.528s
[3/898] s28000000008_p15 trunc=0/10552 2.68s
[4/898] s28000000005_p19 trunc=0/10498 3.145s
[5/898] s28000000011_p24 trunc=0/9186 2.606s
[6/898] s28000000010_p48 trunc=0/9227 4.798s
[7/898] s28000000004_p44 trunc=0/10219 5.184s
[8/898] s28000000007_p53 trunc=0/10254 5.206s
[9/898] s28000000009_p47 trunc=0/10420 5.371s
[10/898] s28000000002_p67 trunc=0/9245 5.851s
[11/898] s28000000006_p90 trunc=0/10464 6.256s
[12/898] s28000000000_p66 trunc=0/10245 6.504s
[13/898] s28000000003_p66 trunc=0/9318 6.646s
[14/898] s28000000010_p69 trunc=0/9848 6.776s
[15/898] s28000000014_p7 trunc=0/9898 1.71s
[16/898] s28000000013_p20 trunc=0/10301 3.44s
[17/898] s28000000008_p124 trunc=0/9906 7.559s
[18/898] s28000000000_p75 trunc=0/10444 8.099s
[19/898] s28000000006_p108 trunc=0/11008 8.343s
[20/898] s28000000003_p80 trunc=0/9714 8.498s
[21/898] s28000000002_p115 trunc=0/9462 8.986s
[22/898] s28000000012_p69 trunc=0/10271 6.869s
[23/898] s28000000001_p104 trunc=0/10014 9.678s
[24/898] s28000000005_p91 trunc=0/10402 9.706s
[25/898] s28000000015_p42 trunc=0/9380 4.375s
[26/898] s28000000016_p34 trunc=0/9466 3.766s
[27/898] s28000000014_p45 trunc=0/9449 4.967s
[28/898] s28000000012_p71 trunc=0/9470 7.392s
[29/898] s28000000019_p30 trunc=0/9304 3.164s
[30/898] s28000000001_p102 trunc=0/10273 10.843s
[31/898] s28000000011_p109 trunc=0/8862 9.562s
[32/898] s28000000016_p45 trunc=0/10631 4.96s
[33/898] s28000000019_p35 trunc=0/10169 3.837s
[34/898] s28000000024_p6 trunc=0/10038 1.809s
[35/898] s28000000018_p83 trunc=0/8232 5.345s
[36/898] s28000000009_p137 trunc=0/9899 12.32s
