[1/898] s28000000004_p1 trunc=0/9957 1.184s
[2/898] s28000000007_p3 trunc=0/10348 1.366s
[3/898] s28000000005_p19 trunc=0/10498 2.476s
[4/898] s28000000008_p15 trunc=0/10552 2.31s
[5/898] s28000000004_p44 trunc=0/10219 4.424s
[6/898] s28000000007_p53 trunc=0/10254 4.434s
[7/898] s28000000006_p90 trunc=0/10464 4.854s
[8/898] s28000000002_p67 trunc=0/9245 4.972s
[9/898] s28000000000_p66 trunc=0/10245 5.151s
[10/898] s28000000003_p66 trunc=0/9318 5.683s
[11/898] s28000000000_p75 trunc=0/10444 6.833s
[12/898] s28000000006_p108 trunc=0/11008 6.817s
[13/898] s28000000011_p24 trunc=0/9186 2.018s
[14/898] s28000000002_p115 trunc=0/9462 7.057s
[15/898] s28000000009_p47 trunc=0/10420 4.611s
[16/898] s28000000003_p80 trunc=0/9714 7.117s
[17/898] s28000000008_p124 trunc=0/9906 5.753s
[18/898] s28000000001_p104 trunc=0/10014 8.07s
[19/898] s28000000010_p48 trunc=0/9227 3.797s
[20/898] s28000000005_p91 trunc=0/10402 8.224s
[21/898] s28000000014_p7 trunc=0/9898 1.501s
[22/898] s28000000001_p102 trunc=0/10273 9.579s
[23/898] s28000000013_p20 trunc=0/10301 3.007s
[24/898] s28000000010_p69 trunc=0/9848 5.885s
[25/898] s28000000012_p69 trunc=0/10271 5.489s
[26/898] s28000000016_p34 trunc=0/9466 3.52s
[27/898] s28000000015_p42 trunc=0/9380 3.731s
[28/898] s28000000014_p45 trunc=0/9449 4.653s
[29/898] s28000000012_p71 trunc=0/9470 6.307s
[30/898] s28000000018_p83 trunc=0/8232 4.173s
[31/898] s28000000019_p30 trunc=0/9304 2.764s
[32/898] s28000000016_p45 trunc=0/10631 4.858s
[33/898] s28000000009_p137 trunc=0/9899 9.705s
[34/898] s28000000019_p35 trunc=0/10169 3.199s
[35/898] s28000000017_p73 trunc=0/9418 5.402s
[36/898] s28000000011_p109 trunc=0/8862 8.694s
[37/898] s28000000024_p6 trunc=0/10038 1.811s
[38/898] s28000000013_p126 trunc=0/10254 8.69s
[39/898] s28000000022_p52 trunc=0/10565 3.837s
[40/898] s28000000025_p13 trunc=0/10944 2.357s
[41/898] s28000000020_p61 trunc=0/9703 5.653s
[42/898] s28000000018_p93 trunc=0/10070 7.784s
[43/898] s28000000015_p131 trunc=0/9060 10.348s
[44/898] s28000000027_p15 trunc=0/9734 1.884s
[45/898] s28000000017_p136 trunc=0/7531 9.59s
[46/898] s28000000021_p112 trunc=0/10394 7.088s
[47/898] s28000000024_p52 trunc=0/9354 4.81s
[48/898] s28000000020_p96 trunc=0/8088 7.783s
[49/898] s28000000026_p38 trunc=0/9828 3.837s
[50/898] s28000000026_p46 trunc=0/9537 3.472s
[51/898] s28000000029_p11 trunc=0/10486 1.613s
[52/898] s28000000021_p126 trunc=0/8409 8.888s
[53/898] s28000000022_p108 trunc=0/9971 8.098s
[54/898] s28000000023_p98 trunc=0/10194 9.37s
[55/898] s28000000025_p118 trunc=0/9858 8.431s
[56/898] s28000000028_p61 trunc=0/10065 5.991s
[57/898] s28000000031_p45 trunc=0/10126 4.386s
[58/898] s28000000029_p70 trunc=0/9840 5.119s
[59/898] s28000000023_p107 trunc=0/10844 9.981s
[60/898] s28000000031_p80 trunc=0/10351 6.425s
[61/898] s28000000036_p16 trunc=0/10465 2.237s
[62/898] s28000000027_p94 trunc=0/9990 9.158s
[63/898] s28000000030_p85 trunc=0/9135 7.5s
[64/898] s28000000035_p25 trunc=0/10768 3.336s
[65/898] s28000000037_p24 trunc=0/10319 2.925s
[66/898] s28000000034_p59 trunc=0/9952 5.965s
[67/898] s28000000038_p10 trunc=0/10439 1.67s
[68/898] s28000000039_p5 trunc=0/9991 1.473s
[69/898] s28000000030_p88 trunc=0/10277 8.908s
[70/898] s28000000032_p131 trunc=0/10479 7.94s
[71/898] s28000000033_p111 trunc=0/9908 8.264s
[72/898] s28000000032_p124 trunc=0/10032 8.682s
[73/898] s28000000036_p66 trunc=0/7950 4.964s
[74/898] s28000000041_p5 trunc=0/10370 1.323s
[75/898] s28000000041_p17 trunc=0/10379 2.244s
[76/898] s28000000037_p44 trunc=0/10712 4.599s
[77/898] s28000000044_p5 trunc=0/10571 1.675s
[78/898] s28000000045_p2 trunc=0/9875 1.146s
[79/898] s28000000040_p58 trunc=0/8682 4.622s
